Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,293,140,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),,box1,yes,I,1,2,,,9013,DSST,C,,,,0,160,113
),1,1,0.0,3,prac,yes,1,3,120000.0,298,146,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),49527.299999952316,box3,yes,I,1,2,3676.9000000953674,45850.39999985695,9013,DSST,C,,,,1,160,113
U,2,1,0.0,5,prac,yes,1,5,120000.0,340,139,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),53077.799999952316,box5,yes,I,1,2,2771.9000000953674,50305.89999985695,9013,DSST,C,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,231,133,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),56844.59999990463,box2,yes,I,1,2,2967.399999856949,53877.200000047684,9013,DSST,C,,,,3,160,113
+,4,1,0.0,9,prac,yes,1,9,120000.0,381,135,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),60860.799999952316,box9,yes,I,1,2,3218.5999999046326,57642.200000047684,9013,DSST,C,,,,4,160,113
-,5,1,0.0,1,prac,yes,1,1,120000.0,304,136,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),64277.700000047684,box1,yes,I,1,2,2624.0,61653.700000047684,9013,DSST,C,,,,5,160,113
^,6,1,0.0,7,prac,yes,1,7,120000.0,349,122,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),68811.09999990463,box7,yes,I,1,2,3725.5999999046326,65085.5,9013,DSST,C,,,,6,160,113
X,7,1,0.0,8,prac,yes,1,8,120000.0,294,156,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),72911.09999990463,box8,yes,I,1,2,3289.2999999523163,69621.79999995232,9013,DSST,C,,,,7,160,113
O,8,1,0.0,6,prac,yes,1,6,120000.0,243,164,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),76577.79999995232,box6,yes,I,1,2,2886.0999999046326,73691.70000004768,9013,DSST,C,,,,8,160,113
L,9,1,0.0,4,prac,yes,1,4,120000.0,259,158,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),80560.79999995232,box4,yes,I,1,2,3191.9000000953674,77368.89999985695,9013,DSST,C,,,,9,160,113
T,1,1,3.007999897003174,2,test,yes,1,2,116992.00010299683,210,123,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),90461.09999990463,box2,yes,I,1,2,2975.5999999046326,87485.5,9013,DSST,C,87149.0,88021.0,85045.0,1,160,113
-,2,1,5.438999891281128,1,test,yes,1,1,114561.00010871887,268,155,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),92894.59999990463,box1,yes,I,1,2,2397.0999999046326,90497.5,9013,DSST,C,89699.0,90454.0,88057.0,2,160,113
),3,1,7.739000082015991,3,test,yes,1,3,112260.99991798401,278,137,Wed Jun 11 2025 12:31:17 GMT-0400 (Eastern Daylight Time),95194.5,box3,yes,I,1,2,2265.0,92929.5,9013,DSST,C,92050.0,92754.0,90490.0,3,160,113
