block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,2.749000072479248,delay,57250.99992752075,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),23884.299999952316,A,towerenter,I,enter,662,2,2747.5,21136.799999952316,9013,DWL,C,1
8,4.414999961853027,delay,55585.00003814697,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),25551.0,A,queenenter,I,enter,247,2,1665.7999999523163,23885.200000047684,9013,DWL,C,2
8,5.932000160217285,delay,54067.999839782715,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),27067.799999952316,A,sugarenter,I,enter,454,2,1516.0,25551.799999952316,9013,DWL,C,3
8,7.615000009536743,delay,52384.99999046326,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),28751.0,A,homeenter,I,enter,664,2,1682.5999999046326,27068.400000095367,9013,DWL,C,4
8,9.21500015258789,delay,50784.99984741211,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),30351.200000047684,A,wheatenter,I,enter,283,2,1599.7999999523163,28751.400000095367,9013,DWL,C,5
8,10.96500015258789,delay,49034.99984741211,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),32101.200000047684,A,boyenter,I,enter,207,2,1749.6000001430511,30351.599999904633,9013,DWL,C,6
8,12.815000057220459,delay,47184.99994277954,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),33951.200000047684,A,doctorenter,I,enter,522,2,1849.6000001430511,32101.599999904633,9013,DWL,C,7
8,14.46500015258789,delay,45534.99984741211,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),35601.200000047684,A,campenter,I,enter,372,2,1649.6000001430511,33951.59999990463,9013,DWL,C,8
8,16.266000032424927,delay,43733.99996757507,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),37401.200000047684,A,flagenter,I,enter,554,2,1799.4000000953674,35601.799999952316,9013,DWL,C,9
8,19.182000160217285,delay,40817.999839782715,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),40317.700000047684,A,letterenter,I,enter,184,2,2916.0,37401.700000047684,9013,DWL,C,10
8,21.615000009536743,delay,38384.99999046326,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),42751.200000047684,A,cornenter,I,enter,390,2,2432.9000000953674,40318.299999952316,9013,DWL,C,11
8,23.41600012779236,delay,36583.99987220764,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),44551.200000047684,A,cattleenter,I,enter,392,2,1799.6000001430511,42751.59999990463,9013,DWL,C,12
8,24.832000017166138,delay,35167.99998283386,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),45967.799999952316,A,nailenter,I,enter,493,2,1416.0999999046326,44551.700000047684,9013,DWL,C,13
8,26.266000032424927,delay,33733.99996757507,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),47401.299999952316,A,shoreenter,I,enter,422,2,1433.0999999046326,45968.200000047684,9013,DWL,C,14
8,27.73200011253357,delay,32267.99988746643,Wed Jun 11 2025 12:35:17 GMT-0400 (Eastern Daylight Time),48867.799999952316,A,bodyenter,I,enter,315,2,1466.0999999046326,47401.700000047684,9013,DWL,C,15
