Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
6,1,prac,1,A,circle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),70499.70000004768,1900,I,m,698,5,2,3389.0999999046326,67110.60000014305,9013,NTS,C,1
3,2,prac,1,A,circle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),73299.29999995232,1200,I,z,805,3,2,2788.0999999046326,70511.20000004768,9013,NTS,C,2
2,3,prac,1,A,circle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),77049.29999995232,2000,I,z,953,2,2,3737.0999999046326,73312.20000004768,9013,NTS,C,3
8,4,prac,1,A,circle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),79999.29999995232,1600,I,m,554,7,2,2937.0999999046326,77062.20000004768,9013,NTS,C,4
9,5,prac,1,A,circle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),82849.40000009537,1500,I,m,558,8,2,2838.4000000953674,80011.0,9013,NTS,C,5
1,6,prac,1,A,circle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),85182.70000004768,1000,I,z,545,1,2,2321.5999999046326,82861.10000014305,9013,NTS,C,6
4,7,prac,1,A,circle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),88049.40000009537,1400,I,z,676,4,2,2854.7000000476837,85194.70000004768,9013,NTS,C,7
1,8,prac,1,A,circle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),90382.79999995232,1000,I,z,539,1,2,2322.0999999046326,88060.70000004768,9013,NTS,C,8
3,9,prac,1,A,circle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),92882.70000004768,1200,I,z,500,3,2,2486.2000000476837,90396.5,9013,NTS,C,9
9,10,prac,1,A,circle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),95732.70000004768,1500,I,m,549,8,2,2836.5999999046326,92896.10000014305,9013,NTS,C,10
7,11,prac,1,A,circle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),98732.79999995232,1700,I,m,515,6,2,2986.5999999046326,95746.20000004768,9013,NTS,C,11
6,12,prac,1,A,circle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),101999.40000009537,1900,I,m,579,5,2,3254.5,98744.90000009537,9013,NTS,C,12
1,1,prac,1,B,triangle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),131432.70000004768,1900,I,z,730,1,2,3406.9000000953674,128025.79999995232,9013,NTS,C,1
4,2,prac,1,B,triangle.png,1,m,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),134349.40000009537,1500,I,m,625,4,2,2903.5,131445.90000009537,9013,NTS,C,2
9,3,prac,1,B,triangle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),137266.0,1400,I,z,727,8,2,2903.2999999523163,134362.70000004768,9013,NTS,C,3
9,4,prac,1,B,triangle.png,1,z,Wed Jun 11 2025 10:40:13 GMT-0400 (Eastern Daylight Time),140082.60000014305,1400,I,z,627,8,2,2805.5,137277.10000014305,9013,NTS,C,4
