acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),38989.40000009537,I,z,1046,,,1,yes,2,2575.300000190735,36414.09999990463,practrial1.png,practrial1.png,9013,PC,C,,,1
2,1,0.0,prac,1,z,30000.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),41788.90000009537,I,z,1262,,,3,yes,2,2791.100000143051,38997.799999952316,practrial3.png,practrial3.png,9013,PC,C,,,2
3,1,0.0,prac,1,m,30000.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),45605.59999990463,I,m,2279,,,6,no,2,3802.199999809265,41803.40000009537,practrial6.png,practrial6b.png,9013,PC,C,,,3
4,1,0.0,prac,1,z,30000.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),48355.700000047684,I,z,1214,,,5,yes,2,2741.7000000476837,45614.0,practrial5.png,practrial5.png,9013,PC,C,,,4
5,1,0.0,prac,1,m,30000.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),50922.200000047684,I,m,1031,,,4,no,2,2557.0,48365.200000047684,practrial4.png,practrial4b.png,9013,PC,C,,,5
6,1,0.0,prac,1,m,30000.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),53455.5,I,m,990,,,2,no,2,2522.5999999046326,50932.90000009537,practrial2.png,practrial2b.png,9013,PC,C,,,6
1,1,1.1170001029968262,test,1,z,28882.999897003174,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),63889.5,I,z,1105,1105,,1,yes,2,1110.7999999523163,62778.700000047684,test1trial1.png,test1trial1.png,9013,PC,C,60156,,1
2,1,2.017000198364258,test,1,m,27982.999801635742,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),64789.299999952316,I,m,883,883,,2,no,2,892.7000000476837,63896.59999990463,test1trial2.png,test1trial2b.png,9013,PC,C,61275,,2
3,1,3.2829999923706055,test,1,z,26717.000007629395,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),66055.5,I,z,1247,1247,,3,yes,2,1259.2000000476837,64796.299999952316,test1trial3.png,test1trial3.png,9013,PC,C,62174,,3
4,1,4.367000102996826,test,1,m,25632.999897003174,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),67139.09999990463,I,m,1074,1074,,4,no,2,1080.0,66059.09999990463,test1trial4.png,test1trial4b.png,9013,PC,C,63437,,4
5,1,5.767000198364258,test,1,z,24232.999801635742,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),68539.0,I,z,1375,1375,,5,yes,2,1390.2000000476837,67148.79999995232,test1trial5.png,test1trial5.png,9013,PC,C,64527,,5
6,1,6.833000183105469,test,1,m,23166.99981689453,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),69605.79999995232,I,m,1040,1040,,6,no,2,1058.5999999046326,68547.20000004768,test1trial6.png,test1trial6b.png,9013,PC,C,65925,,6
7,1,7.9670000076293945,test,1,z,22032.999992370605,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),70739.09999990463,I,z,1120,1120,,7,yes,2,1126.8999998569489,69612.20000004768,test1trial7.png,test1trial7.png,9013,PC,C,66990,,7
8,1,9.267000198364258,test,1,m,20732.999801635742,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),72038.79999995232,I,m,1287,1287,,8,no,2,1289.7000000476837,70749.09999990463,test1trial8.png,test1trial8b.png,9013,PC,C,68127,,8
9,1,10.450000047683716,test,1,z,19549.999952316284,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),73222.79999995232,I,z,1177,1177,,9,yes,2,1179.7999999523163,72043.0,test1trial9.png,test1trial9.png,9013,PC,C,69421,,9
10,1,11.517000198364258,test,1,m,18482.999801635742,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),74289.09999990463,I,m,1041,1041,,10,no,2,1056.5,73232.59999990463,test1trial10.png,test1trial10b.png,9013,PC,C,70613,,10
11,1,12.517000198364258,test,1,z,17482.999801635742,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),75289.20000004768,I,z,976,976,,11,yes,2,990.6000001430511,74298.59999990463,test1trial11.png,test1trial11.png,9013,PC,C,71678,,11
12,1,14.133000135421753,test,1,m,15866.999864578247,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),76905.70000004768,I,m,1599,1599,,12,no,2,1606.7999999523163,75298.90000009537,test1trial12.png,test1trial12b.png,9013,PC,C,72679,,12
13,1,15.150000095367432,test,1,m,14849.999904632568,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),77922.09999990463,I,m,992,992,,13,no,2,1007.6999998092651,76914.40000009537,test1trial13.png,test1trial13b.png,9013,PC,C,74294,,13
14,1,16.367000102996826,test,1,m,13632.999897003174,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),79139.20000004768,I,m,1197,1197,,14,no,2,1212.7999999523163,77926.40000009537,test1trial14.png,test1trial14b.png,9013,PC,C,75305,,14
15,1,17.534000158309937,test,1,z,12465.999841690063,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),80305.90000009537,I,z,1147,1147,,15,yes,2,1160.3000001907349,79145.59999990463,test1trial15.png,test1trial15.png,9013,PC,C,76523,,15
16,1,18.5,test,1,m,11500.0,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),81272.40000009537,I,m,956,956,,16,no,2,960.1000001430511,80312.29999995232,test1trial16.png,test1trial16b.png,9013,PC,C,77690,,16
17,1,19.884000062942505,test,1,z,10115.999937057495,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),82655.90000009537,I,z,1360,1360,,17,yes,2,1373.5,81282.40000009537,test1trial17.png,test1trial17.png,9013,PC,C,78662,,17
18,1,21.016000032424927,test,1,m,8983.999967575073,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),83788.59999990463,I,m,1110,1110,,18,no,2,1126.7999999523163,82661.79999995232,test1trial18.png,test1trial18b.png,9013,PC,C,80040,,18
19,1,22.467000007629395,test,1,m,7532.9999923706055,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),85238.90000009537,I,m,1435,1435,,19,no,2,1446.7000000476837,83792.20000004768,test1trial19.png,test1trial19b.png,9013,PC,C,81170,,19
20,1,23.617000102996826,test,1,z,6382.999897003174,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),86389.0,I,z,1134,1134,,20,yes,2,1143.2999999523163,85245.70000004768,test1trial20.png,test1trial20.png,9013,PC,C,82623,,20
21,1,24.800000190734863,test,1,z,5199.999809265137,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),87572.5,I,z,1160,1160,,21,yes,2,1176.7999999523163,86395.70000004768,test1trial21.png,test1trial21.png,9013,PC,C,83773,,21
22,1,26.117000102996826,test,1,z,3882.999897003174,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),88889.09999990463,I,z,1302,1302,,22,yes,2,1307.2999999523163,87581.79999995232,test1trial22.png,test1trial22.png,9013,PC,C,84961,,22
23,1,27.234000205993652,test,1,z,2765.9997940063477,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),90005.90000009537,I,z,1093,1093,,23,yes,2,1109.6000001430511,88896.29999995232,test1trial23.png,test1trial23.png,9013,PC,C,86274,,23
24,1,28.93400001525879,test,1,z,1065.999984741211,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),91705.79999995232,I,z,1687,1687,,24,yes,2,1692.2999999523163,90013.5,test1trial24.png,test1trial24.png,9013,PC,C,87391,,24
24,1,30.017000198364258,test,0,m,-17.000198364257812,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),92789.29999995232,I,None,1076,1076,,25,no,2,1077.0999999046326,91712.20000004768,test1trial25.png,test1trial25b.png,9013,PC,C,89090,,25
0,2,1.133000135421753,test,0,m,28866.999864578247,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),96289.59999990463,I,z,1114,,1114.0,1,no,2,4577.399999856949,91712.20000004768,test2trial1.png,test2trial1b.png,9013,PC,C,,92540.0,1
1,2,2.865999937057495,test,1,m,27134.000062942505,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),98022.59999990463,I,m,1721,,1721.0,2,no,2,6310.399999856949,91712.20000004768,test2trial2.png,test2trial2b.png,9013,PC,C,,93677.0,2
2,2,3.6500000953674316,test,1,z,26349.99990463257,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),98806.5,I,z,777,,777.0,3,yes,2,7094.299999952316,91712.20000004768,test2trial3.png,test2trial3.png,9013,PC,C,,95406.0,3
3,2,4.499000072479248,test,1,z,25500.999927520752,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),99655.79999995232,I,z,831,,831.0,4,yes,2,7943.599999904633,91712.20000004768,test2trial4.png,test2trial4.png,9013,PC,C,,96191.0,4
4,2,5.5329999923706055,test,1,z,24467.000007629395,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),100689.20000004768,I,z,1018,,1018.0,5,yes,2,8977.0,91712.20000004768,test2trial5.png,test2trial5.png,9013,PC,C,,97044.0,5
5,2,6.733000040054321,test,1,z,23266.99995994568,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),101889.59999990463,I,z,1181,,1181.0,6,yes,2,10177.399999856949,91712.20000004768,test2trial6.png,test2trial6.png,9013,PC,C,,98073.0,6
6,2,7.916000127792358,test,1,m,22083.99987220764,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),103072.40000009537,I,m,1165,,1165.0,7,no,2,11360.200000047684,91712.20000004768,test2trial7.png,test2trial7b.png,9013,PC,C,,99273.0,7
7,2,9.115999937057495,test,1,m,20884.000062942505,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),104272.59999990463,I,m,1190,,1190.0,8,no,2,12560.399999856949,91712.20000004768,test2trial8.png,test2trial8b.png,9013,PC,C,,100456.0,8
8,2,10.383000135421753,test,1,z,19616.999864578247,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),105539.09999990463,I,z,1245,,1245.0,9,yes,2,13826.899999856949,91712.20000004768,test2trial9.png,test2trial9.png,9013,PC,C,,101657.0,9
9,2,11.516000032424927,test,1,z,18483.999967575073,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),106672.20000004768,I,z,1111,,1111.0,10,yes,2,14960.0,91712.20000004768,test2trial10.png,test2trial10.png,9013,PC,C,,102927.0,10
10,2,12.600000143051147,test,1,m,17399.999856948853,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),107755.90000009537,I,m,1062,,1062.0,11,no,2,16043.700000047684,91712.20000004768,test2trial11.png,test2trial11b.png,9013,PC,C,,104056.0,11
11,2,13.749000072479248,test,1,m,16250.999927520752,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),108905.70000004768,I,m,1133,,1133.0,12,no,2,17193.5,91712.20000004768,test2trial12.png,test2trial12b.png,9013,PC,C,,105145.0,12
12,2,14.782999992370605,test,1,z,15217.000007629395,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),109939.29999995232,I,z,1022,,1022.0,13,yes,2,18227.099999904633,91712.20000004768,test2trial13.png,test2trial13.png,9013,PC,C,,106289.0,13
13,2,15.916000127792358,test,1,m,14083.999872207642,Wed Jun 11 2025 12:26:26 GMT-0400 (Eastern Daylight Time),111072.29999995232,I,m,1114,,1114.0,14,no,2,19360.099999904633,91712.20000004768,test2trial14.png,test2trial14b.png,9013,PC,C,,107324.0,14
