acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),,050_m_f_n_a.png,I,space,11902,1,1,,,9017,NNB,A,0
0,prac,1,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),149000.30000019073,063_y_f_n_a.png,I,z,1292,2,1,2118.0,146882.30000019073,9017,NNB,A,1
0,prac,1,1.0,1-Back,0,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),151350.89999961853,063_y_f_n_a.png,I,m,1569,3,1,2339.8999996185303,149011.0,9017,NNB,A,2
0,prac,1,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),154184.19999980927,053_o_m_n_a.png,I,None,2006,4,1,2816.199999809265,151368.0,9017,NNB,A,3
1,prac,1,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),156434.30000019073,058_m_m_n_a.png,I,m,1421,5,1,2236.699999809265,154197.60000038147,9017,NNB,A,4
2,prac,1,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),158266.89999961853,058_m_m_n_a.png,I,z,1051,6,1,1818.5,156448.39999961853,9017,NNB,A,5
3,prac,1,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),160351.0,047_o_f_n_a.png,I,m,1205,7,1,2068.1000003814697,158282.89999961853,9017,NNB,A,6
3,prac,1,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),162317.39999961853,045_m_m_n_a.png,I,z,1144,8,1,1953.0999994277954,160364.30000019073,9017,NNB,A,7
4,prac,1,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),164167.60000038147,050_m_f_n_a.png,I,m,1057,9,1,1836.6000003814697,162331.0,9017,NNB,A,8
5,prac,1,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),165967.5,050_m_f_n_a.png,I,z,1012,10,1,1783.3000001907349,164184.19999980927,9017,NNB,A,9
6,prac,1,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),168051.10000038147,053_o_m_n_a.png,I,m,1295,11,1,2069.300000190735,165981.80000019073,9017,NNB,A,10
6,prac,1,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),169867.60000038147,010_y_f_n_a.png,I,z,940,12,1,1799.7000007629395,168067.89999961853,9017,NNB,A,11
0,prac,2,0.0,1-Back,,,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),169867.60000038147,050_m_f_n_a.png,I,a,9000,1,1,1799.7000007629395,168067.89999961853,9017,NNB,A,0
0,prac,2,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),183717.39999961853,063_y_f_n_a.png,I,z,1009,2,1,1786.0,181931.39999961853,9017,NNB,A,1
0,prac,2,1.0,1-Back,0,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),186017.60000038147,063_y_f_n_a.png,I,m,1502,3,1,2283.2000007629395,183734.39999961853,9017,NNB,A,2
0,prac,2,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),188467.39999961853,053_o_m_n_a.png,I,z,1661,4,1,2436.0999994277954,186031.30000019073,9017,NNB,A,3
0,prac,2,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),191250.60000038147,058_m_m_n_a.png,I,None,2003,5,1,2769.9000005722046,188480.69999980927,9017,NNB,A,4
1,prac,2,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),193784.19999980927,058_m_m_n_a.png,I,z,1748,6,1,2519.699999809265,191264.5,9017,NNB,A,5
2,prac,2,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),195517.60000038147,047_o_f_n_a.png,I,m,951,7,1,1719.7000007629395,193797.89999961853,9017,NNB,A,6
2,prac,2,0.0,1-Back,0,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),197450.69999980927,045_m_m_n_a.png,I,z,1142,8,1,1917.8999996185303,195532.80000019073,9017,NNB,A,7
3,prac,2,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),199584.10000038147,050_m_f_n_a.png,I,m,1341,9,1,2120.5,197463.60000038147,9017,NNB,A,8
4,prac,2,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),201367.5,050_m_f_n_a.png,I,z,998,10,1,1769.3999996185303,199598.10000038147,9017,NNB,A,9
5,prac,2,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),203317.19999980927,053_o_m_n_a.png,I,m,1156,11,1,1933.0,201384.19999980927,9017,NNB,A,10
6,prac,2,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),205434.10000038147,010_y_f_n_a.png,I,m,1323,12,1,2104.6000003814697,203329.5,9017,NNB,A,11
0,prac,3,0.0,1-Back,,,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),205434.10000038147,050_m_f_n_a.png,I,a,8259,1,1,2104.6000003814697,203329.5,9017,NNB,A,0
1,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),218750.89999961853,063_y_f_n_a.png,I,m,1203,2,1,1981.7999992370605,216769.10000038147,9017,NNB,A,1
2,prac,3,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),220584.10000038147,063_y_f_n_a.png,I,z,1048,3,1,1819.7000007629395,218764.39999961853,9017,NNB,A,2
3,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),222234.10000038147,053_o_m_n_a.png,I,m,862,4,1,1636.7000007629395,220597.39999961853,9017,NNB,A,3
4,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),224150.89999961853,058_m_m_n_a.png,I,m,1133,5,1,1903.2999992370605,222247.60000038147,9017,NNB,A,4
5,prac,3,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),225750.80000019073,058_m_m_n_a.png,I,z,808,6,1,1586.8000001907349,224164.0,9017,NNB,A,5
6,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),227484.10000038147,047_o_f_n_a.png,I,m,952,7,1,1720.0,225764.10000038147,9017,NNB,A,6
7,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),229417.30000019073,045_m_m_n_a.png,I,m,1146,8,1,1919.1999998092651,227498.10000038147,9017,NNB,A,7
8,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),231067.39999961853,050_m_f_n_a.png,I,m,862,9,1,1636.5,229430.89999961853,9017,NNB,A,8
9,prac,3,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),232584.0,050_m_f_n_a.png,I,z,728,10,1,1499.6999998092651,231084.30000019073,9017,NNB,A,9
10,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),234867.5,053_o_m_n_a.png,I,m,1486,11,1,2269.3999996185303,232598.10000038147,9017,NNB,A,10
11,prac,3,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),236867.5,010_y_f_n_a.png,I,m,1204,12,1,1986.6000003814697,234880.89999961853,9017,NNB,A,11
0,test,1,0.0,1-Back,,,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),236867.5,063_y_f_n_a.png,I,space,9956,1,1,1986.6000003814697,234880.89999961853,9017,NNB,A,0
1,test,1,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),258317.39999961853,043_m_f_n_a.png,I,m,757,2,1,1771.5999994277954,256545.80000019073,9017,NNB,A,1
2,test,1,0.0,1-Back,1,m,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),260533.69999980927,010_y_f_n_a.png,I,m,1199,3,1,2204.199999809265,258329.5,9017,NNB,A,2
3,test,1,1.0,1-Back,1,z,Wed May 07 2025 10:31:38 GMT-0400 (Eastern Daylight Time),262300.60000038147,010_y_f_n_a.png,I,z,733,4,1,1756.3000001907349,260544.30000019073,9017,NNB,A,3
