acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,-192,57038.5,CFD-BM-204-003-N.jpg,Sam,64,I,None,3016,,3016,,,1,1,4031.7000000476837,-416,-256,53006.799999952316,9018,FN,A,,40943,,,1,192,-320,-224
1,prac,1,1,,312.0,6.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,32,62188.0,CFD-WM-012-001-N.jpg,John,64,I,1,2069,,2069,,,2,1,3092.100000023842,224,-32,59095.89999997616,9018,FN,A,,47027,,,2,192,320,0
2,prac,1,1,,-323.0,224.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,256,65004.39999997616,CFD-LF-249-132-N.jpg,Tina,64,I,1,1785,,1785,,,3,1,2809.3000000715256,-416,192,62195.09999990463,9018,FN,A,,50126,,,3,192,-320,224
3,prac,1,1,,328.0,-226.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,-192,67621.19999992847,CFD-BM-204-003-N.jpg,Sam,64,I,1,1593,,1593,,,4,1,2611.399999976158,224,-256,65009.799999952316,9018,FN,A,,52943,,,4,192,320,-224
4,prac,1,1,,-333.0,-1.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,32,69621.19999992847,CFD-WM-012-001-N.jpg,John,64,I,1,977,,977,,,5,1,1994.1000000238419,-416,-32,67627.09999990463,9018,FN,A,,55559,,,5,192,-320,0
5,prac,1,1,,355.0,228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,72070.69999992847,CFD-LF-249-132-N.jpg,Tina,64,I,1,1423,,1423,,,6,1,2443.600000023842,224,192,69627.09999990463,9018,FN,A,,57568,,,6,192,320,224
1,prac_test,1,1,z,355.0,228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,97054.59999990463,CFD-LF-249-132-N.jpg,Tina,64,I,z,2413,,,2413,,3,1,4198.199999928474,224,192,92856.39999997616,9018,FN,A,,,80793,,1,192,320,224
2,prac_test,1,1,m,355.0,228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,100504.59999990463,CFD-BM-204-003-N.jpg,John,64,I,m,1654,,,1654,,2,1,3436.5999999046326,224,192,97068.0,9018,FN,A,,,84993,,2,192,320,224
3,prac_test,1,1,m,355.0,228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,103437.89999997616,CFD-WM-012-001-N.jpg,Sam,64,I,m,1139,,,1139,,1,1,2920.2000000476837,224,192,100517.69999992847,9018,FN,A,,,88443,,3,192,320,224
0,learn,1,0,,355.0,228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,32,133454.89999997616,CFD-WF-205-006-N.jpg,Nichole,64,I,None,3015,3015,,,,29,1,4021.3000000715256,224,-32,129433.59999990463,9018,FN,A,117360,,,,1,192,320,0
1,learn,1,1,,310.0,221.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,137454.59999990463,CFD-LM-207-004-N.jpg,Jack,64,I,1,1441,1441,,,,36,1,2454.0999999046326,224,192,135000.5,9018,FN,A,122927,,,,2,192,320,224
2,learn,1,1,,-354.0,-234.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,-192,140271.59999990463,CFD-WF-200-099-N.jpg,Julie,64,I,1,1800,1800,,,,25,1,2811.6999999284744,-416,-256,137459.89999997616,9018,FN,A,125392,,,,3,192,-320,-224
3,learn,1,1,,295.0,1.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,32,142537.89999997616,CFD-BF-204-189-N.jpg,Sarah,64,I,1,1246,1246,,,,11,1,2262.5,224,-32,140275.39999997616,9018,FN,A,128210,,,,4,192,320,0
4,learn,1,1,,309.0,206.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,145004.59999990463,CFD-BM-203-001-N.jpg,Brian,64,I,1,1435,1435,,,,6,1,2461.0,224,192,142543.59999990463,9018,FN,A,130476,,,,5,192,320,224
5,learn,1,1,,-324.0,206.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,256,147204.5,CFD-LM-200-045-N.jpg,Peter,64,I,1,1177,1177,,,,33,1,2187.7000000476837,-416,192,145016.79999995232,9018,FN,A,132943,,,,6,192,-320,224
6,learn,1,1,,-286.0,-7.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,32,149587.89999997616,CFD-WF-206-147-N.jpg,Rachel,64,I,1,1353,1353,,,,32,1,2371.2000000476837,-416,-32,147216.69999992847,9018,FN,A,135143,,,,7,192,-320,0
7,learn,1,1,,355.0,228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),416,256,151937.5,CFD-LF-255-088-N.jpg,Helen,64,I,1,1328,1328,,,,48,1,2344.2000000476837,224,192,149593.29999995232,9018,FN,A,137526,,,,8,192,320,224
8,learn,1,1,,-315.0,-228.0,Thu May 29 2025 17:49:28 GMT-0400 (Eastern Daylight Time),-224,-192,154371.29999995232,CFD-LM-213-061-N.jpg,Richard,64,I,1,1401,1401,,,,37,1,2431.600000023842,-416,-256,151939.69999992847,9018,FN,A,139887,,,,9,192,-320,-224
