acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
1,prac,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),125218.0,rock,900,I,z,,,792,,,10,1,2991.199999988079,122226.80000001192,9019,kind,AF,A,,,,,,,,,,1
2,prac,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),128201.09999996424,kind,900,I,m,,,766,,,2,1,2971.599999964237,125229.5,9019,rock,AF,A,,,,,,,,,,2
3,prac,1,con,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),131451.0,remote,1000,I,m,,,933,,,7,1,3238.100000023842,128212.89999997616,9019,remote,AF,A,,,,,,,,,,3
4,prac,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),134284.30000001192,elated,900,I,m,,,616,,,6,1,2823.0,131461.30000001192,9019,napkin,AF,A,,,,,,,,,,4
4,prac,1,inc,0,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),137800.89999997616,napkin,1100,I,m,,,1110,,,12,1,3505.699999988079,134295.19999998808,9019,friend,AF,A,,,,,,,,,,5
5,prac,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),140534.30000001192,brutal,800,I,z,,,621,,,13,1,2723.2000000476837,137811.09999996424,9019,brutal,AF,A,,,,,,,,,,6
6,prac,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),143517.69999998808,brutal,1100,I,m,,,579,,,8,1,2973.600000023842,140544.09999996424,9019,window,AF,A,,,,,,,,,,7
7,prac,1,con,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),146617.59999996424,bell,1000,I,m,,,793,,,3,1,3089.5,143528.09999996424,9019,bell,AF,A,,,,,,,,,,8
8,prac,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),149517.69999998808,film,900,I,z,,,698,,,14,1,2890.5,146627.19999998808,9019,hate,AF,A,,,,,,,,,,9
9,prac,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),152400.89999997616,love,1000,I,z,,,569,,,11,1,2874.399999976158,149526.5,9019,love,AF,A,,,,,,,,,,10
10,prac,1,con,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),155317.69999998808,step,800,I,m,,,813,,,1,1,2906.300000011921,152411.39999997616,9019,step,AF,A,,,,,,,,,,11
11,prac,1,con,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),158034.39999997616,jacket,800,I,m,,,608,,,5,1,2706.699999988079,155327.69999998808,9019,jacket,AF,A,,,,,,,,,,12
12,prac,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),161034.39999997616,hate,1100,I,m,,,584,,,4,1,2990.5,158043.89999997616,9019,film,AF,A,,,,,,,,,,13
13,prac,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),164084.19999998808,rage,1000,I,z,,,731,,,15,1,3040.800000011921,161043.39999997616,9019,rage,AF,A,,,,,,,,,,14
14,prac,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),166900.89999997616,elated,800,I,z,,,705,,,9,1,2806.199999988079,164094.69999998808,9019,elated,AF,A,,,,,,,,,,15
15,prac,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),169984.30000001192,window,1100,I,z,,,670,,,16,1,3073.0,166911.30000001192,9019,temper,AF,A,,,,,,,,,,16
1,test,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),184334.19999998808,love,900,I,z,z,None,547,348.0,199.0,18,1,1975.1000000238419,182359.09999996424,9019,love,AF,A,144803,144803,143177,144086,143178,145152,144603,144603,145152,1
2,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),186584.30000001192,hate,1100,I,m,m,None,611,396.0,215.0,88,1,2238.400000035763,184345.89999997616,9019,bell,AF,A,147003,147003,145164,146269,145164,147402,146786,146787,147402,2
3,test,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),188884.19999998808,film,1100,I,z,z,None,649,434.0,215.0,56,1,2288.899999976158,186595.30000001192,9019,rage,AF,A,149253,149253,147413,148520,147414,149702,149037,149037,149702,3
4,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),191050.89999997616,temper,1000,I,m,m,None,625,410.0,215.0,119,1,2157.5,188893.39999997616,9019,remote,AF,A,151453,151453,149711,150720,149712,151869,151236,151237,151869,4
5,test,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),193284.19999998808,remote,1000,I,z,z,None,692,493.0,199.0,7,1,2224.100000023842,191060.09999996424,9019,elated,AF,A,153603,153603,151878,152886,151879,154102,153403,153403,154102,5
6,test,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),195400.89999997616,rock,900,I,z,z,None,677,462.0,215.0,54,1,2106.5,193294.39999997616,9019,rage,AF,A,155753,155753,154112,155020,154113,156219,155537,155537,156219,6
7,test,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),197500.89999997616,napkin,900,I,z,z,None,657,458.0,199.0,38,1,2087.800000011921,195413.09999996424,9019,brutal,AF,A,157853,157853,156231,157136,156232,158319,157653,157653,158319,7
8,test,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),199700.89999997616,kind,1000,I,z,z,None,657,458.0,199.0,11,1,2190.899999976158,197510.0,9019,kind,AF,A,160053,160053,158328,159336,158328,160519,159853,159853,160519,8
9,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),201650.89999997616,kind,900,I,m,m,None,485,286.0,199.0,70,1,1933.199999988079,199717.69999998808,9019,step,AF,A,162169,162169,160536,161453,160537,162469,161970,161970,162469,9
10,test,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),204134.39999997616,temper,1100,I,z,z,None,848,649.0,199.0,60,1,2474.099999964237,201660.30000001192,9019,temper,AF,A,164303,164303,162478,163586,162479,164952,164103,164103,164952,10
11,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),206234.19999998808,temper,1000,I,m,m,None,553,353.0,200.0,111,1,2090.0,204144.19999998808,9019,napkin,AF,A,166686,166686,164962,165970,164963,167052,166486,166486,167052,11
12,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),208467.59999996424,elated,800,I,m,m,None,883,668.0,215.0,125,1,2222.199999988079,206245.39999997616,9019,window,AF,A,168603,168603,167063,167870,167064,169286,168386,168387,169286,12
13,test,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),210700.5,window,1100,I,z,z,None,589,390.0,199.0,64,1,2221.5,208479.0,9019,temper,AF,A,171120,171120,169297,170403,169298,171519,170920,170920,171519,13
14,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),212684.19999998808,elated,800,I,m,m,None,641,442.0,199.0,117,1,1977.5,210706.69999998808,9019,remote,AF,A,173053,173053,171525,172336,171525,173502,172853,172853,173502,14
15,test,1,con,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),215017.5,bell,1100,I,m,m,None,695,495.0,200.0,84,1,2325.0,212692.5,9019,bell,AF,A,175336,175336,173511,174620,173511,175836,175136,175136,175836,15
16,test,1,inc,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),216950.69999998808,rock,900,I,z,z,None,496,297.0,199.0,22,1,1923.1000000238419,215027.59999996424,9019,love,AF,A,177470,177470,175846,176753,175846,177769,177270,177270,177769,16
17,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),219317.5,love,1000,I,m,m,None,806,607.0,199.0,87,1,2350.5,216967.0,9019,bell,AF,A,179520,179520,177785,178803,177787,180136,179320,179320,180136,17
18,test,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),221267.39999997616,rage,800,I,z,z,None,609,393.0,216.0,49,1,1940.699999988079,219326.69999998808,9019,rage,AF,A,181686,181686,180145,180953,180145,182085,181470,181470,182085,18
19,test,1,con,1,z,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),223101.0,elated,800,I,z,z,None,482,283.0,199.0,1,1,1824.199999988079,221276.80000001192,9019,elated,AF,A,183620,183620,182095,182903,182095,183919,183420,183420,183919,19
20,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),225134.19999998808,love,1000,I,m,m,None,490,291.0,199.0,95,1,2024.5,223109.69999998808,9019,film,AF,A,185653,185653,183928,184936,183928,185952,185453,185453,185952,20
21,test,1,inc,1,m,Wed May 28 2025 16:34:22 GMT-0400 (Eastern Daylight Time),227434.19999998808,love,1000,I,m,m,None,751,536.0,215.0,71,1,2291.0,225143.19999998808,9019,step,AF,A,187703,187703,185961,186970,185962,188252,187486,187487,188252,21
