acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),59315.200000047684,CFD-BM-005-010-A.jpg,1600,solid,I,None,1515,2,1,3916.800000011921,55398.40000003576,9019,ATS,A,1
1,prac,1,A,haborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),62765.30000001192,CFD-WM-013-015-A.jpg,1900,solid,I,z,749,8,1,7366.899999976158,55398.40000003576,9019,ATS,A,2
2,prac,1,A,haborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),66415.20000004768,CFD-BF-028-020-HC.jpg,2000,solid,I,m,846,5,1,11016.800000011921,55398.40000003576,9019,ATS,A,3
3,prac,1,A,haborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),69498.40000003576,CFD-WF-017-016-HC.jpg,1500,solid,I,m,776,11,1,14100.0,55398.40000003576,9019,ATS,A,4
4,prac,1,A,haborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),72598.0,CFD-WF-003-014-A.jpg,1600,solid,I,z,697,10,1,17199.599999964237,55398.40000003576,9019,ATS,A,5
5,prac,1,A,haborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),74998.60000002384,CFD-WF-019-015-A.jpg,1000,solid,I,z,605,12,1,19600.19999998808,55398.40000003576,9019,ATS,A,6
6,prac,1,A,haborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),77481.40000003576,CFD-BF-023-013-A.jpg,1000,solid,I,z,677,4,1,22083.0,55398.40000003576,9019,ATS,A,7
7,prac,1,A,haborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),80615.40000003576,CFD-WM-006-013-HC.jpg,1700,solid,I,m,646,9,1,25217.0,55398.40000003576,9019,ATS,A,8
8,prac,1,A,haborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),83632.0,CFD-WM-004-005-HC.jpg,1400,solid,I,m,804,7,1,28233.599999964237,55398.40000003576,9019,ATS,A,9
9,prac,1,A,haborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),86781.80000001192,CFD-BM-017-052-HC.jpg,1700,solid,I,m,640,1,1,31383.399999976158,55398.40000003576,9019,ATS,A,10
10,prac,1,A,haborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),89615.30000001192,CFD-BF-039-039-A.jpg,1200,solid,I,z,822,6,1,34216.89999997616,55398.40000003576,9019,ATS,A,11
11,prac,1,A,haborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),92848.60000002384,CFD-BM-029-026-HC.jpg,1500,solid,I,m,928,3,1,37450.19999998808,55398.40000003576,9019,ATS,A,12
1,prac,1,B,mfborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),119648.5,CFD-WF-003-014-A.jpg,1500,dash,I,z,744,11,1,3033.599999964237,116614.90000003576,9019,ATS,A,1
2,prac,1,B,mfborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),122731.80000001192,CFD-BM-029-026-HC.jpg,1700,dash,I,m,575,1,1,6116.899999976158,116614.90000003576,9019,ATS,A,2
3,prac,1,B,mfborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),125048.5,CFD-WF-017-016-HC.jpg,1000,dash,I,z,511,12,1,8433.599999964237,116614.90000003576,9019,ATS,A,3
4,prac,1,B,mfborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),127965.10000002384,CFD-BF-028-020-HC.jpg,1400,dash,I,z,700,7,1,11350.199999988079,116614.90000003576,9019,ATS,A,4
5,prac,1,B,mfborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),131181.90000003576,CFD-WF-002-008-HC.jpg,1900,dash,I,z,514,8,1,14567.0,116614.90000003576,9019,ATS,A,5
6,prac,1,B,mfborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),134215.20000004768,CFD-BM-010-019-A.jpg,1600,dash,I,m,629,2,1,17600.30000001192,116614.90000003576,9019,ATS,A,6
7,prac,1,B,mfborder.png,1,m,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),137315.20000004768,CFD-WM-006-013-HC.jpg,1600,dash,I,m,700,10,1,20700.30000001192,116614.90000003576,9019,ATS,A,7
8,prac,1,B,mfborder.png,1,z,Wed May 28 2025 16:41:27 GMT-0400 (Eastern Daylight Time),139815.10000002384,CFD-BF-023-013-A.jpg,1000,dash,I,z,688,4,1,23200.19999998808,116614.90000003576,9019,ATS,A,8
