block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,,,I,space,1310,1,,,9019,WL,A,
prac,,0,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,NA,b,I,b,2020,1,,,9019,WL,A,1.0
prac,,0,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,NA,bo,I,o,362,1,,,9019,WL,A,1.0
prac,,0,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,NA,boo,I,o,78,1,,,9019,WL,A,1.0
prac,,0,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,NA,boos,I,s,119,1,,,9019,WL,A,1.0
prac,,0,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,NA,boost,I,t,75,1,,,9019,WL,A,1.0
prac,,0,,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),,NA,boostenter,I,enter,2349,1,,,9019,WL,A,1.0
1,1.8680000305175781,learn,58131.99996948242,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),121901.0,A,b,I,b,1845,1,1867.5,120033.5,9019,WL,A,1.0
1,2.500999927520752,learn,57499.00007247925,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),122534.39999997616,A,bo,I,o,607,1,2500.899999976158,120033.5,9019,WL,A,1.0
1,2.6510000228881836,learn,57348.99997711182,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),122683.89999997616,A,boo,I,o,125,1,2650.399999976158,120033.5,9019,WL,A,1.0
1,2.867000102996826,learn,57132.999897003174,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),122900.60000002384,A,book,I,k,180,1,2867.100000023842,120033.5,9019,WL,A,1.0
1,3.933000087738037,learn,56066.99991226196,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),123966.69999998808,A,bookenter,I,enter,1046,1,3933.199999988079,120033.5,9019,WL,A,1.0
1,4.700999975204468,learn,55299.00002479553,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),124733.80000001192,A,f,I,f,743,1,766.5,123967.30000001192,9019,WL,A,2.0
1,4.851000070571899,learn,55148.9999294281,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),124883.89999997616,A,fl,I,l,133,1,916.5999999642372,123967.30000001192,9019,WL,A,2.0
1,5.016999959945679,learn,54983.00004005432,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),125050.5,A,flo,I,o,141,1,1083.199999988079,123967.30000001192,9019,WL,A,2.0
1,5.316999912261963,learn,54683.00008773804,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),125350.60000002384,A,flow,I,w,262,1,1383.300000011921,123967.30000001192,9019,WL,A,2.0
1,5.41700005531311,learn,54582.99994468689,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),125450.60000002384,A,flowe,I,e,76,1,1483.300000011921,123967.30000001192,9019,WL,A,2.0
1,5.5,learn,54500.0,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),125533.60000002384,A,flower,I,r,50,1,1566.300000011921,123967.30000001192,9019,WL,A,2.0
1,5.91700005531311,learn,54082.99994468689,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),125950.0,A,flowerenter,I,enter,388,1,1982.699999988079,123967.30000001192,9019,WL,A,2.0
1,6.549999952316284,learn,53450.000047683716,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),126583.60000002384,A,t,I,t,624,1,633.0,125950.60000002384,9019,WL,A,3.0
1,6.7179999351501465,learn,53282.00006484985,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),126750.80000001192,A,tr,I,r,154,1,800.1999999880791,125950.60000002384,9019,WL,A,3.0
1,6.917999982833862,learn,53082.00001716614,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),126950.89999997616,A,tra,I,a,187,1,1000.2999999523163,125950.60000002384,9019,WL,A,3.0
1,7.066999912261963,learn,52933.00008773804,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),127100.5,A,trai,I,i,132,1,1149.8999999761581,125950.60000002384,9019,WL,A,3.0
1,7.184000015258789,learn,52815.99998474121,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),127217.30000001192,A,train,I,n,87,1,1266.699999988079,125950.60000002384,9019,WL,A,3.0
1,7.900000095367432,learn,52099.99990463257,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),127933.39999997616,A,trainenter,I,enter,688,1,1982.7999999523163,125950.60000002384,9019,WL,A,3.0
1,8.849999904632568,learn,51150.00009536743,Wed May 28 2025 17:10:16 GMT-0400 (Eastern Daylight Time),128883.30000001192,A,n,I,n,929,1,949.4000000357628,127933.89999997616,9019,WL,A,4.0
