acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),45449.89999997616,I,z,4008,,,6,yes,1,5541.199999988079,39908.69999998808,CSDBFPHXZ,CSDBFPHXZ,9020,LC,B,,,1
2,1,0.0,prac,1,m,30000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),49016.39999997616,I,m,2033,,,5,no,1,3556.699999988079,45459.69999998808,LNDPRSKQB,LNDPRSJQB,9020,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),52032.89999997616,I,z,1485,,,4,yes,1,3008.199999988079,49024.69999998808,RSM,RSM,9020,LC,B,,,3
4,1,0.0,prac,1,z,30000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),56049.59999996424,I,z,2482,,,2,yes,1,4006.699999988079,52042.89999997616,NBGFSM,NBGFSM,9020,LC,B,,,4
5,1,0.0,prac,1,m,30000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),59999.59999996424,I,m,2419,,,3,no,1,3941.599999964237,56058.0,QHZXPC,QHZWPC,9020,LC,B,,,5
6,1,0.0,prac,1,m,30000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),62816.19999998808,I,m,1276,,,1,no,1,2808.199999988079,60008.0,RNV,FNV,9020,LC,B,,,6
1,1,1.2669999599456787,test,1,m,28733.00004005432,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),74150.0,I,m,1243,1243,,1,no,1,1259.800000011921,72890.19999998808,HCF,RCF,9020,LC,B,71284,,1
2,1,3.299999952316284,test,1,m,26700.000047683716,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),76183.5,I,m,2011,2011,,2,no,1,2022.5,74161.0,QTPRJX,QTPNJX,9020,LC,B,72555,,2
3,1,5.565999984741211,test,1,m,24434.00001525879,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),78449.69999998808,I,m,2245,2245,,3,no,1,2257.5,76192.19999998808,MZDYGVGKQ,MZDYGLBKQ,9020,LC,B,74586,,3
4,1,7.049999952316284,test,1,m,22950.000047683716,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),79933.09999996424,I,m,1467,1467,,4,no,1,1476.300000011921,78456.79999995232,FQTNMK,JQTNMK,9020,LC,B,76851,,4
5,1,8.967000007629395,test,1,z,21032.999992370605,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),81849.69999998808,I,z,1897,1897,,5,yes,1,1908.9000000357628,79940.79999995232,CLJ,CLJ,9020,LC,B,78334,,5
6,1,12.983000040054321,test,1,m,17016.99995994568,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),85866.39999997616,I,m,3996,3996,,6,no,1,4008.600000023842,81857.79999995232,JGDMNSVPW,JGZMNSVPW,9020,LC,B,80251,,6
7,1,16.217000007629395,test,1,z,13782.999992370605,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),89099.79999995232,I,z,3211,3211,,7,yes,1,3226.2999999523163,85873.5,FPTVHKCBJ,FPTVHKCBJ,9020,LC,B,84267,,7
8,1,17.73300004005432,test,1,m,12266.999959945679,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),90616.5,I,m,1497,1497,,8,no,1,1508.5,89108.0,XRPZBS,ZRPBDH,9020,LC,B,87502,,8
9,1,18.98300004005432,test,1,m,11016.999959945679,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),91866.29999995232,I,m,1230,1230,,9,no,1,1242.7999999523163,90623.5,ZSQ,ZSP,9020,LC,B,89017,,9
10,1,21.200000047683716,test,1,z,8799.999952316284,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),94083.0,I,z,2203,2203,,10,yes,1,2209.5,91873.5,MPZRXL,MPZRXL,9020,LC,B,90267,,10
11,1,22.26699995994568,test,1,m,7733.000040054321,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),95149.79999995232,I,m,1042,1042,,11,no,1,1058.2999999523163,94091.5,KJH,KRH,9020,LC,B,92485,,11
12,1,26.217000007629395,test,1,z,3782.9999923706055,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),99099.79999995232,I,z,3929,3929,,12,yes,1,3943.2999999523163,95156.5,SMNHVTFCB,SMNHVTFCB,9020,LC,B,93550,,12
13,1,28.16700005531311,test,1,z,1832.9999446868896,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),101049.79999995232,I,z,1928,1928,,13,yes,1,1940.0,99109.79999995232,KJWTQF,KJWTQF,9020,LC,B,97503,,13
13,1,30.01699995994568,test,0,z,-16.99995994567871,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),102899.89999997616,I,None,1843,1843,,14,yes,1,1843.300000011921,101056.59999996424,CHDKQGLMB,CHDKQGLMB,9020,LC,B,99450,,14
1,2,4.25,test,1,z,25750.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),109549.69999998808,I,z,4227,,4227.0,1,yes,1,8493.100000023842,101056.59999996424,PRDBZTYFN,PRDBZTYFN,9020,LC,B,,103700.0,1
2,2,5.83299994468689,test,1,m,24167.00005531311,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),111133.19999998808,I,m,1568,,1568.0,2,no,1,10076.600000023842,101056.59999996424,NCWJDZ,NCMJDZ,9020,LC,B,,107951.0,2
3,2,6.9659998416900635,test,1,m,23034.000158309937,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),112266.39999997616,I,m,1121,,1121.0,3,no,1,11209.800000011921,101056.59999996424,KHW,KBW,9020,LC,B,,109534.0,3
4,2,8.599999904632568,test,1,m,21400.00009536743,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),113899.79999995232,I,m,1610,,1610.0,4,no,1,12843.199999988079,101056.59999996424,ZRBGMF,ZRBCMF,9020,LC,B,,110668.0,4
5,2,9.748999834060669,test,1,m,20251.00016593933,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),115049.5,I,m,1137,,1137.0,5,no,1,13992.900000035763,101056.59999996424,BTH,BYH,9020,LC,B,,112301.0,5
5,2,12.449999809265137,test,0,z,17550.000190734863,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),117749.69999998808,I,m,2684,,2684.0,6,yes,1,16693.100000023842,101056.59999996424,XWKQRYCNZ,XWKQRYCNZ,9020,LC,B,,113451.0,6
6,2,14.815999984741211,test,1,z,15184.000015258789,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),120116.5,I,z,2353,,2353.0,7,yes,1,19059.900000035763,101056.59999996424,HNPDLK,HNPDLK,9020,LC,B,,116150.0,7
7,2,17.0,test,1,m,13000.0,Tue May 27 2025 18:33:31 GMT-0400 (Eastern Daylight Time),122299.79999995232,I,m,2161,,2161.0,8,no,1,21243.19999998808,101056.59999996424,WMQTRSGLZ,WMQTRZGLZ,9020,LC,B,,118517.0,8
