Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
4,1,prac,1,A,circle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),51449.299999952316,1400,I,z,573,4,3,2760.600000023842,48688.699999928474,8005,NTS,C,1
8,2,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),54231.39999997616,1600,I,m,391,7,3,2775.0,51456.39999997616,8005,NTS,C,2
2,3,prac,1,A,circle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),57513.60000002384,2000,I,z,496,2,3,3276.8000000715256,54236.799999952316,8005,NTS,C,3
6,4,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),60796.299999952316,1900,I,m,594,5,3,3277.1999999284744,57519.10000002384,8005,NTS,C,4
7,5,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),63761.60000002384,1700,I,m,480,6,3,2959.600000023842,60802.0,8005,NTS,C,5
8,6,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),66660.89999997616,1600,I,m,490,7,3,2894.2000000476837,63766.699999928474,8005,NTS,C,6
7,7,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),69660.0,1700,I,m,503,6,3,2993.8000000715256,66666.19999992847,8005,NTS,C,7
1,8,prac,1,A,circle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),72009.19999992847,1000,I,z,564,1,3,2344.0,69665.19999992847,8005,NTS,C,8
3,9,prac,1,A,circle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),74591.5,1200,I,z,591,3,3,2576.899999976158,72014.60000002384,8005,NTS,C,9
2,10,prac,1,A,circle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),77774.0,2000,I,z,393,2,3,3177.2000000476837,74596.79999995232,8005,NTS,C,10
6,11,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),81006.60000002384,1900,I,m,542,5,3,3227.2000000476837,77779.39999997616,8005,NTS,C,11
9,12,prac,1,A,circle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),83922.0,1500,I,m,622,8,3,2910.399999976158,81011.60000002384,8005,NTS,C,12
2,1,prac,1,B,triangle.png,1,m,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),107548.0,1700,I,m,653,2,3,3144.600000023842,104403.39999997616,8005,NTS,C,1
1,2,prac,1,B,triangle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),110647.19999992847,1900,I,z,408,1,3,3093.6999999284744,107553.5,8005,NTS,C,2
3,3,prac,1,B,triangle.png,1,z,Wed May 21 2025 11:26:53 GMT-0500 (Central Daylight Time),113779.5,1600,I,z,642,3,3,3126.8000000715256,110652.69999992847,8005,NTS,C,3
