acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),24699.79999999702,I,m,1122,,,1,no,2,2645.2999999970198,22054.5,RNV,FNV,8012,LC,B,,,1
2,1,0.0,prac,1,z,30000.0,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),27182.09999999404,I,z,952,,,2,yes,2,2478.0,24704.09999999404,NBGFSM,NBGFSM,8012,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),29598.09999999404,I,z,886,,,4,yes,2,2411.7999999970198,27186.29999999702,RSM,RSM,8012,LC,B,,,3
4,1,0.0,prac,1,z,30000.0,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),32980.39999999851,I,z,1854,,,6,yes,2,3377.89999999851,29602.5,CSDBFPHXZ,CSDBFPHXZ,8012,LC,B,,,4
5,1,0.0,prac,1,m,30000.0,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),35646.29999999702,I,m,1143,,,3,no,2,2661.10000000149,32985.19999999553,QHZXPC,QHZWPC,8012,LC,B,,,5
5,1,0.0,prac,0,m,30000.0,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),38929.5,I,z,1766,,,5,no,2,3278.9000000059605,35650.59999999404,LNDPRSKQB,LNDPRSJQB,8012,LC,B,,,6
1,1,1.0329999923706055,test,1,m,28967.000007629395,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),45110.19999999553,I,m,1017,1017,,1,no,2,1030.2999999970198,44079.89999999851,HCF,RCF,8012,LC,B,42213,,1
2,1,2.4660000801086426,test,1,m,27533.999919891357,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),46542.89999999851,I,m,1414,1414,,2,no,2,1429.1000000014901,45113.79999999702,QTPRJX,QTPNJX,8012,LC,B,43248,,2
3,1,4.148999929428101,test,1,m,25851.0000705719,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),48225.5,I,m,1678,1678,,3,no,2,1679.4000000059605,46546.09999999404,MZDYGVGKQ,MZDYGLBKQ,8012,LC,B,44680,,3
4,1,5.499000072479248,test,1,m,24500.999927520752,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),49575.29999999702,I,m,1331,1331,,4,no,2,1346.5,48228.79999999702,FQTNMK,JQTNMK,8012,LC,B,46363,,4
5,1,6.54800009727478,test,1,z,23451.99990272522,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),50624.69999999553,I,z,1038,1038,,5,yes,2,1046.1000000014901,49578.59999999404,CLJ,CLJ,8012,LC,B,47712,,5
6,1,7.947000026702881,test,1,m,22052.99997329712,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),52024.29999999702,I,m,1388,1388,,6,no,2,1396.3999999985099,50627.89999999851,JGDMNSVPW,JGZMNSVPW,8012,LC,B,48762,,6
7,1,10.54699993133545,test,1,z,19453.00006866455,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),54623.79999999702,I,z,2589,2589,,7,yes,2,2596.2999999970198,52027.5,FPTVHKCBJ,FPTVHKCBJ,8012,LC,B,50161,,7
8,1,11.680000066757202,test,1,m,18319.999933242798,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),55756.5,I,m,1125,1125,,8,no,2,1129.6000000014901,54626.89999999851,XRPZBS,ZRPBDH,8012,LC,B,52761,,8
9,1,12.82800006866455,test,1,m,17171.99993133545,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),56905.89999999851,I,m,1145,1145,,9,no,2,1146.3000000044703,55759.59999999404,ZSQ,ZSP,8012,LC,B,53893,,9
10,1,14.311000108718872,test,1,z,15688.999891281128,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),58389.29999999702,I,z,1476,1476,,10,yes,2,1480.5,56908.79999999702,MPZRXL,MPZRXL,8012,LC,B,55042,,10
11,1,15.194000005722046,test,1,m,14805.999994277954,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),59272.19999999553,I,m,864,864,,11,no,2,879.7999999970198,58392.39999999851,KJH,KRH,8012,LC,B,56526,,11
11,1,17.47699999809265,test,0,z,12523.000001907349,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),61554.69999999553,I,m,2269,2269,,12,yes,2,2279.39999999851,59275.29999999702,SMNHVTFCB,SMNHVTFCB,8012,LC,B,57409,,12
12,1,19.276000022888184,test,1,z,10723.999977111816,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),63354.09999999404,I,z,1795,1795,,13,yes,2,1796.1999999955297,61557.89999999851,KJWTQF,KJWTQF,8012,LC,B,59691,,13
13,1,21.408999919891357,test,1,z,8591.000080108643,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),65487.0,I,z,2115,2115,,14,yes,2,2129.7000000029802,63357.29999999702,CHDKQGLMB,CHDKQGLMB,8012,LC,B,61491,,14
14,1,22.075000047683716,test,1,z,7924.999952316284,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),66153.29999999702,I,z,654,654,,15,yes,2,662.8999999985099,65490.39999999851,GHQ,GHQ,8012,LC,B,63624,,15
15,1,23.60800004005432,test,1,z,6391.999959945679,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),67686.09999999404,I,z,1524,1524,,16,yes,2,1529.6999999955297,66156.39999999851,GFVMRH,GFVMRH,8012,LC,B,64290,,16
16,1,24.490999937057495,test,1,z,5509.000062942505,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),68569.39999999851,I,z,879,879,,17,yes,2,880.0,67689.39999999851,RSM,RSM,8012,LC,B,65823,,17
17,1,25.806999921798706,test,1,m,4193.000078201294,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),69885.39999999851,I,m,1299,1299,,18,no,2,1312.3000000044703,68573.09999999404,BSRJTRMLG,BSFJTRMLG,8012,LC,B,66707,,18
18,1,27.723999977111816,test,1,z,2276.0000228881836,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),71801.69999999553,I,z,1896,1896,,19,yes,2,1912.7999999970198,69888.89999999851,NBGFSM,NBGFSM,8012,LC,B,68022,,19
19,1,29.689000129699707,test,1,z,310.99987030029297,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),73767.59999999404,I,z,1956,1956,,20,yes,2,1962.5999999940395,71805.0,JQKBPLXGY,JQKBPLXGY,8012,LC,B,69938,,20
19,1,30.00600004196167,test,0,m,-6.000041961669922,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),74084.5,I,None,313,313,,21,no,2,313.70000000298023,73770.79999999702,RNV,FNV,8012,LC,B,71904,,21
1,2,2.5329999923706055,test,1,z,27467.000007629395,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),78950.29999999702,I,z,2525,,2525.0,1,yes,2,5179.5,73770.79999999702,PRDBZTYFN,PRDBZTYFN,8012,LC,B,,74553.0,1
2,2,3.815000057220459,test,1,m,26184.99994277954,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),80232.29999999702,I,m,1271,,1271.0,2,no,2,6461.5,73770.79999999702,NCWJDZ,NCMJDZ,8012,LC,B,,77087.0,2
3,2,4.79800009727478,test,1,m,25201.99990272522,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),81215.5,I,m,973,,973.0,3,no,2,7444.70000000298,73770.79999999702,KHW,KBW,8012,LC,B,,78369.0,3
4,2,6.664000034332275,test,1,m,23335.999965667725,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),83081.5,I,m,1862,,1862.0,4,no,2,9310.70000000298,73770.79999999702,ZRBGMF,ZRBCMF,8012,LC,B,,79352.0,4
5,2,7.664000034332275,test,1,m,22335.999965667725,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),84081.19999999553,I,m,980,,980.0,5,no,2,10310.39999999851,73770.79999999702,BTH,BYH,8012,LC,B,,81218.0,5
6,2,10.61300015449524,test,1,z,19386.99984550476,Thu May 08 2025 10:45:25 GMT-0500 (Central Daylight Time),87030.19999999553,I,z,2932,,2932.0,6,yes,2,13259.39999999851,73770.79999999702,XWKQRYCNZ,XWKQRYCNZ,8012,LC,B,,82218.0,6
