Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),101741.10000000149,I,m,1644,1,2,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10460.40000000596,91280.69999999553,8012,yes,SM,B,16.bmp,-120,-120,95625,89597,97642,91610,,,,,1
3,0,0,1,0,0,prac,1,0,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),112571.10000000149,I,None,2017,2,2,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10826.40000000596,101744.69999999553,8012,no,SM,B,23.bmp,-120,120,106089,100061,108105,102074,,,,,2
4,0,0,0,1,1,prac,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),122617.89999999851,I,m,1231,3,2,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,10043.0,112574.89999999851,8012,no,SM,B,24.bmp,120,120,116919,110891,118935,112903,,,,,3
2,0,1,0,0,2,prac,1,1,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),132498.5,I,z,1057,4,2,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,9877.20000000298,122621.29999999702,8012,yes,SM,B,29.bmp,120,-120,126966,120938,128982,122951,,,,,4
3,0,0,1,0,2,prac,1,0,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),142412.79999999702,I,m,1097,5,2,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,9910.89999999851,132501.8999999985,8012,yes,SM,B,34.bmp,-120,120,136846,130818,138862,132831,,,,,5
1,1,0,0,0,3,prac,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),152308.8999999985,I,m,1079,6,2,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,9892.5,142416.3999999985,8012,no,SM,B,39.bmp,-120,-120,146759,140733,148776,142744,,,,,6
2,0,1,0,0,4,prac,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),162322.19999999553,I,m,1189,7,2,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,10010.0,152312.19999999553,8012,no,SM,B,40.bmp,120,-120,156656,150632,158672,152641,,,,,7
4,0,0,0,1,5,prac,1,1,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),172918.8999999985,I,z,1768,8,2,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,10592.5,162326.3999999985,8012,yes,SM,B,47.bmp,120,120,166670,160643,168686,162655,,,,,8
4,0,0,0,1,1,test,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),196879.19999999553,I,m,937,1,2,48.bmp,-120,-120,49.bmp,120,-120,50.bmp,-120,120,43.bmp,120,120,8995.59999999404,187883.6000000015,8012,yes,SM,B,50.bmp,120,120,166670,160643,168686,162655,192228.0,186200.0,194245.0,188213.0,1
2,0,1,0,0,2,test,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),206025.29999999702,I,m,1085,2,2,1.bmp,-120,-120,2.bmp,120,-120,3.bmp,-120,120,4.bmp,120,120,9141.69999999553,196883.6000000015,8012,yes,SM,B,3.bmp,120,-120,166670,160643,168686,162655,201226.0,195200.0,203242.0,197211.0,2
1,1,0,0,0,3,test,1,1,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),215305.3999999985,I,z,1220,3,2,5.bmp,-120,-120,6.bmp,120,-120,7.bmp,-120,120,8.bmp,120,120,9277.20000000298,206028.19999999553,8012,yes,SM,B,5.bmp,-120,-120,166670,160643,168686,162655,210373.0,204345.0,212386.0,206358.0,3
3,0,0,1,0,4,test,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),224569.3999999985,I,m,1209,4,2,9.bmp,-120,-120,10.bmp,120,-120,11.bmp,-120,120,12.bmp,120,120,9260.20000000298,215309.19999999553,8012,yes,SM,B,9.bmp,-120,120,166670,160643,168686,162655,219653.0,213625.0,221670.0,215638.0,4
2,0,1,0,0,5,test,1,1,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),233899.6000000015,I,z,1281,5,2,13.bmp,-120,-120,14.bmp,120,-120,15.bmp,-120,120,16.bmp,120,120,9326.90000000596,224572.69999999553,8012,yes,SM,B,14.bmp,120,-120,166670,160643,168686,162655,228917.0,222889.0,230933.0,224902.0,5
3,0,0,1,0,6,test,1,1,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),243330.3999999985,I,z,1375,6,2,17.bmp,-120,-120,18.bmp,120,-120,19.bmp,-120,120,20.bmp,120,120,9427.70000000298,233902.69999999553,8012,yes,SM,B,19.bmp,-120,120,166670,160643,168686,162655,238248.0,232219.0,240264.0,234232.0,6
4,0,0,0,1,7,test,1,1,z,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),252310.6000000015,I,z,921,7,2,21.bmp,-120,-120,22.bmp,120,-120,23.bmp,-120,120,24.bmp,120,120,8977.20000000298,243333.3999999985,8012,yes,SM,B,24.bmp,120,120,166670,160643,168686,162655,247678.0,241650.0,249694.0,243663.0,7
2,0,1,0,0,8,test,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),261741.1000000015,I,m,1372,8,2,25.bmp,-120,-120,26.bmp,120,-120,27.bmp,-120,120,28.bmp,120,120,9427.40000000596,252313.69999999553,8012,yes,SM,B,25.bmp,120,-120,166670,160643,168686,162655,256658.0,250630.0,258675.0,252643.0,8
3,0,0,1,0,9,test,1,1,m,Thu May 08 2025 10:27:05 GMT-0500 (Central Daylight Time),271054.8999999985,I,m,1262,9,2,29.bmp,-120,-120,30.bmp,120,-120,31.bmp,-120,120,32.bmp,120,120,9310.39999999851,261744.5,8012,yes,SM,B,30.bmp,-120,120,166670,160643,168686,162655,266089.0,260061.0,268105.0,262073.0,9
