acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,m,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),55500.59999990463,CFD-WM-028-005-HC.jpg,1400,solid,I,None,1515,7,2,3698.5999999046326,51802.0,8018,ATS,C,1
1,prac,1,A,haborder.png,1,m,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),59249.299999952316,CFD-BF-019-004-HC.jpg,2000,solid,I,m,958,5,2,7447.299999952316,51802.0,8018,ATS,C,2
2,prac,1,A,haborder.png,1,m,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),62565.0,CFD-WM-035-036-HC.jpg,1700,solid,I,m,821,9,2,10763.0,51802.0,8018,ATS,C,3
3,prac,1,A,haborder.png,1,z,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),65847.19999992847,CFD-WF-037-016-A.jpg,1600,solid,I,z,885,10,2,14045.199999928474,51802.0,8018,ATS,C,4
4,prac,1,A,haborder.png,1,z,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),68596.59999990463,CFD-BF-002-018-A.jpg,1200,solid,I,z,763,6,2,16794.599999904633,51802.0,8018,ATS,C,5
5,prac,1,A,haborder.png,1,z,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),71095.69999992847,CFD-WF-023-013-A.jpg,1000,solid,I,z,702,12,2,19293.699999928474,51802.0,8018,ATS,C,6
6,prac,1,A,haborder.png,1,m,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),74111.59999990463,CFD-WF-013-009-HC.jpg,1500,solid,I,m,718,11,2,22309.599999904633,51802.0,8018,ATS,C,7
7,prac,1,A,haborder.png,1,z,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),76710.69999992847,CFD-BF-031-020-A.jpg,1000,solid,I,z,812,4,2,24908.699999928474,51802.0,8018,ATS,C,8
8,prac,1,A,haborder.png,1,z,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),79842.79999995232,CFD-BM-043-014-A.jpg,1600,solid,I,z,748,2,2,28040.799999952316,51802.0,8018,ATS,C,9
9,prac,1,A,haborder.png,1,z,Tue May 20 2025 18:24:42 GMT-0500 (Central Daylight Time),83225.39999997616,CFD-WM-036-018-A.jpg,1900,solid,I,z,691,8,2,31423.399999976158,51802.0,8018,ATS,C,10
