acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),,093_m_f_n_a.png,I,space,7679,1,2,,,8018,NNB,C,0
0,prac,1,0.0,1-Back,0,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),131965.89999997616,098_y_f_n_a.png,I,None,2009,2,2,2873.2000000476837,129092.69999992847,8018,NNB,C,1
1,prac,1,1.0,1-Back,1,z,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),134465.19999992847,098_y_f_n_a.png,I,z,1716,3,2,2492.100000023842,131973.09999990463,8018,NNB,C,2
1,prac,1,0.0,1-Back,0,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),137064.19999992847,059_o_m_n_a.png,I,z,1704,4,2,2592.5,134471.69999992847,8018,NNB,C,3
2,prac,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),139314.69999992847,092_m_m_n_a.png,I,m,1379,5,2,2243.100000023842,137071.59999990463,8018,NNB,C,4
3,prac,1,1.0,1-Back,1,z,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),141112.89999997616,092_m_m_n_a.png,I,z,1007,6,2,1790.8999999761581,139322.0,8018,NNB,C,5
4,prac,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),142945.5,130_o_f_n_a.png,I,m,921,7,2,1823.4000000953674,141122.09999990463,8018,NNB,C,6
5,prac,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),145095.19999992847,082_m_m_n_a.png,I,m,1261,8,2,2141.6999999284744,142953.5,8018,NNB,C,7
6,prac,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),146894.5,093_m_f_n_a.png,I,m,1019,9,2,1791.7000000476837,145102.79999995232,8018,NNB,C,8
7,prac,1,1.0,1-Back,1,z,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),148710.59999990463,093_m_f_n_a.png,I,z,1036,10,2,1809.5999999046326,146901.0,8018,NNB,C,9
8,prac,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),150443.69999992847,059_o_m_n_a.png,I,m,947,11,2,1725.3999999761581,148718.29999995232,8018,NNB,C,10
9,prac,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),152326.19999992847,028_y_f_n_a.png,I,m,1000,12,2,1874.7999999523163,150451.39999997616,8018,NNB,C,11
0,test,1,0.0,1-Back,,,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),152326.19999992847,098_y_f_n_a.png,I,space,9650,1,2,1874.7999999523163,150451.39999997616,8018,NNB,C,0
1,test,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),173902.59999990463,006_m_f_n_a.png,I,m,1087,2,2,2110.0,171792.59999990463,8018,NNB,C,1
2,test,1,0.0,1-Back,1,m,Tue May 20 2025 18:05:32 GMT-0500 (Central Daylight Time),176335.39999997616,028_y_f_n_a.png,I,m,1410,3,2,2427.899999976158,173907.5,8018,NNB,C,2
