block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,3.2320001125335693,delay,56767.99988746643,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),19500.80000001192,A,campenter,I,enter,560,2,3231.9000000059605,16268.90000000596,8024,DWL,C,1
8,5.730999946594238,delay,54269.00005340576,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),21999.90000000596,A,doctorenter,I,enter,340,2,2498.4000000059605,19501.5,8024,DWL,C,2
8,8.347000122070312,delay,51652.99987792969,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),24616.0,A,letterenter,I,enter,1007,2,2615.5,22000.5,8024,DWL,C,3
8,11.328999996185303,delay,48671.0000038147,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),27598.20000001788,A,queenenter,I,enter,475,2,2981.9000000059605,24616.30000001192,8024,DWL,C,4
8,13.42900013923645,delay,46570.99986076355,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),29697.59999999404,A,boyenter,I,enter,439,2,2098.899999976158,27598.70000001788,8024,DWL,C,5
8,15.477999925613403,delay,44522.0000743866,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),31747.0,A,nailenter,I,enter,463,2,2048.9000000059605,29698.09999999404,8024,DWL,C,6
8,21.526000022888184,delay,38473.99997711182,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),37795.09999999404,A,letterenter,I,enter,330,2,6047.799999982119,31747.30000001192,8024,DWL,C,7
8,26.54100012779236,delay,33458.99987220764,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),42810.0,A,wheatenter,I,enter,463,2,5014.5999999940395,37795.40000000596,8024,DWL,C,8
8,30.140000104904175,delay,29859.999895095825,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),46409.09999999404,A,towerenter,I,enter,347,2,3598.5999999940395,42810.5,8024,DWL,C,9
8,35.638999938964844,delay,24361.000061035156,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),51907.20000001788,A,bodyenter,I,enter,479,2,5497.800000011921,46409.40000000596,8024,DWL,C,10
8,38.854000091552734,delay,21145.999908447266,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),55122.90000000596,A,shoreenter,I,enter,397,2,3215.300000011921,51907.59999999404,8024,DWL,C,11
8,44.568000078201294,delay,15431.999921798706,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),60837.80000001192,A,cattleenter,I,enter,335,2,5714.5999999940395,55123.20000001788,8024,DWL,C,12
8,46.73399996757507,delay,13266.000032424927,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),63003.80000001192,A,cornenter,I,enter,445,2,2165.5999999940395,60838.20000001788,8024,DWL,C,13
8,55.765000104904175,delay,4234.999895095825,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),72034.40000000596,A,doctorenter,I,enter,605,2,9030.300000011921,63004.09999999404,8024,DWL,C,14
8,60.013999938964844,delay,-13.99993896484375,Thu May 29 2025 12:58:14 GMT-0500 (Central Daylight Time),76283.09999999404,A,None,I,None,4243,2,4248.299999982119,72034.80000001192,8024,DWL,C,15
