acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,46366.90000000596,CFD-BM-250-170-N.jpg,Sam,64,I,None,3016,,3016,,,1,2,4031.0999999940395,-416,-256,42335.80000001192,8024,FN,C,,25484,,,1,192,-320,-224
1,prac,1,1,,344.0,-3.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,50682.10000002384,CFD-WM-255-219-N.jpg,John,64,I,1,1241,,1241,,,2,2,2263.0,224,-32,48419.10000002384,8024,FN,C,,31566,,,2,192,320,0
2,prac,1,1,,-302.0,219.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,52831.20000001788,CFD-LF-208-127-N.jpg,Tina,64,I,1,1127,,1127,,,3,2,2142.5999999940395,-416,192,50688.60000002384,8024,FN,C,,33832,,,3,192,-320,224
3,prac,1,1,,330.0,-242.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,55113.80000001192,CFD-BM-250-170-N.jpg,Sam,64,I,1,1250,,1250,,,4,2,2280.699999988079,224,-256,52833.10000002384,8024,FN,C,,35981,,,4,192,320,-224
4,prac,1,1,,-282.0,11.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,57129.90000000596,CFD-WM-255-219-N.jpg,John,64,I,1,999,,999,,,5,2,2014.199999988079,-416,-32,55115.70000001788,8024,FN,C,,38264,,,5,192,-320,0
5,prac,1,1,,311.0,216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,59045.80000001192,CFD-LF-208-127-N.jpg,Tina,64,I,1,888,,888,,,6,2,1914.0999999940395,224,192,57131.70000001788,8024,FN,C,,40279,,,6,192,320,224
0,prac_test,1,0,m,311.0,216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,75924.0,CFD-WM-255-219-N.jpg,Sam,64,I,z,1721,,,1721,,1,2,3501.0999999940395,224,192,72422.90000000596,8024,FN,C,,,55558,,1,192,320,224
1,prac_test,1,1,m,311.0,216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,80306.0,CFD-BM-250-170-N.jpg,John,64,I,m,2589,,,2589,,2,2,4374.399999976158,224,192,75931.60000002384,8024,FN,C,,,59074,,2,192,320,224
2,prac_test,1,1,z,311.0,216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,83455.0,CFD-LF-208-127-N.jpg,Tina,64,I,z,1351,,,1351,,3,2,3145.899999976158,224,192,80309.10000002384,8024,FN,C,,,63456,,3,192,320,224
0,learn,1,0,,311.0,216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,104681.70000001788,CFD-WM-224-197-N.jpg,Chris,64,I,None,3016,3016,,,,19,2,4026.5,-416,-256,100655.20000001788,8024,FN,C,83799,,,,1,192,-320,-224
1,learn,1,1,,-315.0,222.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,109097.10000002384,CFD-WF-224-099-N.jpg,Kate,64,I,1,1859,1859,,,,27,2,2880.0,-416,192,106217.10000002384,8024,FN,C,89364,,,,2,192,-320,224
2,learn,1,1,,283.0,4.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,112795.60000002384,CFD-BM-243-218-N.jpg,Brian,64,I,1,2680,2680,,,,5,2,3692.2000000178814,224,-32,109103.40000000596,8024,FN,C,92247,,,,3,192,320,0
3,learn,1,1,,336.0,-228.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,116077.90000000596,CFD-WM-252-224-N.jpg,Carl,64,I,1,2254,2254,,,,22,2,3280.2999999821186,224,-256,112797.60000002384,8024,FN,C,95945,,,,4,192,320,-224
4,learn,1,1,,320.0,229.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,119260.40000000596,CFD-WM-240-125-N.jpg,Mike,64,I,1,2155,2155,,,,24,2,3180.7999999821186,224,192,116079.60000002384,8024,FN,C,99228,,,,5,192,320,224
5,learn,1,1,,317.0,-233.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,122625.90000000596,CFD-BF-207-004-N.jpg,Lisa,64,I,1,2333,2333,,,,10,2,3363.2999999821186,224,-256,119262.60000002384,8024,FN,C,102410,,,,6,192,320,-224
6,learn,1,1,,296.0,-228.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,125158.5,CFD-WF-224-099-N.jpg,Kate,64,I,1,1504,1504,,,,28,2,2530.899999976158,224,-256,122627.60000002384,8024,FN,C,105775,,,,7,192,320,-224
7,learn,1,1,,-298.0,224.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,127857.70000001788,CFD-LM-202-072-N.jpg,Robert,64,I,1,1675,1675,,,,39,2,2697.0,-416,192,125160.70000001788,8024,FN,C,108308,,,,8,192,-320,224
8,learn,1,1,,-313.0,-228.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,131023.20000001788,CFD-LM-208-110-N.jpg,Richard,64,I,1,2135,2135,,,,37,2,3163.7000000178814,-416,-256,127859.5,8024,FN,C,111007,,,,9,192,-320,-224
9,learn,1,1,,311.0,-9.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,133972.5,CFD-LF-210-220-N.jpg,Helen,64,I,1,1918,1918,,,,47,2,2947.399999976158,224,-32,131025.10000002384,8024,FN,C,114177,,,,10,192,320,0
9,learn,1,0,,311.0,-9.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,138004.40000000596,CFD-LF-210-220-N.jpg,Helen,64,I,None,3015,3015,,,,48,2,4030.199999988079,224,192,133974.20000001788,8024,FN,C,117122,,,,11,192,320,224
10,learn,1,1,,325.0,1.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,142503.0,CFD-WM-230-131-N.jpg,Paul,64,I,1,1953,1953,,,,17,2,2980.0,224,-32,139523.0,8024,FN,C,122670,,,,12,192,320,0
11,learn,1,1,,325.0,1.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,144968.90000000596,CFD-BF-239-180-N.jpg,Sarah,64,I,1,1433,1433,,,,11,2,2460.0,224,-32,142508.90000000596,8024,FN,C,125653,,,,13,192,320,0
12,learn,1,1,,316.0,1.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,147001.80000001192,CFD-LM-237-264-N.jpg,Jack,64,I,1,1000,1000,,,,35,2,2031.199999988079,224,-32,144970.60000002384,8024,FN,C,128118,,,,14,192,320,0
13,learn,1,1,,-333.0,1.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,149884.10000002384,CFD-BM-216-088-N.jpg,David,64,I,1,1850,1850,,,,8,2,2880.4000000059605,-416,-32,147003.70000001788,8024,FN,C,130156,,,,15,192,-320,0
14,learn,1,1,,-339.0,-216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,152583.30000001192,CFD-BF-243-164-N.jpg,Emily,64,I,1,1669,1669,,,,13,2,2697.0,-416,-256,149886.30000001192,8024,FN,C,133034,,,,16,192,-320,-224
15,learn,1,1,,-293.0,0.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,155199.0,CFD-BF-243-164-N.jpg,Emily,64,I,1,1594,1594,,,,14,2,2614.199999988079,-416,-32,152584.80000001192,8024,FN,C,135733,,,,17,192,-320,0
16,learn,1,1,,-286.0,230.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,157365.10000002384,CFD-LM-212-143-N.jpg,Peter,64,I,1,1145,1145,,,,33,2,2164.2000000178814,-416,192,155200.90000000596,8024,FN,C,138349,,,,18,192,-320,224
17,learn,1,1,,325.0,-3.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,159780.80000001192,CFD-WM-240-125-N.jpg,Mike,64,I,1,1396,1396,,,,23,2,2414.0999999940395,224,-32,157366.70000001788,8024,FN,C,140515,,,,19,192,320,0
18,learn,1,1,,-284.0,6.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,161848.0,CFD-LM-208-110-N.jpg,Richard,64,I,1,1032,1032,,,,38,2,2065.699999988079,-416,-32,159782.30000001192,8024,FN,C,142935,,,,20,192,-320,0
19,learn,1,1,,-302.0,-5.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,164429.70000001788,CFD-WM-224-197-N.jpg,Chris,64,I,1,1554,1554,,,,20,2,2579.7000000178814,-416,-32,161850.0,8024,FN,C,144997,,,,21,192,-320,0
20,learn,1,1,,343.0,-238.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,166712.20000001788,CFD-LM-212-143-N.jpg,Peter,64,I,1,1260,1260,,,,34,2,2280.9000000059605,224,-256,164431.30000001192,8024,FN,C,147579,,,,22,192,320,-224
21,learn,1,1,,-292.0,-216.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,169361.5,CFD-WF-229-004-N.jpg,Julie,64,I,1,1617,1617,,,,25,2,2647.5999999940395,-416,-256,166713.90000000596,8024,FN,C,149862,,,,23,192,-320,-224
22,learn,1,1,,-298.0,226.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,171727.10000002384,CFD-BF-207-004-N.jpg,Lisa,64,I,1,1336,1336,,,,9,2,2363.9000000059605,-416,192,169363.20000001788,8024,FN,C,152511,,,,24,192,-320,224
23,learn,1,1,,-339.0,-235.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,174109.70000001788,CFD-BM-216-088-N.jpg,David,64,I,1,1354,1354,,,,7,2,2380.7000000178814,-416,-256,171729.0,8024,FN,C,154877,,,,25,192,-320,-224
24,learn,1,1,,-328.0,-235.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,176409.0,CFD-BM-239-136-N.jpg,Mark,64,I,1,1275,1275,,,,1,2,2297.699999988079,-416,-256,174111.30000001192,8024,FN,C,157260,,,,26,192,-320,-224
25,learn,1,1,,286.0,-231.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,179008.30000001192,CFD-LM-202-072-N.jpg,Robert,64,I,1,1576,1576,,,,40,2,2597.699999988079,224,-256,176410.60000002384,8024,FN,C,159559,,,,27,192,320,-224
26,learn,1,1,,-309.0,234.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,181740.60000002384,CFD-BM-240-207-N.jpg,George,64,I,1,1713,1713,,,,3,2,2730.2000000178814,-416,192,179010.40000000596,8024,FN,C,162158,,,,28,192,-320,224
27,learn,1,1,,332.0,214.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,184372.90000000596,CFD-LM-237-264-N.jpg,Jack,64,I,1,1611,1611,,,,36,2,2630.4000000059605,224,192,181742.5,8024,FN,C,164891,,,,29,192,320,224
28,learn,1,1,,285.0,220.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,186972.20000001788,CFD-BM-243-218-N.jpg,Brian,64,I,1,1572,1572,,,,6,2,2593.5999999940395,224,192,184378.60000002384,8024,FN,C,167523,,,,30,192,320,224
29,learn,1,1,,-370.0,222.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,189904.80000001192,CFD-LF-217-082-N.jpg,Irene,64,I,1,1900,1900,,,,45,2,2930.199999988079,-416,192,186974.60000002384,8024,FN,C,170122,,,,31,192,-320,224
30,learn,1,1,,-338.0,-5.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,192103.90000000596,CFD-LF-200-058-N.jpg,Cindy,64,I,1,1177,1177,,,,44,2,2193.2999999821186,-416,-32,189910.60000002384,8024,FN,C,173054,,,,32,192,-320,0
31,learn,1,1,,-331.0,-238.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,194320.10000002384,CFD-LF-200-058-N.jpg,Cindy,64,I,1,1193,1193,,,,43,2,2214.300000011921,-416,-256,192105.80000001192,8024,FN,C,175254,,,,33,192,-320,-224
32,learn,1,1,,-321.0,219.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,196852.60000002384,CFD-BF-227-137-N.jpg,Lucy,64,I,1,1512,1512,,,,15,2,2530.7000000178814,-416,192,194321.90000000596,8024,FN,C,177470,,,,34,192,-320,224
33,learn,1,1,,-316.0,-6.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,199851.70000001788,CFD-WF-244-163-N.jpg,Rachel,64,I,1,1973,1973,,,,32,2,2997.2000000178814,-416,-32,196854.5,8024,FN,C,180002,,,,35,192,-320,0
34,learn,1,1,,-341.0,-234.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,-192,202317.60000002384,CFD-WF-244-163-N.jpg,Rachel,64,I,1,1445,1445,,,,31,2,2464.2000000178814,-416,-256,199853.40000000596,8024,FN,C,183002,,,,36,192,-320,-224
35,learn,1,1,,331.0,221.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,205050.10000002384,CFD-WM-230-131-N.jpg,Paul,64,I,1,1699,1699,,,,18,2,2730.800000011921,224,192,202319.30000001192,8024,FN,C,185467,,,,37,192,320,224
36,learn,1,1,,324.0,218.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,207316.0,CFD-BF-239-180-N.jpg,Sarah,64,I,1,1239,1239,,,,12,2,2264.2999999821186,224,192,205051.70000001788,8024,FN,C,188200,,,,38,192,320,224
37,learn,1,1,,-307.0,206.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,256,209998.60000002384,CFD-WM-252-224-N.jpg,Carl,64,I,1,1661,1661,,,,21,2,2680.9000000059605,-416,192,207317.70000001788,8024,FN,C,190466,,,,39,192,-320,224
38,learn,1,1,,343.0,-233.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,212614.5,CFD-BM-240-207-N.jpg,George,64,I,1,1595,1595,,,,4,2,2614.399999976158,224,-256,210000.10000002384,8024,FN,C,193148,,,,40,192,320,-224
39,learn,1,1,,-321.0,-25.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,215313.5,CFD-BM-239-136-N.jpg,Mark,64,I,1,1675,1675,,,,2,2,2697.399999976158,-416,-32,212616.10000002384,8024,FN,C,195764,,,,41,192,-320,0
40,learn,1,1,,-309.0,-8.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),-224,32,217629.40000000596,CFD-WF-229-004-N.jpg,Julie,64,I,1,1287,1287,,,,26,2,2314.0999999940395,-416,-32,215315.30000001192,8024,FN,C,198463,,,,42,192,-320,0
41,learn,1,1,,302.0,-6.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,220113.0,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1460,1460,,,,29,2,2481.5999999940395,224,-32,217631.40000000596,8024,FN,C,200779,,,,43,192,320,0
42,learn,1,1,,347.0,237.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,222777.80000001192,CFD-LF-219-223-N.jpg,Jane,64,I,1,1649,1649,,,,42,2,2662.9000000059605,224,192,220114.90000000596,8024,FN,C,203261,,,,44,192,320,224
43,learn,1,1,,328.0,-6.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,32,224627.0,CFD-LF-219-223-N.jpg,Jane,64,I,1,831,831,,,,41,2,1847.699999988079,224,-32,222779.30000001192,8024,FN,C,205928,,,,45,192,320,0
44,learn,1,1,,320.0,217.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,256,226926.70000001788,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1270,1270,,,,30,2,2298.2000000178814,224,192,224628.5,8024,FN,C,207777,,,,46,192,320,224
45,learn,1,1,,310.0,-221.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,229375.60000002384,CFD-LF-217-082-N.jpg,Irene,64,I,1,1425,1425,,,,46,2,2447.300000011921,224,-256,226928.30000001192,8024,FN,C,210077,,,,47,192,320,-224
46,learn,1,1,,311.0,-221.0,Thu May 29 2025 12:29:01 GMT-0500 (Central Daylight Time),416,-192,232425.0,CFD-BF-227-137-N.jpg,Lucy,64,I,1,2017,2017,,,,16,2,3047.5999999940395,224,-256,229377.40000000596,8024,FN,C,212526,,,,48,192,320,-224
