acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),40551.89999997616,I,z,1694,,,1,yes,1,3213.1999999284744,37338.700000047684,practrial1.png,practrial1.png,8040,PC,C,,,1
2,1,0.0,prac,1,m,30000.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),43083.300000071526,I,m,1004,,,2,no,1,2526.9000000953674,40556.39999997616,practrial2.png,practrial2b.png,8040,PC,C,,,2
3,1,0.0,prac,1,m,30000.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),46365.60000002384,I,m,1746,,,4,no,1,3278.600000023842,43087.0,practrial4.png,practrial4b.png,8040,PC,C,,,3
4,1,0.0,prac,1,z,30000.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),49098.0,I,z,1200,,,3,yes,1,2728.899999976158,46369.10000002384,practrial3.png,practrial3.png,8040,PC,C,,,4
5,1,0.0,prac,1,m,30000.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),52047.300000071526,I,m,1427,,,6,no,1,2945.7000000476837,49101.60000002384,practrial6.png,practrial6b.png,8040,PC,C,,,5
6,1,0.0,prac,1,z,30000.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),54796.39999997616,I,z,1222,,,5,yes,1,2745.0999999046326,52051.300000071526,practrial5.png,practrial5.png,8040,PC,C,,,6
1,1,1.749000072479248,test,1,z,28250.999927520752,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),68708.39999997616,I,z,1743,1743,,1,yes,1,1746.8999999761581,66961.5,test1trial1.png,test1trial1.png,8040,PC,C,64791,,1
2,1,3.2660000324249268,test,1,m,26733.999967575073,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),70224.70000004768,I,m,1497,1497,,2,no,1,1513.3000000715256,68711.39999997616,test1trial2.png,test1trial2b.png,8040,PC,C,66541,,2
3,1,5.065000057220459,test,1,z,24934.99994277954,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),72024.20000004768,I,z,1782,1782,,3,yes,1,1796.5,70227.70000004768,test1trial3.png,test1trial3.png,8040,PC,C,68057,,3
4,1,6.680999994277954,test,1,m,23319.000005722046,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),73640.39999997616,I,m,1606,1606,,4,no,1,1613.5,72026.89999997616,test1trial4.png,test1trial4b.png,8040,PC,C,69857,,4
5,1,8.38100004196167,test,1,z,21618.99995803833,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),75340.10000002384,I,z,1686,1686,,5,yes,1,1696.7999999523163,73643.30000007153,test1trial5.png,test1trial5.png,8040,PC,C,71473,,5
6,1,10.064000129699707,test,1,m,19935.999870300293,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),77022.80000007153,I,m,1666,1666,,6,no,1,1679.9000000953674,75342.89999997616,test1trial6.png,test1trial6b.png,8040,PC,C,73173,,6
7,1,11.730000019073486,test,1,z,18269.999980926514,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),78689.10000002384,I,z,1648,1648,,7,yes,1,1663.5,77025.60000002384,test1trial7.png,test1trial7.png,8040,PC,C,74855,,7
8,1,13.629000186920166,test,1,m,16370.999813079834,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),80588.20000004768,I,m,1893,1893,,8,no,1,1895.8000000715256,78692.39999997616,test1trial8.png,test1trial8b.png,8040,PC,C,76522,,8
9,1,15.42799997329712,test,1,z,14572.00002670288,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),82387.5,I,z,1786,1786,,9,yes,1,1796.6999999284744,80590.80000007153,test1trial9.png,test1trial9.png,8040,PC,C,78421,,9
10,1,17.17799997329712,test,1,m,12822.00002670288,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),84137.20000004768,I,m,1739,1739,,10,no,1,1746.8999999761581,82390.30000007153,test1trial10.png,test1trial10b.png,8040,PC,C,80220,,10
11,1,18.960999965667725,test,1,z,11039.000034332275,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),85920.0,I,z,1765,1765,,11,yes,1,1780.0,84140.0,test1trial11.png,test1trial11.png,8040,PC,C,81970,,11
12,1,20.759999990463257,test,1,m,9240.000009536743,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),87719.0,I,m,1782,1782,,12,no,1,1796.1000000238419,85922.89999997616,test1trial12.png,test1trial12b.png,8040,PC,C,83753,,12
13,1,22.4760000705719,test,1,m,7523.999929428101,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),89435.39999997616,I,m,1703,1703,,13,no,1,1713.1999999284744,87722.20000004768,test1trial13.png,test1trial13b.png,8040,PC,C,85552,,13
14,1,24.242000102996826,test,1,m,5757.999897003174,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),91201.60000002384,I,m,1755,1755,,14,no,1,1763.1000000238419,89438.5,test1trial14.png,test1trial14b.png,8040,PC,C,87268,,14
15,1,25.825000047683716,test,1,z,4174.999952316284,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),92784.39999997616,I,z,1573,1573,,15,yes,1,1579.8999999761581,91204.5,test1trial15.png,test1trial15.png,8040,PC,C,89034,,15
16,1,27.491000175476074,test,1,m,2508.999824523926,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),94450.60000002384,I,m,1654,1654,,16,no,1,1663.7000000476837,92786.89999997616,test1trial16.png,test1trial16b.png,8040,PC,C,90617,,16
17,1,29.124000072479248,test,1,z,875.999927520752,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),96083.30000007153,I,z,1628,1628,,17,yes,1,1629.9000000953674,94453.39999997616,test1trial17.png,test1trial17.png,8040,PC,C,92283,,17
17,1,30.008000135421753,test,0,m,-8.00013542175293,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),96966.60000002384,I,None,879,879,,18,no,1,880.6000000238419,96086.0,test1trial18.png,test1trial18b.png,8040,PC,C,93916,,18
1,2,1.3199999332427979,test,1,m,28680.000066757202,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),104264.10000002384,I,m,1310,,1310.0,1,no,1,8178.100000023842,96086.0,test2trial1.png,test2trial1b.png,8040,PC,C,,100777.0,1
2,2,2.8529999256134033,test,1,m,27147.000074386597,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),105797.10000002384,I,m,1526,,1526.0,2,no,1,9711.100000023842,96086.0,test2trial2.png,test2trial2b.png,8040,PC,C,,102097.0,2
3,2,4.685999870300293,test,1,z,25314.000129699707,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),107629.89999997616,I,z,1817,,1817.0,3,yes,1,11543.899999976158,96086.0,test2trial3.png,test2trial3.png,8040,PC,C,,103630.0,3
4,2,6.218999862670898,test,1,z,23781.0001373291,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),109162.60000002384,I,z,1521,,1521.0,4,yes,1,13076.600000023842,96086.0,test2trial4.png,test2trial4.png,8040,PC,C,,105462.0,4
5,2,7.917999982833862,test,1,z,22082.000017166138,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),110862.20000004768,I,z,1683,,1683.0,5,yes,1,14776.200000047684,96086.0,test2trial5.png,test2trial5.png,8040,PC,C,,106996.0,5
6,2,9.51799988746643,test,1,z,20482.00011253357,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),112461.70000004768,I,z,1592,,1592.0,6,yes,1,16375.700000047684,96086.0,test2trial6.png,test2trial6.png,8040,PC,C,,108695.0,6
7,2,10.883999824523926,test,1,m,19116.000175476074,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),113827.89999997616,I,m,1353,,1353.0,7,no,1,17741.899999976158,96086.0,test2trial7.png,test2trial7b.png,8040,PC,C,,110294.0,7
7,2,12.25,test,0,m,17750.0,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),115194.20000004768,I,z,1347,,1347.0,8,no,1,19108.200000047684,96086.0,test2trial8.png,test2trial8b.png,8040,PC,C,,111660.0,8
8,2,14.464999914169312,test,1,z,15535.000085830688,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),117410.10000002384,I,z,2204,,2204.0,9,yes,1,21324.100000023842,96086.0,test2trial9.png,test2trial9.png,8040,PC,C,,113027.0,9
9,2,16.180999994277954,test,1,z,13819.000005722046,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),119126.20000004768,I,z,1701,,1701.0,10,yes,1,23040.200000047684,96086.0,test2trial10.png,test2trial10.png,8040,PC,C,,115242.0,10
10,2,17.64800000190735,test,1,m,12351.999998092651,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),120592.39999997616,I,m,1448,,1448.0,11,no,1,24506.399999976158,96086.0,test2trial11.png,test2trial11b.png,8040,PC,C,,116959.0,11
10,2,19.480000019073486,test,0,m,10519.999980926514,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),122424.89999997616,I,z,1822,,1822.0,12,no,1,26338.899999976158,96086.0,test2trial12.png,test2trial12b.png,8040,PC,C,,118425.0,12
11,2,21.213000059127808,test,1,z,8786.999940872192,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),124158.10000002384,I,z,1717,,1717.0,13,yes,1,28072.100000023842,96086.0,test2trial13.png,test2trial13.png,8040,PC,C,,120258.0,13
12,2,23.062000036239624,test,1,m,6937.999963760376,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),126007.20000004768,I,m,1840,,1840.0,14,no,1,29921.200000047684,96086.0,test2trial14.png,test2trial14b.png,8040,PC,C,,121991.0,14
13,2,24.77999997138977,test,1,m,5220.0000286102295,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),127724.5,I,m,1711,,1711.0,15,no,1,31638.5,96086.0,test2trial15.png,test2trial15b.png,8040,PC,C,,123840.0,15
14,2,26.644999980926514,test,1,m,3355.0000190734863,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),129589.60000002384,I,m,1850,,1850.0,16,no,1,33503.60000002384,96086.0,test2trial16.png,test2trial16b.png,8040,PC,C,,125557.0,16
15,2,28.310999870300293,test,1,z,1689.000129699707,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),131255.60000002384,I,z,1657,,1657.0,17,yes,1,35169.60000002384,96086.0,test2trial17.png,test2trial17.png,8040,PC,C,,127422.0,17
15,2,30.009999990463257,test,0,z,-9.999990463256836,Mon May 19 2025 17:55:51 GMT-0500 (Central Daylight Time),132955.0,I,None,1696,,1696.0,18,yes,1,36869.0,96086.0,test2trial18.png,test2trial18.png,8040,PC,C,,129088.0,18
