Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,318,139,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),,box1,yes,I,1,1,,,8047,DSST,B,,,,0,160,113
),1,1,0.0,3,prac,yes,1,3,120000.0,324,138,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),62766.59999996424,box3,yes,I,1,1,3320.399999976158,59446.19999998808,8047,DSST,B,,,,1,160,113
T,2,1,0.0,2,prac,yes,1,2,120000.0,327,150,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),66981.59999996424,box2,yes,I,1,1,3440.300000011921,63541.299999952316,8047,DSST,B,,,,2,160,113
^,3,1,0.0,7,prac,yes,1,7,120000.0,290,146,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),71363.69999998808,box7,yes,I,1,1,3608.100000023842,67755.59999996424,8047,DSST,B,,,,3,160,113
+,4,1,0.0,9,prac,yes,1,9,120000.0,295,148,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),75695.59999996424,box9,yes,I,1,1,3557.5,72138.09999996424,8047,DSST,B,,,,4,160,113
L,5,1,0.0,4,prac,yes,1,4,120000.0,329,159,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),79794.19999998808,box4,yes,I,1,1,3325.199999988079,76469.0,8047,DSST,B,,,,5,160,113
X,6,1,0.0,8,prac,yes,1,8,120000.0,332,122,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),83659.79999995232,box8,yes,I,1,1,3091.599999964237,80568.19999998808,8047,DSST,B,,,,6,160,113
-,7,1,0.0,1,prac,yes,1,1,120000.0,302,142,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),87242.29999995232,box1,yes,I,1,1,2809.599999964237,84432.69999998808,8047,DSST,B,,,,7,160,113
U,8,1,0.0,5,prac,yes,1,5,120000.0,308,129,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),90774.29999995232,box5,yes,I,1,1,2759.099999964237,88015.19999998808,8047,DSST,B,,,,8,160,113
O,9,1,0.0,6,prac,yes,1,6,120000.0,271,145,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),94223.39999997616,box6,yes,I,1,1,2675.800000011921,91547.59999996424,8047,DSST,B,,,,9,160,113
T,1,1,2.937999963760376,2,test,yes,1,2,117062.00003623962,294,136,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),107385.79999995232,box2,yes,I,1,1,2926.699999988079,104459.09999996424,8047,DSST,B,104666.0,105510.0,102583.0,1,160,113
-,2,1,5.9709999561309814,1,test,yes,1,1,114029.00004386902,260,142,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),110418.09999996424,box1,yes,I,1,1,3016.399999976158,107401.69999998808,8047,DSST,B,107681.0,108542.0,105526.0,2,160,113
),3,1,8.519999980926514,3,test,yes,1,3,111480.00001907349,270,142,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),112967.39999997616,box3,yes,I,1,1,2535.800000011921,110431.59999996424,8047,DSST,B,110403.0,111091.0,108556.0,3,160,113
^,4,1,11.868000030517578,7,test,yes,1,7,108131.99996948242,332,146,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),116316.39999997616,box7,yes,I,1,1,3337.600000023842,112978.79999995232,8047,DSST,B,113529.0,114440.0,111103.0,4,160,113
T,5,1,15.065999984741211,2,test,yes,1,2,104934.00001525879,256,147,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),119515.19999998808,box2,yes,I,1,1,3183.5,116331.69999998808,8047,DSST,B,116979.0,117639.0,114456.0,5,160,113
L,6,1,16.999000072479248,4,test,yes,1,4,103000.99992752075,240,132,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),121448.0,box4,yes,I,1,1,1921.4000000357628,119526.59999996424,8047,DSST,B,119012.0,119572.0,117651.0,6,160,113
X,7,1,19.5,8,test,yes,1,8,100500.0,345,127,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),123948.29999995232,box8,yes,I,1,1,2488.599999964237,121459.69999998808,8047,DSST,B,121394.0,122072.0,119584.0,7,160,113
T,8,1,21.914000034332275,2,test,yes,1,2,98085.99996566772,311,145,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),126363.0,box2,yes,I,1,1,2403.7000000476837,123959.29999995232,8047,DSST,B,123726.0,124487.0,122083.0,8,160,113
-,9,1,24.12999987602234,1,test,yes,1,1,95870.00012397766,253,119,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),128578.89999997616,box1,yes,I,1,1,2205.0,126373.89999997616,8047,DSST,B,126042.0,126703.0,124498.0,9,160,113
),10,1,26.895999908447266,3,test,yes,1,3,93104.00009155273,231,135,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),131345.0,box3,yes,I,1,1,2755.2000000476837,128589.79999995232,8047,DSST,B,128774.0,129469.0,126714.0,10,160,113
T,11,1,29.045000076293945,2,test,yes,1,2,90954.99992370605,286,141,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),133494.39999997616,box2,yes,I,1,1,2137.600000023842,131356.79999995232,8047,DSST,B,130890.0,131618.0,129481.0,11,160,113
-,12,1,31.210000038146973,1,test,yes,1,1,88789.99996185303,236,161,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),135657.69999998808,box1,yes,I,1,1,2153.5,133504.19999998808,8047,DSST,B,132990.0,133782.0,131628.0,12,160,113
L,13,1,33.8439998626709,4,test,yes,1,4,86156.0001373291,201,130,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),138292.59999996424,box4,yes,I,1,1,2623.0,135669.59999996424,8047,DSST,B,135673.0,136417.0,133793.0,13,160,113
T,14,1,36.49300003051758,2,test,yes,1,2,83506.99996948242,215,165,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),140941.89999997616,box2,yes,I,1,1,2638.399999976158,138303.5,8047,DSST,B,138171.0,139066.0,136427.0,14,160,113
),15,1,38.64199995994568,3,test,yes,1,3,81358.00004005432,230,139,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),143090.89999997616,box3,yes,I,1,1,2138.199999988079,140952.69999998808,8047,DSST,B,140538.0,141215.0,139077.0,15,160,113
U,16,1,41.10800004005432,5,test,yes,1,5,78891.99995994568,271,133,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),145557.09999996424,box5,yes,I,1,1,2455.599999964237,143101.5,8047,DSST,B,143053.0,143681.0,141226.0,16,160,113
T,17,1,44.073999881744385,2,test,yes,1,2,75926.00011825562,231,142,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),148522.89999997616,box2,yes,I,1,1,2955.600000023842,145567.29999995232,8047,DSST,B,145953.0,146647.0,143691.0,17,160,113
),18,1,46.33999991416931,3,test,yes,1,3,73660.00008583069,199,122,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),150788.89999997616,box3,yes,I,1,1,2252.0,148536.89999997616,8047,DSST,B,148285.0,148913.0,146661.0,18,160,113
-,19,1,48.35599994659424,1,test,yes,1,1,71644.00005340576,270,147,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),152804.89999997616,box1,yes,I,1,1,2005.0,150799.89999997616,8047,DSST,B,150185.0,150929.0,148924.0,19,160,113
L,20,1,50.823999881744385,4,test,yes,1,4,69176.00011825562,206,129,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),155272.5,box4,yes,I,1,1,2456.900000035763,152815.59999996424,8047,DSST,B,152683.0,153396.0,150940.0,20,160,113
+,21,1,53.32200002670288,9,test,yes,1,9,66677.99997329712,291,133,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),157770.19999998808,box9,yes,I,1,1,2486.5,155283.69999998808,8047,DSST,B,155266.0,155894.0,153408.0,21,160,113
O,22,1,55.63700008392334,6,test,yes,1,6,64362.99991607666,272,143,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),160085.79999995232,box6,yes,I,1,1,2304.199999988079,157781.59999996424,8047,DSST,B,157616.0,158210.0,155906.0,22,160,113
),23,1,58.12100005149841,3,test,yes,1,3,61878.99994850159,285,120,Tue May 13 2025 14:26:26 GMT-0500 (Central Daylight Time),162568.69999998808,box3,yes,I,1,1,2471.900000035763,160096.79999995232,8047,DSST,B,160031.0,160693.0,158221.0,23,160,113
