block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,,,I,space,613,1,,,8052,WL,A,
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,b,I,b,11625,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,bo,I,o,445,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,boo,I,o,121,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,bood,I,d,135,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,boo,I,backspace,978,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,boos,I,s,480,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,boost,I,t,348,1,,,8052,WL,A,1.0
prac,,0,,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),,NA,boostenter,I,enter,1214,1,,,8052,WL,A,1.0
1,1.6019999980926514,learn,58398.00000190735,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),143684.09999996424,A,b,I,b,1588,1,1599.199999988079,142084.89999997616,8052,WL,A,1.0
1,1.9649999141693115,learn,58035.00008583069,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),144046.79999995232,A,bo,I,o,351,1,1961.8999999761581,142084.89999997616,8052,WL,A,1.0
1,2.0840001106262207,learn,57915.99988937378,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),144165.89999997616,A,boo,I,o,115,1,2081.0,142084.89999997616,8052,WL,A,1.0
1,2.249000072479248,learn,57750.99992752075,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),144330.69999998808,A,book,I,k,160,1,2245.800000011921,142084.89999997616,8052,WL,A,1.0
1,3.384000062942505,learn,56615.999937057495,Tue May 27 2025 18:04:41 GMT-0500 (Central Daylight Time),145466.39999997616,A,bookenter,I,enter,1120,1,3381.5,142084.89999997616,8052,WL,A,1.0
