block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,,,O,space,545,1,,,7002,WL,A,
prac,,0,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,NA,b,O,b,19428,1,,,7002,WL,A,1.0
prac,,0,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,NA,bo,O,o,195,1,,,7002,WL,A,1.0
prac,,0,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,NA,boo,O,o,162,1,,,7002,WL,A,1.0
prac,,0,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,NA,boos,O,s,91,1,,,7002,WL,A,1.0
prac,,0,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,NA,boost,O,t,168,1,,,7002,WL,A,1.0
prac,,0,,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),,NA,boostenter,O,enter,857,1,,,7002,WL,A,1.0
1,2.116000175476074,learn,57883.999824523926,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),167505.69999999925,A,g,O,g,2100,1,2114.0,165391.69999999925,7002,WL,A,1.0
1,2.2820000648498535,learn,57717.99993515015,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),167672.09999999963,A,go,O,o,154,1,2280.4000000003725,165391.69999999925,7002,WL,A,1.0
1,2.565000057220459,learn,57434.99994277954,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),167955.19999999925,A,gol,O,l,268,1,2563.5,165391.69999999925,7002,WL,A,1.0
1,2.7820000648498535,learn,57217.99993515015,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),168171.89999999944,A,gold,O,d,202,1,2780.2000000001863,165391.69999999925,7002,WL,A,1.0
1,3.4650001525878906,learn,56534.99984741211,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),168854.89999999944,A,goldenter,O,enter,664,1,3463.2000000001863,165391.69999999925,7002,WL,A,1.0
1,4.448000192642212,learn,55551.99980735779,Wed Aug 07 2024 15:10:57 GMT-0500 (Central Daylight Time),169838.19999999925,A,r,O,r,972,1,983.0,168855.19999999925,7002,WL,A,2.0
