Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
9,0,prac,1,A,circle.png,0,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),84915.70000004768,1500,O,z,1287,8,1,3574.800000011921,81340.90000003576,7003,NTS,A,1
2,1,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),88531.10000002384,2000,O,z,821,2,1,3608.600000023842,84922.5,7003,NTS,A,2
3,2,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),91213.70000004768,1200,O,z,694,3,1,2677.100000023842,88536.60000002384,7003,NTS,A,3
1,3,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),93763.0,1000,O,z,635,1,1,2543.399999976158,91219.60000002384,7003,NTS,A,4
6,4,prac,1,A,circle.png,1,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),97245.60000002384,1900,O,m,795,5,1,3476.800000011921,93768.80000001192,7003,NTS,A,5
2,5,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),100627.30000001192,2000,O,z,596,2,1,3376.0,97251.30000001192,7003,NTS,A,6
1,6,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),102976.90000003576,1000,O,z,558,1,1,2344.300000011921,100632.60000002384,7003,NTS,A,7
7,7,prac,1,A,circle.png,1,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),106059.10000002384,1700,O,m,598,6,1,3076.899999976158,102982.20000004768,7003,NTS,A,8
4,8,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),108941.0,1400,O,z,686,4,1,2876.399999976158,106064.60000002384,7003,NTS,A,9
7,9,prac,1,A,circle.png,1,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),112023.90000003576,1700,O,m,593,6,1,3077.0,108946.90000003576,7003,NTS,A,10
8,10,prac,1,A,circle.png,1,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),115022.90000003576,1600,O,m,601,7,1,2993.400000035763,112029.5,7003,NTS,A,11
3,11,prac,1,A,circle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),117522.40000003576,1200,O,z,507,3,1,2494.400000035763,115028.0,7003,NTS,A,12
3,1,prac,1,B,triangle.png,1,z,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),143864.0,1600,O,z,701,3,1,3094.899999976158,140769.10000002384,7003,NTS,A,1
2,2,prac,1,B,triangle.png,1,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),147129.60000002384,1700,O,m,773,2,1,3260.199999988079,143869.40000003576,7003,NTS,A,2
8,3,prac,1,B,triangle.png,1,m,Tue Aug 20 2024 16:13:40 GMT-0500 (Central Daylight Time),149911.90000003576,1200,O,m,784,7,1,2777.300000011921,147134.60000002384,7003,NTS,A,3
