block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,2.120000123977661,delay,57879.99987602234,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),28583.099999904633,A,bookenter,O,enter,496,1,2119.2000000476837,26463.89999985695,7005,DWL,A,1
8,3.171999931335449,delay,56828.00006866455,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),29635.5,A,flowerenter,O,enter,288,1,1051.6000001430511,28583.89999985695,7005,DWL,A,2
8,5.210000038146973,delay,54789.99996185303,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),31672.89999985695,A,trainenter,O,enter,1399,1,2037.0,29635.89999985695,7005,DWL,A,3
8,6.979000091552734,delay,53020.999908447266,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),33442.200000047684,A,rugenter,O,enter,376,1,1768.9000000953674,31673.299999952316,7005,DWL,A,4
8,8.532000064849854,delay,51467.99993515015,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),34995.299999952316,A,meadowenter,O,enter,678,1,1552.7999999523163,33442.5,7005,DWL,A,5
8,10.202000141143799,delay,49797.9998588562,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),36665.5,A,saltenter,O,enter,265,1,1669.9000000953674,34995.59999990463,7005,DWL,A,6
8,11.421000003814697,delay,48578.9999961853,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),37884.299999952316,A,harpenter,O,enter,306,1,1218.5,36665.799999952316,7005,DWL,A,7
8,12.740999937057495,delay,47259.000062942505,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),39204.200000047684,A,fingerenter,O,enter,439,1,1319.5,37884.700000047684,7005,DWL,A,8
8,14.259999990463257,delay,45740.00000953674,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),40723.59999990463,A,appleenter,O,enter,198,1,1518.8999998569489,39204.700000047684,7005,DWL,A,9
8,16.197999954223633,delay,43802.00004577637,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),42661.5,A,chimneyenter,O,enter,709,1,1937.5,40724.0,7005,DWL,A,10
8,18.502000093460083,delay,41497.99990653992,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),44964.89999985695,A,logenter,O,enter,820,1,2303.0,42661.89999985695,7005,DWL,A,11
8,20.17199993133545,delay,39828.00006866455,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),46635.09999990463,A,buttonenter,O,enter,436,1,1669.8999998569489,44965.200000047684,7005,DWL,A,12
8,21.424000024795532,delay,38575.99997520447,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),47887.39999985695,A,keyenter,O,enter,838,1,1252.0,46635.39999985695,7005,DWL,A,13
8,23.044000148773193,delay,36955.99985122681,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),49507.09999990463,A,rattleenter,O,enter,336,1,1619.3999998569489,47887.700000047684,7005,DWL,A,14
8,24.263000011444092,delay,35736.99998855591,Fri Aug 02 2024 14:31:02 GMT-0500 (Central Daylight Time),50726.200000047684,A,goldenter,O,enter,633,1,1218.8000001907349,49507.39999985695,7005,DWL,A,15
