acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),53283.40000003576,O,z,1722,,,1,yes,1,3245.600000023842,50037.80000001192,practrial1.png,practrial1.png,7006,PC,B,,,1
2,1,0.0,prac,1,m,30000.0,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),57132.30000001192,O,m,2319,,,4,no,1,3843.899999976158,53288.40000003576,practrial4.png,practrial4b.png,7006,PC,B,,,2
3,1,0.0,prac,1,m,30000.0,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),59981.30000001192,O,m,1327,,,2,no,1,2845.399999976158,57135.90000003576,practrial2.png,practrial2b.png,7006,PC,B,,,3
4,1,0.0,prac,1,z,30000.0,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),63030.30000001192,O,z,1518,,,3,yes,1,3045.099999964237,59985.200000047684,practrial3.png,practrial3.png,7006,PC,B,,,4
5,1,0.0,prac,1,z,30000.0,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),66262.60000002384,O,z,1709,,,5,yes,1,3228.199999988079,63034.40000003576,practrial5.png,practrial5.png,7006,PC,B,,,5
6,1,0.0,prac,1,m,30000.0,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),70261.40000003576,O,m,2469,,,6,no,1,3994.600000023842,66266.80000001192,practrial6.png,practrial6b.png,7006,PC,B,,,6
1,1,1.8980000019073486,test,1,z,28101.99999809265,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),87639.5,O,z,1886,1886,,1,yes,1,1894.199999988079,85745.30000001192,test1trial1.png,test1trial1.png,7006,PC,B,81592,,1
2,1,2.930999994277954,test,1,m,27069.000005722046,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),88672.90000003576,O,m,1030,1030,,2,no,1,1030.4000000357628,87642.5,test1trial2.png,test1trial2b.png,7006,PC,B,83489,,2
3,1,4.746999979019165,test,1,z,25253.000020980835,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),90488.40000003576,O,z,1804,1804,,3,yes,1,1812.699999988079,88675.70000004768,test1trial3.png,test1trial3.png,7006,PC,B,84522,,3
4,1,5.879999876022339,test,1,m,24120.00012397766,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),91621.5,O,m,1116,1116,,4,no,1,1130.3999999761581,90491.10000002384,test1trial4.png,test1trial4b.png,7006,PC,B,86338,,4
5,1,7.3459999561309814,test,1,z,22654.00004386902,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),93087.60000002384,O,z,1455,1455,,5,yes,1,1463.5,91624.10000002384,test1trial5.png,test1trial5.png,7006,PC,B,87471,,5
6,1,8.546000003814697,test,1,m,21453.999996185303,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),94287.20000004768,O,m,1181,1181,,6,no,1,1196.9000000357628,93090.30000001192,test1trial6.png,test1trial6b.png,7006,PC,B,88937,,6
7,1,9.694999933242798,test,1,z,20305.000066757202,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),95436.90000003576,O,z,1133,1133,,7,yes,1,1146.800000011921,94290.10000002384,test1trial7.png,test1trial7.png,7006,PC,B,90137,,7
8,1,11.51199984550476,test,1,m,18488.00015449524,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),97253.0,O,m,1809,1809,,8,no,1,1813.3999999761581,95439.60000002384,test1trial8.png,test1trial8b.png,7006,PC,B,91286,,8
9,1,12.694999933242798,test,1,z,17305.000066757202,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),98436.0,O,z,1168,1168,,9,yes,1,1180.199999988079,97255.80000001192,test1trial9.png,test1trial9.png,7006,PC,B,93102,,9
10,1,13.82699990272522,test,1,m,16173.00009727478,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),99568.80000001192,O,m,1129,1129,,10,no,1,1129.800000011921,98439.0,test1trial10.png,test1trial10b.png,7006,PC,B,94286,,10
11,1,15.15999984741211,test,1,z,14840.00015258789,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),100901.80000001192,O,z,1324,1324,,11,yes,1,1330.300000011921,99571.5,test1trial11.png,test1trial11.png,7006,PC,B,95418,,11
12,1,16.459999799728394,test,1,m,13540.000200271606,Mon Aug 05 2024 16:01:20 GMT-0500 (Central Daylight Time),102201.60000002384,O,m,1287,1287,,12,no,1,1296.8999999761581,100904.70000004768,test1trial12.png,test1trial12b.png,7006,PC,B,96751,,12
