acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,z,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),72655.30000000028,CFD-WM-013-015-A.jpg,1900,solid,O,z,1300,8,1,3998.9000000003725,68656.3999999999,7007,ATS,A,1
2,prac,1,A,haborder.png,1,z,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),76037.6000000001,CFD-WF-003-014-A.jpg,1600,solid,O,z,994,10,1,7381.200000000186,68656.3999999999,7007,ATS,A,2
3,prac,1,A,haborder.png,1,z,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),79569.80000000028,CFD-BM-005-010-A.jpg,1600,solid,O,z,1140,2,1,10913.400000000373,68656.3999999999,7007,ATS,A,3
4,prac,1,A,haborder.png,1,m,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),83103.0,CFD-WM-004-005-HC.jpg,1400,solid,O,m,1336,7,1,14446.600000000093,68656.3999999999,7007,ATS,A,4
5,prac,1,A,haborder.png,1,z,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),85784.5,CFD-WF-019-015-A.jpg,1000,solid,O,z,899,12,1,17128.100000000093,68656.3999999999,7007,ATS,A,5
5,prac,1,A,haborder.png,0,m,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),89583.20000000019,CFD-BM-029-026-HC.jpg,1500,solid,O,None,1516,3,1,20926.80000000028,68656.3999999999,7007,ATS,A,6
6,prac,1,A,haborder.png,1,m,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),92732.1000000001,CFD-WF-017-016-HC.jpg,1500,solid,O,m,854,11,1,24075.700000000186,68656.3999999999,7007,ATS,A,7
7,prac,1,A,haborder.png,1,z,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),95381.3999999999,CFD-BF-023-013-A.jpg,1000,solid,O,z,853,4,1,26725.0,68656.3999999999,7007,ATS,A,8
8,prac,1,A,haborder.png,1,z,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),98530.6000000001,CFD-BF-039-039-A.jpg,1200,solid,O,z,1164,6,1,29874.200000000186,68656.3999999999,7007,ATS,A,9
9,prac,1,A,haborder.png,1,m,Fri Aug 09 2024 14:44:58 GMT-0500 (Central Daylight Time),101912.8999999999,CFD-WM-006-013-HC.jpg,1700,solid,O,m,899,9,1,33256.5,68656.3999999999,7007,ATS,A,10
