acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),,050_m_f_n_a.png,O,space,11165,1,1,,,7010,NNB,A,0
1,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),130540.0,063_y_f_n_a.png,O,m,929,2,1,1742.7000000029802,128797.29999999702,7010,NNB,A,1
2,prac,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),132388.3999999985,063_y_f_n_a.png,O,z,1059,3,1,1841.5,130546.89999999851,7010,NNB,A,2
3,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),133937.6000000015,053_o_m_n_a.png,O,m,746,4,1,1542.0,132395.6000000015,7010,NNB,A,3
4,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),135387.3999999985,058_m_m_n_a.png,O,m,645,5,1,1443.0,133944.3999999985,7010,NNB,A,4
5,prac,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),136836.70000000298,058_m_m_n_a.png,O,z,660,6,1,1442.6000000014901,135394.1000000015,7010,NNB,A,5
6,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),138569.6000000015,047_o_f_n_a.png,O,m,899,7,1,1726.1000000014901,136843.5,7010,NNB,A,6
7,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),140019.0,045_m_m_n_a.png,O,m,647,8,1,1442.7999999970198,138576.20000000298,7010,NNB,A,7
8,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),141285.5,050_m_f_n_a.png,O,m,484,9,1,1259.3999999985099,140026.1000000015,7010,NNB,A,8
9,prac,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),142534.8999999985,050_m_f_n_a.png,O,z,474,10,1,1242.6999999955297,141292.20000000298,7010,NNB,A,9
10,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),143834.70000000298,053_o_m_n_a.png,O,m,512,11,1,1292.7000000029802,142542.0,7010,NNB,A,10
11,prac,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),145150.70000000298,010_y_f_n_a.png,O,m,480,12,1,1308.8000000044703,143841.8999999985,7010,NNB,A,11
0,test,1,0.0,1-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),145150.70000000298,063_y_f_n_a.png,O,space,15298,1,1,1308.8000000044703,143841.8999999985,7010,NNB,A,0
1,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),170526.1000000015,043_m_f_n_a.png,O,m,458,2,1,1476.6000000014901,169049.5,7010,NNB,A,1
2,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),172325.5,010_y_f_n_a.png,O,m,670,3,1,1793.6000000014901,170531.8999999985,7010,NNB,A,2
3,test,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),173791.6000000015,010_y_f_n_a.png,O,z,440,4,1,1460.3999999985099,172331.20000000298,7010,NNB,A,3
4,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),175374.6000000015,043_m_f_n_a.png,O,m,558,5,1,1577.2000000029802,173797.3999999985,7010,NNB,A,4
5,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),176807.20000000298,053_o_m_n_a.png,O,m,415,6,1,1427.0,175380.20000000298,7010,NNB,A,5
6,test,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),178307.0,053_o_m_n_a.png,O,z,478,7,1,1494.2999999970198,176812.70000000298,7010,NNB,A,6
7,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),179989.79999999702,058_m_m_n_a.png,O,m,650,8,1,1677.1999999955297,178312.6000000015,7010,NNB,A,7
8,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),181572.5,047_o_f_n_a.png,O,m,552,9,1,1577.0,179995.5,7010,NNB,A,8
9,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),183155.3999999985,058_m_m_n_a.png,O,m,561,10,1,1577.3999999985099,181578.0,7010,NNB,A,9
10,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),184705.1000000015,041_y_m_n_a.png,O,m,530,11,1,1543.3999999985099,183161.70000000298,7010,NNB,A,10
11,test,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),186121.1000000015,041_y_m_n_a.png,O,z,388,12,1,1410.6000000014901,184710.5,7010,NNB,A,11
12,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),187737.29999999702,044_o_f_n_a.png,O,m,597,13,1,1610.2999999970198,186127.0,7010,NNB,A,12
13,test,1,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),189386.79999999702,044_o_f_n_a.png,O,z,628,14,1,1643.5999999940395,187743.20000000298,7010,NNB,A,13
14,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),190853.1000000015,008_y_m_n_a.png,O,m,434,15,1,1460.2000000029802,189392.8999999985,7010,NNB,A,14
15,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),192269.20000000298,050_m_f_n_a.png,O,m,393,16,1,1410.6000000014901,190858.6000000015,7010,NNB,A,15
16,test,1,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),193685.3999999985,046_o_m_n_a.png,O,m,392,17,1,1410.0,192275.3999999985,7010,NNB,A,16
16,test,1,0.0,1-Back,0,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),195329.20000000298,050_m_f_n_a.png,O,z,627,18,1,1637.6000000014901,193691.6000000015,7010,NNB,A,17
0,test,2,0.0,1-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),195329.20000000298,058_m_m_n_a.png,O,space,2395,1,1,1637.6000000014901,193691.6000000015,7010,NNB,A,0
1,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),201499.6000000015,043_m_f_n_a.png,O,m,727,2,1,1742.8000000044703,199756.79999999702,7010,NNB,A,1
1,test,2,1.0,1-Back,0,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),204032.20000000298,043_m_f_n_a.png,O,m,1514,3,1,2526.60000000149,201505.6000000015,7010,NNB,A,2
2,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),206131.70000000298,058_m_m_n_a.png,O,m,1069,4,1,2093.8000000044703,204037.8999999985,7010,NNB,A,3
3,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),207648.6000000015,041_y_m_n_a.png,O,m,498,5,1,1510.8999999985099,206137.70000000298,7010,NNB,A,4
4,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),209113.8999999985,063_y_f_n_a.png,O,m,446,6,1,1459.2999999970198,207654.6000000015,7010,NNB,A,5
5,test,2,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),210596.8999999985,063_y_f_n_a.png,O,z,451,7,1,1477.2999999970198,209119.6000000015,7010,NNB,A,6
6,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),212262.8999999985,041_y_m_n_a.png,O,m,633,8,1,1660.3999999985099,210602.5,7010,NNB,A,7
7,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),213712.29999999702,044_o_f_n_a.png,O,m,422,9,1,1443.5999999940395,212268.70000000298,7010,NNB,A,8
8,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),215212.0,045_m_m_n_a.png,O,m,469,10,1,1493.5,213718.5,7010,NNB,A,9
9,test,2,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),216678.29999999702,045_m_m_n_a.png,O,z,441,11,1,1460.6999999955297,215217.6000000015,7010,NNB,A,10
10,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),218510.8999999985,044_o_f_n_a.png,O,m,808,12,1,1826.8999999985099,216684.0,7010,NNB,A,11
11,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),219993.70000000298,047_o_f_n_a.png,O,m,454,13,1,1477.0,218516.70000000298,7010,NNB,A,12
12,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),221543.3999999985,053_o_m_n_a.png,O,m,524,14,1,1544.2999999970198,219999.1000000015,7010,NNB,A,13
13,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),222992.8999999985,046_o_m_n_a.png,O,m,430,15,1,1443.7999999970198,221549.1000000015,7010,NNB,A,14
14,test,2,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),224492.3999999985,046_o_m_n_a.png,O,z,476,16,1,1493.6999999955297,222998.70000000298,7010,NNB,A,15
15,test,2,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),225925.5,008_y_m_n_a.png,O,m,409,17,1,1427.0,224498.5,7010,NNB,A,16
16,test,2,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),227408.20000000298,008_y_m_n_a.png,O,z,464,18,1,1477.1000000014901,225931.1000000015,7010,NNB,A,17
0,test,3,1.0,1-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),227408.20000000298,010_y_f_n_a.png,O,space,2021,1,1,1477.1000000014901,225931.1000000015,7010,NNB,A,0
1,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),233206.6000000015,046_o_m_n_a.png,O,m,675,2,1,1693.8000000044703,231512.79999999702,7010,NNB,A,1
2,test,3,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),234805.70000000298,046_o_m_n_a.png,O,z,567,3,1,1593.0,233212.70000000298,7010,NNB,A,2
3,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),236405.20000000298,050_m_f_n_a.png,O,m,567,4,1,1593.7000000029802,234811.5,7010,NNB,A,3
4,test,3,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),238004.79999999702,050_m_f_n_a.png,O,z,576,5,1,1593.5,236411.29999999702,7010,NNB,A,4
5,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),239604.29999999702,044_o_f_n_a.png,O,m,568,6,1,1593.8999999985099,238010.3999999985,7010,NNB,A,5
6,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),241386.8999999985,041_y_m_n_a.png,O,m,762,7,1,1776.6000000014901,239610.29999999702,7010,NNB,A,6
7,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),242936.6000000015,044_o_f_n_a.png,O,m,495,8,1,1544.1000000014901,241392.5,7010,NNB,A,7
8,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),244469.3999999985,008_y_m_n_a.png,O,m,509,9,1,1527.0,242942.3999999985,7010,NNB,A,8
9,test,3,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),245918.8999999985,008_y_m_n_a.png,O,z,424,10,1,1443.3999999985099,244475.5,7010,NNB,A,9
10,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),247651.70000000298,043_m_f_n_a.png,O,m,710,11,1,1727.2000000029802,245924.5,7010,NNB,A,10
11,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),249118.29999999702,063_y_f_n_a.png,O,m,434,12,1,1460.2999999970198,247658.0,7010,NNB,A,11
12,test,3,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),250717.3999999985,063_y_f_n_a.png,O,z,575,13,1,1592.6999999955297,249124.70000000298,7010,NNB,A,12
13,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),252300.29999999702,043_m_f_n_a.png,O,m,560,14,1,1576.7999999970198,250723.5,7010,NNB,A,13
14,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),253733.29999999702,058_m_m_n_a.png,O,m,401,15,1,1426.8999999985099,252306.3999999985,7010,NNB,A,14
15,test,3,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),255432.70000000298,058_m_m_n_a.png,O,z,680,16,1,1693.4000000059605,253739.29999999702,7010,NNB,A,15
16,test,3,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),256982.3999999985,047_o_f_n_a.png,O,m,526,17,1,1543.8999999985099,255438.5,7010,NNB,A,16
16,test,3,1.0,1-Back,0,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),258631.70000000298,047_o_f_n_a.png,O,m,623,18,1,1644.0,256987.70000000298,7010,NNB,A,17
0,test,4,1.0,1-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),258631.70000000298,050_m_f_n_a.png,O,space,1381,1,1,1644.0,256987.70000000298,7010,NNB,A,0
1,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),263880.0,046_o_m_n_a.png,O,m,831,2,1,1843.7999999970198,262036.20000000298,7010,NNB,A,1
2,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),265379.3999999985,050_m_f_n_a.png,O,m,469,3,1,1493.2999999970198,263886.1000000015,7010,NNB,A,2
3,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),266862.3999999985,044_o_f_n_a.png,O,m,458,4,1,1477.3999999985099,265385.0,7010,NNB,A,3
4,test,4,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),268628.6000000015,044_o_f_n_a.png,O,z,743,5,1,1760.3000000044703,266868.299999997,7010,NNB,A,4
5,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),270111.200000003,063_y_f_n_a.png,O,m,464,6,1,1476.4000000059605,268634.799999997,7010,NNB,A,5
6,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),271727.299999997,041_y_m_n_a.png,O,m,598,7,1,1610.2999999970198,270117.0,7010,NNB,A,6
7,test,4,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),273377.1000000015,041_y_m_n_a.png,O,z,622,8,1,1644.2000000029802,271732.8999999985,7010,NNB,A,7
8,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),274976.3999999985,063_y_f_n_a.png,O,m,580,9,1,1593.1999999955297,273383.200000003,7010,NNB,A,8
9,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),276509.299999997,045_m_m_n_a.png,O,m,501,10,1,1527.1999999955297,274982.1000000015,7010,NNB,A,9
10,test,4,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),277992.200000003,045_m_m_n_a.png,O,z,457,11,1,1477.0,276515.200000003,7010,NNB,A,10
11,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),279691.799999997,047_o_f_n_a.png,O,m,677,12,1,1693.5999999940395,277998.200000003,7010,NNB,A,11
12,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),281259.0,053_o_m_n_a.png,O,m,538,13,1,1560.7999999970198,279698.200000003,7010,NNB,A,12
13,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),283040.3999999985,047_o_f_n_a.png,O,m,763,14,1,1775.1000000014901,281265.299999997,7010,NNB,A,13
14,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),284623.5,010_y_f_n_a.png,O,m,557,15,1,1576.7000000029802,283046.799999997,7010,NNB,A,14
15,test,4,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),286056.3999999985,010_y_f_n_a.png,O,z,406,16,1,1426.8999999985099,284629.5,7010,NNB,A,15
16,test,4,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),287655.8999999985,043_m_f_n_a.png,O,m,581,17,1,1593.5,286062.3999999985,7010,NNB,A,16
17,test,4,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),289405.5,043_m_f_n_a.png,O,z,727,18,1,1744.1000000014901,287661.3999999985,7010,NNB,A,17
0,test,5,1.0,1-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),289405.5,053_o_m_n_a.png,O,space,1671,1,1,1744.1000000014901,287661.3999999985,7010,NNB,A,0
1,test,5,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),294820.299999997,053_o_m_n_a.png,O,z,693,2,1,1710.2999999970198,293110.0,7010,NNB,A,1
2,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),296486.5,063_y_f_n_a.png,O,m,634,3,1,1660.1000000014901,294826.3999999985,7010,NNB,A,2
3,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),298019.299999997,041_y_m_n_a.png,O,m,503,4,1,1526.8999999985099,296492.3999999985,7010,NNB,A,3
4,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),299918.799999997,063_y_f_n_a.png,O,m,867,5,1,1893.5999999940395,298025.200000003,7010,NNB,A,4
5,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),301518.1000000015,058_m_m_n_a.png,O,m,576,6,1,1593.6000000014901,299924.5,7010,NNB,A,5
6,test,5,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),303117.700000003,058_m_m_n_a.png,O,z,575,7,1,1593.4000000059605,301524.299999997,7010,NNB,A,6
7,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),304733.799999997,010_y_f_n_a.png,O,m,584,8,1,1610.1999999955297,303123.6000000015,7010,NNB,A,7
8,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),306266.6000000015,008_y_m_n_a.png,O,m,503,9,1,1526.8000000044703,304739.799999997,7010,NNB,A,8
9,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),307932.8999999985,010_y_f_n_a.png,O,m,643,10,1,1660.3999999985099,306272.5,7010,NNB,A,9
10,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),309582.3999999985,047_o_f_n_a.png,O,m,617,11,1,1644.0,307938.3999999985,7010,NNB,A,10
11,test,5,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),311015.0,047_o_f_n_a.png,O,z,415,12,1,1426.8999999985099,309588.1000000015,7010,NNB,A,11
12,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),312928.700000003,046_o_m_n_a.png,O,m,896,13,1,1907.7000000029802,311021.0,7010,NNB,A,12
13,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),314514.200000003,050_m_f_n_a.png,O,m,554,14,1,1579.2000000029802,312935.0,7010,NNB,A,13
14,test,5,1.0,1-Back,1,z,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),315930.0,050_m_f_n_a.png,O,z,396,15,1,1409.7000000029802,314520.299999997,7010,NNB,A,14
15,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),317379.8999999985,046_o_m_n_a.png,O,m,427,16,1,1443.6000000014901,315936.299999997,7010,NNB,A,15
16,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),318912.8999999985,043_m_f_n_a.png,O,m,513,17,1,1527.6000000014901,317385.299999997,7010,NNB,A,16
17,test,5,0.0,1-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),320395.3999999985,045_m_m_n_a.png,O,m,453,18,1,1476.2999999970198,318919.1000000015,7010,NNB,A,17
0,prac,1,0.0,2-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),320395.3999999985,008_y_m_n_a.png,O,space,9282,1,1,1476.2999999970198,318919.1000000015,7010,NNB,A,0
0,prac,1,0.0,2-Back,,,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),320395.3999999985,043_m_f_n_a.png,O,space,9282,2,1,1476.2999999970198,318919.1000000015,7010,NNB,A,0
1,prac,1,1.0,2-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),453987.1000000015,046_o_m_n_a.png,O,m,1553,3,1,2359.0,451628.1000000015,7010,NNB,A,1
2,prac,1,0.0,2-Back,1,m,Thu Aug 08 2024 14:22:32 GMT-0500 (Central Daylight Time),455819.8999999985,047_o_f_n_a.png,O,m,996,4,1,1826.0,453993.8999999985,7010,NNB,A,2
