Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,252,150,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7015,DSST,B,,,,0,160,113
-,1,1,0.0,1,prac,yes,1,1,120000.0,264,126,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),104205.89999999851,box1,yes,O,1,1,3399.5,100806.39999999851,7015,DSST,B,,,,1,160,113
^,2,1,0.0,7,prac,yes,1,7,120000.0,281,137,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),108120.89999999851,box7,yes,O,1,1,3140.5,104980.39999999851,7015,DSST,B,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,280,132,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),111986.70000000298,box2,yes,O,1,1,3091.9000000059605,108894.79999999702,7015,DSST,B,,,,3,160,113
X,4,1,0.0,8,prac,yes,1,8,120000.0,236,148,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),116485.0,box8,yes,O,1,1,3724.60000000149,112760.39999999851,7015,DSST,B,,,,4,160,113
L,5,1,0.0,4,prac,yes,1,4,120000.0,311,153,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),120317.10000000149,box4,yes,O,1,1,3057.89999999851,117259.20000000298,7015,DSST,B,,,,5,160,113
U,6,1,0.0,5,prac,yes,1,5,120000.0,170,141,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),123599.5,box5,yes,O,1,1,2508.7000000029802,121090.79999999702,7015,DSST,B,,,,6,160,113
+,7,1,0.0,9,prac,yes,1,9,120000.0,339,151,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),127614.89999999851,box9,yes,O,1,1,3241.89999999851,124373.0,7015,DSST,B,,,,7,160,113
O,8,1,0.0,6,prac,yes,1,6,120000.0,321,131,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),131330.3999999985,box6,yes,O,1,1,2942.10000000149,128388.29999999702,7015,DSST,B,,,,8,160,113
),9,1,0.0,3,prac,yes,1,3,120000.0,260,147,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),135195.79999999702,box3,yes,O,1,1,3092.6999999955297,132103.1000000015,7015,DSST,B,,,,9,160,113
T,1,1,3.321000099182129,2,test,yes,1,2,116678.99990081787,235,144,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),155206.29999999702,box2,yes,O,1,1,3310.2999999970198,151896.0,7015,DSST,B,143925.0,144619.0,141309.0,1,160,113
-,2,1,5.591000080108643,1,test,yes,1,1,114408.99991989136,297,146,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),157471.8999999985,box1,yes,O,1,1,2252.0,155219.8999999985,7015,DSST,B,146124.0,146885.0,144633.0,2,160,113
),3,1,8.235000133514404,3,test,yes,1,3,111764.9998664856,292,156,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),160121.3999999985,box3,yes,O,1,1,2629.1999999955297,157492.20000000298,7015,DSST,B,148807.0,149534.0,146905.0,3,160,113
^,4,1,11.233999967575073,7,test,yes,1,7,108766.00003242493,284,144,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),163120.5,box7,yes,O,1,1,2987.7999999970198,160132.70000000298,7015,DSST,B,151807.0,152533.0,149546.0,4,160,113
T,5,1,14.450000047683716,2,test,yes,1,2,105549.99995231628,269,141,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),166336.1000000015,box2,yes,O,1,1,3203.5,163132.6000000015,7015,DSST,B,155038.0,155749.0,152546.0,5,160,113
L,6,1,17.618000030517578,4,test,yes,1,4,102381.99996948242,337,149,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),169502.8999999985,box4,yes,O,1,1,3156.60000000149,166346.29999999702,7015,DSST,B,158170.0,158916.0,155759.0,6,160,113
X,7,1,21.014000177383423,8,test,yes,1,8,98985.99982261658,221,139,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),172900.70000000298,box8,yes,O,1,1,3386.8000000044703,169513.8999999985,7015,DSST,B,161486.0,162314.0,158927.0,7,160,113
T,8,1,24.147000074386597,2,test,yes,1,2,95852.9999256134,277,155,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),176033.20000000298,box2,yes,O,1,1,3122.10000000149,172911.1000000015,7015,DSST,B,164585.0,165446.0,162324.0,8,160,113
-,9,1,28.111999988555908,1,test,yes,1,1,91888.00001144409,249,150,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),179998.3999999985,box1,yes,O,1,1,3954.7999999970198,176043.6000000015,7015,DSST,B,168683.0,169411.0,165457.0,9,160,113
),10,1,30.76200008392334,3,test,yes,1,3,89237.99991607666,279,146,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),182647.70000000298,box3,yes,O,1,1,2639.10000000149,180008.6000000015,7015,DSST,B,171466.0,172061.0,169422.0,10,160,113
T,11,1,33.027000188827515,2,test,yes,1,2,86972.99981117249,264,152,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),184913.6000000015,box2,yes,O,1,1,2254.3000000044703,182659.29999999702,7015,DSST,B,173615.0,174327.0,172072.0,11,160,113
-,12,1,35.360000133514404,1,test,yes,1,1,84639.9998664856,361,144,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),187246.29999999702,box1,yes,O,1,1,2322.2999999970198,184924.0,7015,DSST,B,175865.0,176659.0,174337.0,12,160,113
L,13,1,38.625,4,test,yes,1,4,81375.0,244,153,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),190511.8999999985,box4,yes,O,1,1,3255.10000000149,187256.79999999702,7015,DSST,B,179231.0,179925.0,176670.0,13,160,113
T,14,1,41.991000175476074,2,test,yes,1,2,78008.99982452393,230,147,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),193877.70000000298,box2,yes,O,1,1,3355.4000000059605,190522.29999999702,7015,DSST,B,182563.0,183291.0,179935.0,14,160,113
),15,1,44.65700006484985,3,test,yes,1,3,75342.99993515015,264,136,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),196543.29999999702,box3,yes,O,1,1,2655.5,193887.79999999702,7015,DSST,B,185211.0,185956.0,183301.0,15,160,113
U,16,1,48.72200012207031,5,test,yes,1,5,71277.99987792969,241,142,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),200608.70000000298,box5,yes,O,1,1,4055.60000000149,196553.1000000015,7015,DSST,B,188794.0,190022.0,185966.0,16,160,113
T,17,1,51.205000162124634,2,test,yes,1,2,68794.99983787537,300,137,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),203091.20000000298,box2,yes,O,1,1,2472.10000000149,200619.1000000015,7015,DSST,B,191626.0,192504.0,190032.0,17,160,113
),18,1,53.78700017929077,3,test,yes,1,3,66212.99982070923,263,145,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),205673.70000000298,box3,yes,O,1,1,2572.2000000029802,203101.5,7015,DSST,B,194275.0,195087.0,192514.0,18,160,113
-,19,1,56.32000017166138,1,test,yes,1,1,63679.99982833862,217,140,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),208206.3999999985,box1,yes,O,1,1,2521.2999999970198,205685.1000000015,7015,DSST,B,196591.0,197619.0,195098.0,19,160,113
L,20,1,59.39800000190735,4,test,yes,1,4,60601.99999809265,282,133,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),211283.3999999985,box4,yes,O,1,1,3065.89999999851,208217.5,7015,DSST,B,199974.0,200696.0,197630.0,20,160,113
+,21,1,62.38499999046326,9,test,yes,1,9,57615.00000953674,203,145,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),214271.0,box9,yes,O,1,1,2973.2000000029802,211297.79999999702,7015,DSST,B,202856.0,203684.0,200711.0,21,160,113
O,22,1,65.76999998092651,6,test,yes,1,6,54230.000019073486,256,147,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),217653.20000000298,box6,yes,O,1,1,3371.3000000044703,214281.8999999985,7015,DSST,B,206188.0,207066.0,203695.0,22,160,113
),23,1,68.31500005722046,3,test,yes,1,3,51684.99994277954,206,139,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),220202.3999999985,box3,yes,O,1,1,2535.10000000149,217667.29999999702,7015,DSST,B,208704.0,209615.0,207080.0,23,160,113
-,24,1,71.18200016021729,1,test,yes,1,1,48817.999839782715,258,141,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),223068.29999999702,box1,yes,O,1,1,2855.39999999851,220212.8999999985,7015,DSST,B,211637.0,212481.0,209626.0,24,160,113
L,25,1,74.11500000953674,4,test,yes,1,4,45884.99999046326,295,145,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),226000.70000000298,box4,yes,O,1,1,2922.3000000044703,223078.3999999985,7015,DSST,B,214569.0,215414.0,212491.0,25,160,113
-,26,1,76.19800019264221,1,test,yes,1,1,43801.99980735779,237,135,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),228084.3999999985,box1,yes,O,1,1,2073.2999999970198,226011.1000000015,7015,DSST,B,216703.0,217497.0,215424.0,26,160,113
U,27,1,78.84600019454956,5,test,yes,1,5,41153.99980545044,218,142,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),230732.6000000015,box5,yes,O,1,1,2637.8000000044703,228094.79999999702,7015,DSST,B,219302.0,220146.0,217508.0,27,160,113
L,28,1,81.02999997138977,4,test,yes,1,4,38970.00002861023,248,135,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),232916.20000000298,box4,yes,O,1,1,2173.3000000044703,230742.8999999985,7015,DSST,B,221533.0,222329.0,220156.0,28,160,113
T,29,1,83.7110002040863,2,test,yes,1,2,36288.999795913696,242,156,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),235597.70000000298,box2,yes,O,1,1,2671.3000000044703,232926.3999999985,7015,DSST,B,224284.0,225011.0,222339.0,29,160,113
^,30,1,86.59300017356873,7,test,yes,1,7,33406.999826431274,205,142,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),238480.1000000015,box7,yes,O,1,1,2872.3000000044703,235607.79999999702,7015,DSST,B,226948.0,227893.0,225021.0,30,160,113
O,31,1,89.5090000629425,6,test,yes,1,6,30490.999937057495,279,149,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),241395.8999999985,box6,yes,O,1,1,2906.10000000149,238489.79999999702,7015,DSST,B,229831.0,230809.0,227903.0,31,160,113
),32,1,92.45800018310547,3,test,yes,1,3,27541.99981689453,229,144,Tue Aug 13 2024 15:03:55 GMT-0500 (Central Daylight Time),244344.8999999985,box3,yes,O,1,1,2938.10000000149,241406.79999999702,7015,DSST,B,232913.0,233758.0,230820.0,32,160,113
