acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),27908.39999999851,O,m,1768,,,3,no,1,3293.199999999255,24615.199999999255,QHZXPC,QHZWPC,7141,LC,B,,,1
2,1,0.0,prac,1,z,30000.0,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),30623.800000000745,O,z,1178,,,2,yes,1,2707.900000002235,27915.89999999851,NBGFSM,NBGFSM,7141,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),33005.699999999255,O,z,861,,,4,yes,1,2376.599999997765,30629.10000000149,RSM,RSM,7141,LC,B,,,3
4,1,0.0,prac,1,m,30000.0,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),35355.0,O,m,811,,,1,no,1,2342.5,33012.5,RNV,FNV,7141,LC,B,,,4
5,1,0.0,prac,1,m,30000.0,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),38419.60000000149,O,m,1533,,,5,no,1,3057.7000000029802,35361.89999999851,LNDPRSKQB,LNDPRSJQB,7141,LC,B,,,5
6,1,0.0,prac,1,z,30000.0,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),41137.699999999255,O,z,1183,,,6,yes,1,2712.800000000745,38424.89999999851,CSDBFPHXZ,CSDBFPHXZ,7141,LC,B,,,6
1,1,1.432999849319458,test,1,m,28567.000150680542,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),50134.699999999255,O,m,1413,1413,,1,no,1,1428.3999999985099,48706.300000000745,HCF,RCF,7141,LC,B,47041,,1
1,1,2.7009999752044678,test,0,m,27299.000024795532,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),51402.89999999851,O,z,1262,1262,,2,no,1,1263.5999999977648,50139.300000000745,QTPRJX,QTPNJX,7141,LC,B,48474,,2
1,1,4.997999906539917,test,0,m,25002.000093460083,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),53700.0,O,z,2280,2280,,3,no,1,2293.0,51407.0,MZDYGVGKQ,MZDYGLBKQ,7141,LC,B,49742,,3
2,1,6.132999897003174,test,1,m,23867.000102996826,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),54834.800000000745,O,m,1130,1130,,4,no,1,1131.300000000745,53703.5,FQTNMK,JQTNMK,7141,LC,B,52038,,4
3,1,7.395999908447266,test,1,z,22604.000091552734,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),56098.10000000149,O,z,1256,1256,,5,yes,1,1259.2000000029802,54838.89999999851,CLJ,CLJ,7141,LC,B,53174,,5
3,1,10.662999868392944,test,0,m,19337.000131607056,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),59364.699999999255,O,z,3263,3263,,6,no,1,3264.300000000745,56100.39999999851,JGDMNSVPW,JGZMNSVPW,7141,LC,B,54435,,6
4,1,13.34500002861023,test,1,z,16654.99997138977,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),62046.89999999851,O,z,2672,2672,,7,yes,1,2678.099999997765,59368.800000000745,FPTVHKCBJ,FPTVHKCBJ,7141,LC,B,57703,,7
5,1,14.244999885559082,test,1,m,15755.000114440918,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),62947.0,O,m,893,893,,8,no,1,896.5,62050.5,XRPZBS,ZRPBDH,7141,LC,B,60385,,8
6,1,15.4760000705719,test,1,m,14523.9999294281,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),64178.300000000745,O,m,1215,1215,,9,no,1,1226.300000000745,62952.0,ZSQ,ZSP,7141,LC,B,61287,,9
7,1,19.16100001335144,test,1,z,10838.99998664856,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),67863.19999999925,O,z,3665,3665,,10,yes,1,3680.39999999851,64182.800000000745,MPZRXL,MPZRXL,7141,LC,B,62517,,10
8,1,20.175999879837036,test,1,m,9824.000120162964,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),68878.80000000075,O,m,995,995,,11,no,1,1011.0,67867.80000000075,KJH,KRH,7141,LC,B,66202,,11
9,1,25.307999849319458,test,1,z,4692.000150680542,Fri May 16 2025 19:12:32 GMT-0500 (Central Daylight Time),74010.19999999925,O,z,5118,5118,,12,yes,1,5127.800000000745,68882.39999999851,SMNHVTFCB,SMNHVTFCB,7141,LC,B,67217,,12
