acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-305,-233,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),-224,-192,46230.299999952316,CFD-BM-204-003-N.jpg,Sam,64,O,1,1209,,1209,,,1,1,2241.7999999523163,-416,-256,43988.5,7158,FN,A,,37346,,,1,192,-320,-224
2,prac,1,1,,323,-6,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,32,48261.699999928474,CFD-WM-012-001-N.jpg,John,64,O,1,1006,,1006,,,2,1,2020.1999999284744,224,-32,46241.5,7158,FN,A,,39578,,,2,192,320,0
3,prac,1,1,,-292,217,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),-224,256,50127.799999952316,CFD-LF-249-132-N.jpg,Tina,64,O,1,838,,838,,,3,1,1862.0,-416,192,48265.799999952316,7158,FN,A,,41612,,,3,192,-320,224
4,prac,1,1,,316,-220,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,-192,52277.799999952316,CFD-BM-204-003-N.jpg,Sam,64,O,1,1127,,1127,,,4,1,2145.0,224,-256,50132.799999952316,7158,FN,A,,43476,,,4,192,320,-224
5,prac,1,1,,-333,-5,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),-224,32,54159.299999952316,CFD-WM-012-001-N.jpg,John,64,O,1,835,,835,,,5,1,1874.1999999284744,-416,-32,52285.10000002384,7158,FN,A,,45644,,,5,192,-320,0
6,prac,1,1,,331,215,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,256,56275.39999997616,CFD-LF-249-132-N.jpg,Tina,64,O,1,1082,,1082,,,6,1,2114.0,224,192,54161.39999997616,7158,FN,A,,47509,,,6,192,320,224
1,prac_test,1,1,m,331,215,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,256,80251.89999997616,CFD-BM-204-003-N.jpg,John,64,O,m,2136,,,2136,,2,1,3917.100000023842,224,192,76334.79999995232,7158,FN,A,,,69670,,1,192,320,224
2,prac_test,1,1,z,331,215,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,256,83317.79999995232,CFD-LF-249-132-N.jpg,Tina,64,O,z,1262,,,1262,,3,1,3037.399999976158,224,192,80280.39999997616,7158,FN,A,,,73618,,2,192,320,224
2,prac_test,1,0,m,331,215,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,256,85949.69999992847,CFD-WM-012-001-N.jpg,Sam,64,O,z,826,,,826,,1,1,2607.0,224,192,83342.69999992847,7158,FN,A,,,76684,,3,192,320,224
1,learn,1,1,,-320,-3,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),-224,32,100710.89999997616,CFD-BM-207-024-N.jpg,David,64,O,1,1330,1330,,,,8,1,2339.600000023842,-416,-32,98371.29999995232,7158,FN,A,91710,,,,1,192,-320,0
2,learn,1,1,,315,-220,Wed Jun 04 2025 10:20:56 GMT-0500 (Central Daylight Time),416,-192,102644.5,CFD-BF-208-266-N.jpg,Lisa,64,O,1,911,911,,,,10,1,1931.3999999761581,224,-256,100713.10000002384,7158,FN,A,94061,,,,2,192,320,-224
