acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
1,prac,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),78688.3999999999,window,1100,O,z,,,1318,,,16,1,3707.600000000093,74980.79999999981,7159,temper,AF,A,,,,,,,,,,1
2,prac,1,inc,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),81990.79999999981,kind,900,O,m,,,1099,,,2,1,3297.5,78693.29999999981,7159,rock,AF,A,,,,,,,,,,2
3,prac,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),84806.79999999981,rock,900,O,z,,,617,,,10,1,2811.0,81995.79999999981,7159,kind,AF,A,,,,,,,,,,3
4,prac,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),87688.29999999981,love,1000,O,z,,,583,,,11,1,2876.5,84811.79999999981,7159,love,AF,A,,,,,,,,,,4
5,prac,1,inc,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),90503.0,elated,900,O,m,,,622,,,6,1,2810.100000000093,87692.8999999999,7159,napkin,AF,A,,,,,,,,,,5
6,prac,1,con,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),93186.19999999972,jacket,800,O,m,,,569,,,5,1,2678.7999999998137,90507.3999999999,7159,jacket,AF,A,,,,,,,,,,6
7,prac,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),96101.09999999963,rage,1000,O,z,,,607,,,15,1,2909.5999999996275,93191.5,7159,rage,AF,A,,,,,,,,,,7
8,prac,1,inc,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),99234.69999999972,brutal,1100,O,m,,,729,,,8,1,3128.1999999997206,96106.5,7159,window,AF,A,,,,,,,,,,8
9,prac,1,inc,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),102350.0,hate,1100,O,m,,,698,,,4,1,3109.8000000002794,99240.19999999972,7159,film,AF,A,,,,,,,,,,9
10,prac,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),104983.29999999981,brutal,800,O,z,,,533,,,13,1,2627.0,102356.29999999981,7159,brutal,AF,A,,,,,,,,,,10
11,prac,1,con,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),107914.09999999963,bell,1000,O,m,,,620,,,3,1,2924.2999999998137,104989.79999999981,7159,bell,AF,A,,,,,,,,,,11
12,prac,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),110879.79999999981,film,900,O,z,,,755,,,14,1,2959.5,107920.29999999981,7159,hate,AF,A,,,,,,,,,,12
13,prac,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),113646.79999999981,elated,800,O,z,,,664,,,9,1,2760.2999999998137,110886.5,7159,elated,AF,A,,,,,,,,,,13
14,prac,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),116807.8999999999,napkin,1100,O,z,,,750,,,12,1,3155.3000000002794,113652.59999999963,7159,friend,AF,A,,,,,,,,,,14
15,prac,1,con,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),119859.0,step,800,O,m,,,936,,,1,1,3047.7000000001863,116811.29999999981,7159,step,AF,A,,,,,,,,,,15
16,prac,1,con,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),123092.8999999999,remote,1000,O,m,,,932,,,7,1,3225.3000000002794,119867.59999999963,7159,remote,AF,A,,,,,,,,,,16
1,test,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),146351.69999999972,love,800,O,z,z,None,705,492.0,213.0,17,1,2018.6000000000931,144333.09999999963,7159,love,AF,A,143548,143548,142029,142832,142030,144048,143335,143335,144048,1
2,test,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),148384.69999999972,love,900,O,z,z,None,589,389.0,200.0,18,1,2023.5,146361.19999999972,7159,love,AF,A,145682,145683,144057,144965,144058,146081,145482,145482,146081,2
3,test,1,inc,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),150617.09999999963,hate,1100,O,m,m,None,590,389.0,201.0,72,1,2224.1999999997206,148392.8999999999,7159,step,AF,A,147915,147915,146089,147198,146089,148313,147714,147714,148313,3
4,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),152849.5,remote,1000,O,z,z,None,710,496.0,214.0,31,1,2221.2000000001863,150628.2999999998,7159,friend,AF,A,150047,150047,148324,149330,148325,150546,149832,149832,150546,4
5,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),155067.0,film,1100,O,z,z,None,581,380.0,201.0,24,1,2208.100000000093,152858.8999999999,7159,love,AF,A,152380,152380,150555,151666,150555,152763,152179,152179,152763,5
6,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),157115.2999999998,napkin,900,O,z,z,None,611,395.0,216.0,6,1,2041.6000000000931,155073.69999999972,7159,elated,AF,A,154413,154413,152770,153678,152770,154811,154196,154196,154811,6
7,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),159282.09999999963,remote,1000,O,z,z,None,622,423.0,199.0,7,1,2161.2999999998137,157120.7999999998,7159,elated,AF,A,156545,156545,154817,155828,154817,156978,156345,156345,156978,7
8,test,1,inc,1,m,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),161863.3999999999,rage,800,O,m,m,None,1231,1015.0,216.0,93,1,2576.399999999907,159287.0,7159,film,AF,A,158529,158529,156983,157795,156983,159559,158312,158312,159559,8
9,test,1,con,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),164130.8999999999,rage,1100,O,z,z,None,632,417.0,215.0,52,1,2261.100000000093,161869.7999999998,7159,rage,AF,A,161410,161410,159566,160677,159566,161827,161194,161194,161827,9
10,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),166146.8999999999,rock,900,O,z,z,None,572,356.0,216.0,46,1,2011.2000000001863,164135.69999999972,7159,hate,AF,A,163476,163476,161832,162744,161832,163843,163259,163260,163843,10
11,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),168245.0,rock,900,O,z,z,None,650,451.0,199.0,22,1,2092.7000000001863,166152.2999999998,7159,love,AF,A,165476,165476,163848,164759,163849,165941,165276,165276,165941,11
12,test,1,inc,1,z,Wed Jun 04 2025 10:18:51 GMT-0500 (Central Daylight Time),170044.7999999998,step,800,O,z,z,None,451,233.0,218.0,21,1,1795.2999999998137,168249.5,7159,love,AF,A,167494,167494,165946,166758,165946,167741,167275,167275,167741,12
