block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,,,I,space,482,33,,,0,WL,C,
prac,,0,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,NA,b,I,b,5232,33,,,0,WL,C,1.0
prac,,0,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,NA,bo,I,o,318,33,,,0,WL,C,1.0
prac,,0,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,NA,boo,I,o,179,33,,,0,WL,C,1.0
prac,,0,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,NA,boos,I,s,810,33,,,0,WL,C,1.0
prac,,0,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,NA,boost,I,t,235,33,,,0,WL,C,1.0
prac,,0,,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),,NA,boostenter,I,enter,289,33,,,0,WL,C,1.0
1,7.41700005531311,learn,52582.99994468689,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),119691.09999999404,A,t,I,t,7383,33,7416.5,112274.59999999404,0,WL,C,1.0
1,7.766999959945679,learn,52233.00004005432,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),120040.80000001192,A,to,I,o,328,33,7766.200000017881,112274.59999999404,0,WL,C,1.0
1,7.91700005531311,learn,52082.99994468689,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),120191.09999999404,A,tow,I,w,137,33,7916.5,112274.59999999404,0,WL,C,1.0
1,8.150000095367432,learn,51849.99990463257,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),120424.09999999404,A,towe,I,e,203,33,8149.5,112274.59999999404,0,WL,C,1.0
1,8.33299994468689,learn,51667.00005531311,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),120606.59999999404,A,tower,I,r,170,33,8332.0,112274.59999999404,0,WL,C,1.0
1,8.883000135421753,learn,51116.99986457825,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),121156.90000000596,A,towerenter,I,enter,535,33,8882.300000011921,112274.59999999404,0,WL,C,1.0
1,11.934000015258789,learn,48065.99998474121,Thu Jul 10 2025 10:38:54 GMT-0400 (Eastern Daylight Time),124207.5,A,w,I,w,3042,33,3050.0,121157.5,0,WL,C,2.0
