Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,286.8323686589176,129.12855806282806,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),,box1,yes,I,1,,,,333333,DSST,B,,,,0,160,113
X,1,1,0.0,8,prac,yes,1,8,120000.0,341.91249742313,142.6387783257481,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),131510.29999999702,box8,yes,I,1,,3744.5999999940395,127765.70000000298,333333,DSST,B,,,,1,160,113
+,2,1,0.0,9,prac,yes,1,9,120000.0,292.0286072215791,134.3247966254896,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),135710.0,box9,yes,I,1,,3422.9000000059605,132287.09999999404,333333,DSST,B,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,268.125909833336,123.9323195001665,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),138976.29999999702,box2,yes,I,1,,2485.2999999970198,136491.0,333333,DSST,B,,,,3,160,113
^,4,1,0.0,7,prac,yes,1,7,120000.0,274.36139610852985,142.6387783257481,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),141709.70000000298,box7,yes,I,1,,1952.1000000089407,139757.59999999404,333333,DSST,B,,,,4,160,113
U,5,1,0.0,5,prac,yes,1,5,120000.0,245.26246015762516,163.4237325763943,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),166543.70000000298,box5,yes,I,1,,24058.70000000298,142485.0,333333,DSST,B,,,,5,160,113
L,6,1,0.0,4,prac,yes,1,4,120000.0,247.3409555826898,136.40329205055423,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),172477.79999999702,box4,yes,I,1,,5152.79999999702,167325.0,333333,DSST,B,,,,6,160,113
-,7,1,0.0,1,prac,yes,1,1,120000.0,285.7931209463853,162.38448486386199,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),175144.0,box1,yes,I,1,,1888.0,173256.0,333333,DSST,B,,,,7,160,113
O,8,1,0.0,6,prac,yes,1,6,120000.0,299.3033412093053,130.16780577536036,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),181277.79999999702,box6,yes,I,1,,5355.29999999702,175922.5,333333,DSST,B,,,,8,160,113
),9,1,0.0,3,prac,yes,1,3,120000.0,210.96728564405893,154.0705031636035,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),184511.5,box3,yes,I,1,,2453.7999999970198,182057.70000000298,333333,DSST,B,,,,9,160,113
T,1,1,2.9119999408721924,2,test,yes,1,2,117088.00005912781,309.69581833462837,143.6780260382804,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),198012.29999999702,box2,yes,I,1,,2890.4000000059605,195121.89999999106,333333,DSST,B,194702.0,195588.0,192698.0,1,160,113
-,2,1,4.943000078201294,1,test,yes,1,1,115056.9999217987,220.32051505684973,171.73771427665275,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),200045.0,box1,yes,I,1,,2011.7999999970198,198033.20000000298,333333,DSST,B,196764.0,197621.0,195609.0,2,160,113
),3,1,6.710999965667725,3,test,yes,1,3,113289.00003433228,221.35976276938203,133.2855489129573,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),201811.5,box3,yes,I,1,,1749.0,200062.5,333333,DSST,B,198664.0,199387.0,197638.0,3,160,113
^,4,1,8.778000116348267,7,test,yes,1,7,111221.99988365173,189.1430836808804,148.87426460094196,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),203878.39999999106,box7,yes,I,1,,2049.3999999910593,201829.0,333333,DSST,B,200800.0,201454.0,199405.0,4,160,113
T,5,1,11.210999965667725,2,test,yes,1,2,108789.00003433228,278.51838695865905,134.3247966254896,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),206311.5,box2,yes,I,1,,2415.0,203896.5,333333,DSST,B,202968.0,203887.0,201472.0,5,160,113
L,6,1,13.51200008392334,4,test,yes,1,4,106487.99991607666,265.008166695739,143.6780260382804,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),208612.20000000298,box4,yes,I,1,,2282.1000000089407,206330.09999999404,333333,DSST,B,205363.0,206188.0,203906.0,6,160,113
X,7,1,15.745000123977661,8,test,yes,1,8,104254.99987602234,204.73179936886507,153.0312554510712,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),210845.39999999106,box8,yes,I,1,,2214.5999999940395,208630.79999999702,333333,DSST,B,207728.0,208421.0,206207.0,7,160,113
T,8,1,17.84500002861023,2,test,yes,1,2,102154.99997138977,253.57644185788362,141.59953061321576,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),212945.09999999404,box2,yes,I,1,,2082.0,210863.09999999404,333333,DSST,B,209832.0,210521.0,208439.0,8,160,113
-,9,1,19.64300012588501,1,test,yes,1,1,100356.99987411499,254.61568957041595,156.14899858866812,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),214745.5,box1,yes,I,1,,1782.2999999970198,212963.20000000298,333333,DSST,B,211498.0,212321.0,210539.0,9,160,113
),10,1,21.88100004196167,3,test,yes,1,3,98118.99995803833,172.51512028036345,131.20705348789267,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),216979.79999999702,box3,yes,I,1,,2219.5,214760.29999999702,333333,DSST,B,213830.0,214556.0,212336.0,10,160,113
T,11,1,23.776000022888184,2,test,yes,1,2,96223.99997711182,225.51675361951126,144.7172737508127,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),218879.39999999106,box2,yes,I,1,,1880.5,216998.89999999106,333333,DSST,B,215635.0,216455.0,214575.0,11,160,113
-,12,1,26.111000061035156,1,test,yes,1,1,93888.99993896484,313.85280918475763,138.48178747561886,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),221211.89999999106,box1,yes,I,1,,2317.0,218894.89999999106,333333,DSST,B,218135.0,218788.0,216471.0,12,160,113
L,13,1,29.342999935150146,4,test,yes,1,4,90657.00006484985,237.987726169899,159.26674172626505,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),224445.89999999106,box4,yes,I,1,,3214.3999999910593,221231.5,333333,DSST,B,221231.0,222022.0,218807.0,13,160,113
T,14,1,31.57699990272522,2,test,yes,1,2,88423.00009727478,213.04578106912354,139.52103518815116,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),226679.20000000298,box2,yes,I,1,,2220.2000000029802,224459.0,333333,DSST,B,223334.0,224255.0,222035.0,14,160,113
),15,1,33.375,3,test,yes,1,3,86625.0,237.987726169899,165.50222800145892,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),228479.29999999702,box3,yes,I,1,,1783.0999999940395,226696.20000000298,333333,DSST,B,225332.0,226055.0,224272.0,15,160,113
U,16,1,36.444000005722046,5,test,yes,1,5,83555.99999427795,346.06948827325925,156.14899858866812,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),231545.79999999702,box5,yes,I,1,,3051.2000000029802,228494.59999999404,333333,DSST,B,228498.0,229122.0,226071.0,16,160,113
T,17,1,38.40899991989136,2,test,yes,1,2,81591.00008010864,232.79148760723743,165.50222800145892,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),233512.59999999404,box2,yes,I,1,,1949.5,231563.09999999404,333333,DSST,B,230333.0,231088.0,229139.0,17,160,113
),18,1,40.21300005912781,3,test,yes,1,3,79786.99994087219,219.2812673443174,141.59953061321576,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),235313.09999999404,box3,yes,I,1,,1788.3999999910593,233524.70000000298,333333,DSST,B,232098.0,232889.0,231101.0,18,160,113
-,19,1,42.61299991607666,1,test,yes,1,1,77387.00008392334,249.4194510077544,130.16780577536036,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),237713.5,box1,yes,I,1,,2381.7999999970198,235331.70000000298,333333,DSST,B,234766.0,235289.0,232908.0,19,160,113
L,20,1,45.57699990272522,4,test,yes,1,4,74423.00009727478,306.57807519703147,155.1097508761358,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),240679.5,box4,yes,I,1,,2945.7000000029802,237733.79999999702,333333,DSST,B,237501.0,238255.0,235310.0,20,160,113
+,21,1,48.30900001525879,9,test,yes,1,9,71690.99998474121,259.8119281330775,158.22749401373272,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),243412.59999999404,box9,yes,I,1,,2717.0999999940395,240695.5,333333,DSST,B,240233.0,240989.0,238271.0,21,160,113
O,22,1,50.609999895095825,6,test,yes,1,6,69390.00010490417,309.69581833462837,156.14899858866812,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),245713.0,box6,yes,I,1,,2284.7000000029802,243428.29999999702,333333,DSST,B,242436.0,243289.0,241004.0,22,160,113
),23,1,52.875,3,test,yes,1,3,67125.0,230.71299218217283,131.20705348789267,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),247979.59999999404,box3,yes,I,1,,2250.0999999940395,245729.5,333333,DSST,B,244834.0,245556.0,243306.0,23,160,113
-,24,1,54.74300003051758,1,test,yes,1,1,65256.99996948242,231.75223989470513,129.12855806282806,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),249846.09999999404,box1,yes,I,1,,1852.3999999910593,247993.70000000298,333333,DSST,B,246634.0,247422.0,245570.0,24,160,113
L,25,1,57.17899990081787,4,test,yes,1,4,62821.00009918213,259.8119281330775,134.3247966254896,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),252279.70000000298,box4,yes,I,1,,2418.7000000029802,249861.0,333333,DSST,B,249163.0,249855.0,247437.0,25,160,113
-,26,1,59.51099991798401,1,test,yes,1,1,60489.00008201599,213.04578106912354,148.87426460094196,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),254613.20000000298,box1,yes,I,1,,2314.6000000089407,252298.59999999404,333333,DSST,B,251400.0,252189.0,249875.0,26,160,113
U,27,1,62.144999980926514,5,test,yes,1,5,57855.000019073486,215.12427649418817,145.75652146334502,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),257246.70000000298,box5,yes,I,1,,2617.5,254629.20000000298,333333,DSST,B,254033.0,254823.0,252205.0,27,160,113
L,28,1,63.944000005722046,4,test,yes,1,4,56055.999994277954,247.3409555826898,141.59953061321576,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),259046.5,box4,yes,I,1,,1782.5,257264.0,333333,DSST,B,255867.0,256622.0,254840.0,28,160,113
T,29,1,65.84700012207031,2,test,yes,1,2,54152.99987792969,216.16352420672047,137.44253976308653,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),260946.70000000298,box2,yes,I,1,,1883.7000000029802,259063.0,333333,DSST,B,257830.0,258522.0,256639.0,29,160,113
^,30,1,67.70900011062622,7,test,yes,1,7,52290.99988937378,230.71299218217283,160.30598943879735,Sun Jun 07 2026 19:01:13 GMT-0500 (Central Daylight Time),262814.09999999404,box7,yes,I,1,,1848.8999999910593,260965.20000000298,333333,DSST,B,259699.0,260390.0,258541.0,30,160,113
