block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,3.9839999675750732,delay,56016.00003242493,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),42750.79999998212,A,towerenter,I,enter,998,,3983.0,38767.79999998212,83664,DWL,C,1
8,5.565999984741211,delay,54434.00001525879,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),44333.09999999404,A,wheatenter,I,enter,159,,1580.5,42752.59999999404,83664,DWL,C,2
8,7.25,delay,52750.0,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),46017.19999998808,A,queenenter,I,enter,232,,1683.5,44333.69999998808,83664,DWL,C,3
8,8.717000007629395,delay,51282.999992370605,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),47484.09999999404,A,sugarenter,I,enter,148,,1466.4000000059605,46017.69999998808,83664,DWL,C,4
8,9.633000135421753,delay,50366.99986457825,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),48400.5,A,homeenter,I,enter,113,,915.5,47485.0,83664,DWL,C,5
8,10.782999992370605,delay,49217.000007629395,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),49550.40000000596,A,boyenter,I,enter,206,,1149.300000011921,48401.09999999404,83664,DWL,C,6
8,12.850000143051147,delay,47149.99985694885,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),51617.29999998212,A,doctorenter,I,enter,121,,2066.199999988079,49551.09999999404,83664,DWL,C,7
8,13.867000102996826,delay,46132.999897003174,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),52633.90000000596,A,campenter,I,enter,330,,1015.9000000059605,51618.0,83664,DWL,C,8
8,15.034000158309937,delay,44965.99984169006,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),53801.0,A,flagenter,I,enter,179,,1166.5,52634.5,83664,DWL,C,9
8,16.600000143051147,delay,43399.99985694885,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),55367.40000000596,A,letterenter,I,enter,109,,1565.800000011921,53801.59999999404,83664,DWL,C,10
8,17.567000150680542,delay,42432.99984931946,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),56334.0,A,cornenter,I,enter,212,,965.9000000059605,55368.09999999404,83664,DWL,C,11
8,19.067000150680542,delay,40932.99984931946,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),57834.09999999404,A,nailenter,I,enter,508,,1499.699999988079,56334.40000000596,83664,DWL,C,12
8,24.450000047683716,delay,35549.999952316284,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),63217.40000000596,A,cattleenter,I,enter,139,,5382.9000000059605,57834.5,83664,DWL,C,13
8,25.317000150680542,delay,34682.99984931946,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),64084.19999998808,A,shoreenter,I,enter,189,,866.4000000059605,63217.79999998212,83664,DWL,C,14
8,26.8510000705719,delay,33148.9999294281,Mon Jun 08 2026 16:02:56 GMT-0500 (Central Daylight Time),65618.09999999404,A,bodyenter,I,enter,227,,1533.300000011921,64084.79999998212,83664,DWL,C,15
