Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
4,1,prac,1,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),189977.0,1400,I,z,906,4,,3088.600000023842,186888.39999997616,83664,NTS,B,1
1,2,prac,1,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),192327.39999997616,1000,I,z,564,1,,2344.2000000476837,189983.19999992847,83664,NTS,B,2
9,3,prac,1,A,circle.png,1,m,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),196027.39999997616,1500,I,m,1399,8,,3689.8000000715256,192337.59999990463,83664,NTS,B,3
8,4,prac,1,A,circle.png,1,m,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),199077.59999990463,1600,I,m,664,7,,3038.7999999523163,196038.79999995232,83664,NTS,B,4
6,5,prac,1,A,circle.png,1,m,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),202427.69999992847,1900,I,m,659,5,,3338.100000023842,199089.59999990463,83664,NTS,B,5
2,6,prac,1,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),205811.29999995232,2000,I,z,597,2,,3373.5,202437.79999995232,83664,NTS,B,6
3,7,prac,1,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),208444.69999992847,1200,I,z,635,3,,2623.0,205821.69999992847,83664,NTS,B,7
8,8,prac,1,A,circle.png,1,m,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),211461.39999997616,1600,I,m,629,7,,3005.100000023842,208456.29999995232,83664,NTS,B,8
9,9,prac,1,A,circle.png,1,m,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),214294.89999997616,1500,I,m,543,8,,2820.3000000715256,211474.59999990463,83664,NTS,B,9
2,10,prac,1,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),217628.5,2000,I,z,540,2,,3323.4000000953674,214305.09999990463,83664,NTS,B,10
7,11,prac,1,A,circle.png,1,m,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),220661.79999995232,1700,I,m,533,6,,3022.7000000476837,217639.09999990463,83664,NTS,B,11
1,12,prac,1,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),223078.69999992847,1000,I,z,622,1,,2406.600000023842,220672.09999990463,83664,NTS,B,12
4,1,prac,2,A,circle.png,1,z,Sun Jun 07 2026 19:27:48 GMT-0500 (Central Daylight Time),229962.09999990463,1400,I,z,920,4,,3110.5999999046326,226851.5,83664,NTS,B,1
