Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,184,144,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),,box1,yes,I,1,3,,,9003,DSST,B,,,,0,160,113
X,1,1,0.0,8,prac,yes,1,8,120000.0,329,140,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),51350.800000190735,box8,yes,I,1,3,3330.1000003814697,48020.699999809265,9003,DSST,B,,,,1,160,113
^,2,1,0.0,7,prac,yes,1,7,120000.0,259,143,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),55700.10000038147,box7,yes,I,1,3,3568.0,52132.10000038147,9003,DSST,B,,,,2,160,113
-,3,1,0.0,1,prac,yes,1,1,120000.0,248,150,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),58967.5,box1,yes,I,1,3,2484.199999809265,56483.300000190735,9003,DSST,B,,,,3,160,113
U,4,1,0.0,5,prac,yes,1,5,120000.0,295,158,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),62033.60000038147,box5,yes,I,1,3,2288.0,59745.60000038147,9003,DSST,B,,,,4,160,113
L,5,1,0.0,4,prac,yes,1,4,120000.0,271,131,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),65534.0,box4,yes,I,1,3,2721.8999996185303,62812.10000038147,9003,DSST,B,,,,5,160,113
O,6,1,0.0,6,prac,yes,1,6,120000.0,255,158,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),69100.80000019073,box6,yes,I,1,3,2784.800000190735,66316.0,9003,DSST,B,,,,6,160,113
+,7,1,0.0,9,prac,yes,1,9,120000.0,297,143,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),72433.60000038147,box9,yes,I,1,3,2554.9000005722046,69878.69999980927,9003,DSST,B,,,,7,160,113
T,8,1,0.0,2,prac,yes,1,2,120000.0,228,152,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),75867.0,box2,yes,I,1,3,2652.199999809265,73214.80000019073,9003,DSST,B,,,,8,160,113
),9,1,0.0,3,prac,yes,1,3,120000.0,246,150,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),79767.0,box3,yes,I,1,3,3118.0,76649.0,9003,DSST,B,,,,9,160,113
T,1,1,3.121999979019165,2,test,yes,1,2,116878.00002098083,214,138,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),102283.69999980927,box2,yes,I,1,3,3090.199999809265,99193.5,9003,DSST,B,99776.0,100396.0,97306.0,1,160,113
-,2,1,4.913000106811523,1,test,yes,1,1,115086.99989318848,231,160,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),104084.0,box1,yes,I,1,3,1763.6999998092651,102320.30000019073,9003,DSST,B,101576.0,102197.0,100432.0,2,160,113
),3,1,7.110000133514404,3,test,yes,1,3,112889.9998664856,347,151,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),106283.60000038147,box3,yes,I,1,3,2173.9000005722046,104109.69999980927,9003,DSST,B,103724.0,104396.0,102222.0,3,160,113
^,4,1,9.379000186920166,7,test,yes,1,7,110620.99981307983,292,141,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),108550.39999961853,box7,yes,I,1,3,2244.0999994277954,106306.30000019073,9003,DSST,B,105958.0,106663.0,104419.0,4,160,113
T,5,1,11.594000101089478,2,test,yes,1,2,108405.99989891052,346,127,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),110767.39999961853,box2,yes,I,1,3,2190.5,108576.89999961853,9003,DSST,B,108322.0,108880.0,106690.0,5,160,113
L,6,1,14.529000043869019,4,test,yes,1,4,105470.99995613098,302,136,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),113700.30000019073,box4,yes,I,1,3,2909.699999809265,110790.60000038147,9003,DSST,B,111241.0,111813.0,108904.0,6,160,113
X,7,1,17.10700011253357,8,test,yes,1,8,102892.99988746643,268,147,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),116283.10000038147,box8,yes,I,1,3,2557.0,113726.10000038147,9003,DSST,B,113707.0,114396.0,111839.0,7,160,113
T,8,1,19.207000017166138,2,test,yes,1,2,100792.99998283386,229,135,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),118383.0,box2,yes,I,1,3,2080.0,116303.0,9003,DSST,B,115941.0,116496.0,114416.0,8,160,113
-,9,1,20.944000005722046,1,test,yes,1,1,99055.99999427795,275,148,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),120117.0,box1,yes,I,1,3,1714.0,118403.0,9003,DSST,B,117691.0,118230.0,116516.0,9,160,113
),10,1,22.860000133514404,3,test,yes,1,3,97139.9998664856,314,149,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),122033.60000038147,box3,yes,I,1,3,1892.9000005722046,120140.69999980927,9003,DSST,B,119409.0,120146.0,118254.0,10,160,113
T,11,1,26.044000148773193,2,test,yes,1,2,93955.9998512268,252,151,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),125216.80000019073,box2,yes,I,1,3,3159.6000003814697,122057.19999980927,9003,DSST,B,122566.0,123330.0,120170.0,11,160,113
-,12,1,27.794000148773193,1,test,yes,1,1,92205.9998512268,318,143,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),126967.0,box1,yes,I,1,3,1725.8000001907349,125241.19999980927,9003,DSST,B,124507.0,125080.0,123354.0,12,160,113
L,13,1,29.677000045776367,4,test,yes,1,4,90322.99995422363,323,133,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),128850.30000019073,box4,yes,I,1,3,1861.1000003814697,126989.19999980927,9003,DSST,B,126441.0,126963.0,125102.0,13,160,113
T,14,1,31.944000005722046,2,test,yes,1,2,88055.99999427795,190,148,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),131116.89999961853,box2,yes,I,1,3,2242.8999996185303,128874.0,9003,DSST,B,128658.0,129230.0,126987.0,14,160,113
),15,1,33.51100015640259,3,test,yes,1,3,86488.99984359741,246,148,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),132683.60000038147,box3,yes,I,1,3,1542.3000001907349,131141.30000019073,9003,DSST,B,130274.0,130796.0,129254.0,15,160,113
U,16,1,36.06000018119812,5,test,yes,1,5,83939.99981880188,246,171,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),135233.60000038147,box5,yes,I,1,3,2527.2000007629395,132706.39999961853,9003,DSST,B,132807.0,133346.0,130819.0,16,160,113
T,17,1,38.34500002861023,2,test,yes,1,2,81654.99997138977,224,139,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),137517.5,box2,yes,I,1,3,2262.5,135255.0,9003,DSST,B,134907.0,135630.0,133368.0,17,160,113
),18,1,40.16100001335144,3,test,yes,1,3,79838.99998664856,255,137,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),139333.69999980927,box3,yes,I,1,3,1794.5,137539.19999980927,9003,DSST,B,136674.0,137447.0,135652.0,18,160,113
-,19,1,41.67700004577637,1,test,yes,1,1,78322.99995422363,322,141,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),140850.30000019073,box1,yes,I,1,3,1492.6999998092651,139357.60000038147,9003,DSST,B,138225.0,138963.0,137470.0,19,160,113
L,20,1,44.944000005722046,4,test,yes,1,4,75055.99999427795,217,139,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),144117.0,box4,yes,I,1,3,3243.300000190735,140873.69999980927,9003,DSST,B,141291.0,142230.0,138987.0,20,160,113
+,21,1,47.26200008392334,9,test,yes,1,9,72737.99991607666,295,143,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),146433.60000038147,box9,yes,I,1,3,2293.6000003814697,144140.0,9003,DSST,B,143857.0,144546.0,142253.0,21,160,113
O,22,1,49.64300012588501,6,test,yes,1,6,70356.99987411499,362,149,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),148816.89999961853,box6,yes,I,1,3,2357.5,146459.39999961853,9003,DSST,B,146391.0,146930.0,144572.0,22,160,113
),23,1,51.39199995994568,3,test,yes,1,3,68608.00004005432,275,139,Fri May 09 2025 15:14:59 GMT-0400 (Eastern Daylight Time),150567.19999980927,box3,yes,I,1,3,1728.6999998092651,148838.5,9003,DSST,B,148173.0,148680.0,146951.0,23,160,113
