Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
6,1,prac,1,A,circle.png,1,m,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),68721.39999997616,1900,I,m,1207,5,3,3889.0999999046326,64832.300000071526,9005,NTS,B,1
8,2,prac,1,A,circle.png,1,m,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),71704.39999997616,1600,I,m,585,7,3,2970.5,68733.89999997616,9005,NTS,B,2
1,3,prac,1,A,circle.png,1,z,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),74454.5,1000,I,z,955,1,3,2738.899999976158,71715.60000002384,9005,NTS,B,3
7,4,prac,1,A,circle.png,1,m,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),77554.60000002384,1700,I,m,608,6,3,3088.0,74466.60000002384,9005,NTS,B,4
9,5,prac,1,A,circle.png,1,m,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),80637.70000004768,1500,I,m,780,8,3,3061.8000000715256,77575.89999997616,9005,NTS,B,5
2,6,prac,1,A,circle.png,1,z,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),84121.0,2000,I,z,686,2,3,3469.2999999523163,80651.70000004768,9005,NTS,B,6
1,7,prac,1,A,circle.png,1,z,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),86571.20000004768,1000,I,z,633,1,3,2432.600000023842,84138.60000002384,9005,NTS,B,7
2,8,prac,1,A,circle.png,1,z,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),90171.0,2000,I,z,802,2,3,3589.5,86581.5,9005,NTS,B,8
3,9,prac,1,A,circle.png,1,z,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),92954.5,1200,I,z,784,3,3,2773.1999999284744,90181.30000007153,9005,NTS,B,9
4,10,prac,1,A,circle.png,1,z,Wed Jul 16 2025 09:59:27 GMT-0400 (Eastern Daylight Time),96237.70000004768,1400,I,z,1099,4,3,3270.2000000476837,92967.5,9005,NTS,B,10
