acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),48541.0,I,z,1150,,,1,yes,3,2679.100000023842,45861.89999997616,practrial1.png,practrial1.png,9005,PC,B,,,1
2,1,0.0,prac,1,m,30000.0,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),51457.200000047684,I,m,1373,,,2,no,3,2906.100000023842,48551.10000002384,practrial2.png,practrial2b.png,9005,PC,B,,,2
3,1,0.0,prac,1,m,30000.0,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),54590.700000047684,I,m,1593,,,4,no,3,3124.2000000476837,51466.5,practrial4.png,practrial4b.png,9005,PC,B,,,3
4,1,0.0,prac,1,z,30000.0,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),57474.0,I,z,1357,,,3,yes,3,2874.600000023842,54599.39999997616,practrial3.png,practrial3.png,9005,PC,B,,,4
5,1,0.0,prac,1,z,30000.0,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),60574.200000047684,I,z,1562,,,5,yes,3,3092.3000000715256,57481.89999997616,practrial5.png,practrial5.png,9005,PC,B,,,5
6,1,0.0,prac,1,m,30000.0,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),63540.60000002384,I,m,1435,,,6,no,3,2955.2000000476837,60585.39999997616,practrial6.png,practrial6b.png,9005,PC,B,,,6
1,1,1.2339999675750732,test,1,z,28766.000032424927,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),76924.5,I,z,1222,1222,,1,yes,3,1230.6000000238419,75693.89999997616,test1trial1.png,test1trial1.png,9005,PC,B,71249,,1
2,1,2.2829999923706055,test,1,m,27717.000007629395,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),77973.70000004768,I,m,1036,1036,,2,no,3,1038.1000000238419,76935.60000002384,test1trial2.png,test1trial2b.png,9005,PC,B,72491,,2
3,1,3.7669999599456787,test,1,z,26233.00004005432,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),79457.39999997616,I,z,1462,1462,,3,yes,3,1476.6000000238419,77980.79999995232,test1trial3.png,test1trial3.png,9005,PC,B,73537,,3
4,1,4.817999839782715,test,1,m,25182.000160217285,Wed Jul 16 2025 11:48:39 GMT-0400 (Eastern Daylight Time),80508.60000002384,I,m,1032,1032,,4,no,3,1042.0,79466.60000002384,test1trial4.png,test1trial4b.png,9005,PC,B,75024,,4
