Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,255,147,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),,box1,yes,I,1,,,,9009,DSST,C,,,,0,160,113
U,1,1,0.0,5,prac,yes,1,5,120000.0,223,137,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),54687.89999961853,box5,yes,I,1,,4831.799999237061,49856.10000038147,9009,DSST,C,,,,1,160,113
X,2,1,0.0,8,prac,yes,1,8,120000.0,306,149,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),58437.39999961853,box8,yes,I,1,,2967.199999809265,55470.199999809265,9009,DSST,C,,,,2,160,113
L,3,1,0.0,4,prac,yes,1,4,120000.0,218,141,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),62504.0,box4,yes,I,1,,3282.6000003814697,59221.39999961853,9009,DSST,C,,,,3,160,113
^,4,1,0.0,7,prac,yes,1,7,120000.0,249,142,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),66254.10000038147,box7,yes,I,1,,2960.9000005722046,63293.199999809265,9009,DSST,C,,,,4,160,113
-,5,1,0.0,1,prac,yes,1,1,120000.0,256,168,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),70437.39999961853,box1,yes,I,1,,3386.5,67050.89999961853,9009,DSST,C,,,,5,160,113
),6,1,0.0,3,prac,yes,1,3,120000.0,193,143,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),74220.80000019073,box3,yes,I,1,,3003.1000003814697,71217.69999980927,9009,DSST,C,,,,6,160,113
T,7,1,0.0,2,prac,yes,1,2,120000.0,208,146,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),77754.0,box2,yes,I,1,,2755.699999809265,74998.30000019073,9009,DSST,C,,,,7,160,113
+,8,1,0.0,9,prac,yes,1,9,120000.0,321,156,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),81870.69999980927,box9,yes,I,1,,3335.699999809265,78535.0,9009,DSST,C,,,,8,160,113
O,9,1,0.0,6,prac,yes,1,6,120000.0,205,138,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),85153.89999961853,box6,yes,I,1,,2502.2999992370605,82651.60000038147,9009,DSST,C,,,,9,160,113
T,1,1,3.128999948501587,2,test,yes,1,2,116871.00005149841,264,165,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),95854.10000038147,box2,yes,I,1,,3106.0,92748.10000038147,9009,DSST,C,93203.0,93879.0,90773.0,1,160,113
-,2,1,6.323999881744385,1,test,yes,1,1,113676.00011825562,201,153,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),99053.0,box1,yes,I,1,,3173.1000003814697,95879.89999961853,9009,DSST,C,96307.0,97078.0,93905.0,2,160,113
),3,1,9.759999990463257,3,test,yes,1,3,110240.00000953674,249,157,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),102487.5,box3,yes,I,1,,3410.1000003814697,99077.39999961853,9009,DSST,C,99608.0,100512.0,97102.0,3,160,113
^,4,1,12.976999998092651,7,test,yes,1,7,107023.00000190735,355,147,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),105703.80000019073,box7,yes,I,1,,3192.9000005722046,102510.89999961853,9009,DSST,C,102940.0,103729.0,100536.0,4,160,113
T,5,1,16.26099991798401,2,test,yes,1,2,103739.00008201599,327,146,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),108987.10000038147,box2,yes,I,1,,3259.0,105728.10000038147,9009,DSST,C,106258.0,107012.0,103753.0,5,160,113
L,6,1,19.277999877929688,4,test,yes,1,4,100722.00012207031,199,136,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),112004.10000038147,box4,yes,I,1,,2993.9000005722046,109010.19999980927,9009,DSST,C,109174.0,110029.0,107035.0,6,160,113
X,7,1,22.027999877929688,8,test,yes,1,8,97972.00012207031,305,146,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),114754.0,box8,yes,I,1,,2725.3999996185303,112028.60000038147,9009,DSST,C,112041.0,112779.0,110054.0,7,160,113
T,8,1,25.194999933242798,2,test,yes,1,2,94805.0000667572,300,128,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),117920.80000019073,box2,yes,I,1,,3142.4000005722046,114778.39999961853,9009,DSST,C,115156.0,115946.0,112803.0,8,160,113
-,9,1,27.759999990463257,1,test,yes,1,1,92240.00000953674,268,144,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),120486.30000019073,box1,yes,I,1,,2541.300000190735,117945.0,9009,DSST,C,117756.0,118511.0,115970.0,9,160,113
),10,1,30.045000076293945,3,test,yes,1,3,89954.99992370605,274,141,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),122770.69999980927,box3,yes,I,1,,2261.0,120509.69999980927,9009,DSST,C,120074.0,120795.0,118535.0,10,160,113
T,11,1,32.710999965667725,2,test,yes,1,2,87289.00003433228,226,146,Tue May 13 2025 12:16:33 GMT-0400 (Eastern Daylight Time),125437.39999961853,box2,yes,I,1,,2642.3999996185303,122795.0,9009,DSST,C,122789.0,123462.0,120820.0,11,160,113
