acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
0,prac,1,con,0,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),256862.69999998808,gold,800,I,None,,,1815,,,13,,4877.800000011921,251984.89999997616,9020,gold,NF,C,,,,,,,,,,1
0,prac,1,inc,0,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),261829.39999997616,pear,900,I,None,,,1799,,,14,,4957.0,256872.39999997616,9020,iron,NF,C,,,,,,,,,,2
0,prac,1,inc,0,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),264262.6999999881,copper,900,I,m,,,229,,,2,,2423.199999988079,261839.5,9020,cherry,NF,C,,,,,,,,,,3
0,prac,1,inc,0,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),266912.59999996424,raisin,1100,I,z,,,220,,,12,,2631.899999976158,264280.6999999881,9020,cobalt,NF,C,,,,,,,,,,4
1,prac,1,con,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),269262.59999996424,zinc,1000,I,m,,,38,,,15,,2337.800000011921,266924.7999999523,9020,zinc,NF,C,,,,,,,,,,5
1,prac,1,inc,0,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),271812.59999996424,iron,900,I,m,,,340,,,6,,2541.099999964237,269271.5,9020,pear,NF,C,,,,,,,,,,6
2,prac,1,con,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),274645.89999997616,silver,1000,I,m,,,531,,,11,,2821.699999988079,271824.1999999881,9020,silver,NF,C,,,,,,,,,,7
3,prac,1,con,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),277212.59999996424,kiwi,1000,I,z,,,248,,,7,,2556.5,274656.09999996424,9020,kiwi,NF,C,,,,,,,,,,8
4,prac,1,con,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),279462.59999996424,banana,800,I,z,,,139,,,1,,2240.800000011921,277221.7999999523,9020,banana,NF,C,,,,,,,,,,9
4,prac,1,con,0,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),284528.89999997616,orange,1000,I,None,,,1799,,,3,,5056.5,279472.39999997616,9020,orange,NF,C,,,,,,,,,,10
4,prac,1,con,0,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),289411.89999997616,bronze,800,I,None,,,1799,,,9,,4872.100000023842,284539.7999999523,9020,bronze,NF,C,,,,,,,,,,11
4,prac,1,inc,0,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),294579.09999996424,cobalt,1100,I,None,,,1800,,,4,,5160.699999988079,289418.39999997616,9020,raisin,NF,C,,,,,,,,,,12
4,prac,1,inc,0,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),299745.7999999523,lead,1100,I,None,,,1799,,,8,,5156.699999988079,294589.09999996424,9020,plum,NF,C,,,,,,,,,,13
4,prac,1,inc,0,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),304712.5,cherry,900,I,None,,,1799,,,10,,4955.100000023842,299757.39999997616,9020,copper,NF,C,,,,,,,,,,14
5,prac,1,inc,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),308545.89999997616,plum,1100,I,m,,,1409,,,16,,3817.100000023842,304728.7999999523,9020,lead,NF,C,,,,,,,,,,15
6,prac,1,con,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),310946.0,lime,800,I,z,,,293,,,5,,2391.7000000476837,308554.2999999523,9020,lime,NF,C,,,,,,,,,,16
0,prac,2,inc,0,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),330495.89999997616,copper,900,I,m,,,203,,,2,,2407.100000023842,328088.7999999523,9020,cherry,NF,C,,,,,,,,,,1
1,prac,2,inc,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),333196.09999996424,iron,900,I,z,,,492,,,6,,2690.399999976158,330505.6999999881,9020,pear,NF,C,,,,,,,,,,2
2,prac,2,con,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),335945.2999999523,kiwi,1000,I,z,,,444,,,7,,2739.699999988079,333205.59999996424,9020,kiwi,NF,C,,,,,,,,,,3
3,prac,2,inc,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),338862.6999999881,plum,1100,I,m,,,513,,,16,,2911.100000023842,335951.59999996424,9020,lead,NF,C,,,,,,,,,,4
4,prac,2,con,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),341479.1999999881,bronze,800,I,m,,,504,,,9,,2607.300000011921,338871.89999997616,9020,bronze,NF,C,,,,,,,,,,5
5,prac,2,con,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),344212.59999996424,zinc,1000,I,m,,,447,,,15,,2721.699999988079,341490.89999997616,9020,zinc,NF,C,,,,,,,,,,6
6,prac,2,inc,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),347212.59999996424,lead,1100,I,z,,,599,,,8,,2991.199999988079,344221.39999997616,9020,plum,NF,C,,,,,,,,,,7
7,prac,2,inc,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),349946.0,cherry,900,I,m,,,526,,,10,,2723.7000000476837,347222.2999999523,9020,copper,NF,C,,,,,,,,,,8
8,prac,2,inc,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),352896.0,raisin,1100,I,m,,,536,,,12,,2940.400000035763,349955.59999996424,9020,cobalt,NF,C,,,,,,,,,,9
9,prac,2,con,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),355629.2999999523,gold,800,I,m,,,623,,,13,,2720.599999964237,352908.6999999881,9020,gold,NF,C,,,,,,,,,,10
10,prac,2,con,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),358329.2999999523,orange,1000,I,z,,,387,,,3,,2690.2999999523163,355639.0,9020,orange,NF,C,,,,,,,,,,11
11,prac,2,con,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),361179.1999999881,silver,1000,I,m,,,541,,,11,,2840.600000023842,358338.59999996424,9020,silver,NF,C,,,,,,,,,,12
12,prac,2,con,1,z,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),363912.6999999881,lime,800,I,z,,,627,,,5,,2724.800000011921,361187.89999997616,9020,lime,NF,C,,,,,,,,,,13
13,prac,2,inc,1,m,Tue May 27 2025 16:18:26 GMT-0400 (Eastern Daylight Time),366595.89999997616,pear,900,I,m,,,466,,,14,,2671.600000023842,363924.2999999523,9020,iron,NF,C,,,,,,,,,,14
