block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,7.016000032424927,delay,52983.99996757507,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),47414.40000009537,A,trainenter,I,enter,254,3,7014.600000143051,40399.799999952316,9021,DWL,A,1
8,9.299000024795532,delay,50700.99997520447,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),49697.799999952316,A,flowerenter,I,enter,418,3,2282.5,47415.299999952316,9021,DWL,A,2
8,10.282000064849854,delay,49717.99993515015,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),50681.10000014305,A,rugenter,I,enter,252,3,982.6000001430511,49698.5,9021,DWL,A,3
8,12.115999937057495,delay,47884.000062942505,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),52514.40000009537,A,chimneyenter,I,enter,284,3,1832.9000000953674,50681.5,9021,DWL,A,4
8,14.166000127792358,delay,45833.99987220764,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),54564.40000009537,A,meadowenter,I,enter,557,3,2049.4000000953674,52515.0,9021,DWL,A,5
8,16.66600012779236,delay,43333.99987220764,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),57064.5,A,appleenter,I,enter,362,3,2499.5999999046326,54564.90000009537,9021,DWL,A,6
8,19.3989999294281,delay,40601.0000705719,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),59797.60000014305,A,buttonenter,I,enter,222,3,2732.600000143051,57065.0,9021,DWL,A,7
8,21.999000072479248,delay,38000.99992752075,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),62397.799999952316,A,harpenter,I,enter,764,3,2599.5999999046326,59798.200000047684,9021,DWL,A,8
8,24.016000032424927,delay,35983.99996757507,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),64414.5,A,logenter,I,enter,280,3,2016.2000000476837,62398.299999952316,9021,DWL,A,9
8,25.56599998474121,delay,34434.00001525879,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),65964.5,A,goldenter,I,enter,494,3,1549.5,64415.0,9021,DWL,A,10
8,28.266000032424927,delay,31733.999967575073,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),68664.40000009537,A,rattleenter,I,enter,1420,3,2699.600000143051,65964.79999995232,9021,DWL,A,11
8,35.29900002479553,delay,24700.999975204468,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),75697.70000004768,A,buttonenter,I,enter,2577,3,7032.799999952316,68664.90000009537,9021,DWL,A,12
8,36.88199996948242,delay,23118.000030517578,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),77281.10000014305,A,enter,I,enter,1564,3,1582.9000000953674,75698.20000004768,9021,DWL,A,13
8,37.098999977111816,delay,22901.000022888184,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),77497.79999995232,A,enter,I,enter,205,3,216.29999995231628,77281.5,9021,DWL,A,14
8,37.6489999294281,delay,22351.0000705719,Tue Dec 02 2025 12:54:39 GMT-0500 (Eastern Standard Time),78047.70000004768,A,enter,I,enter,533,3,549.5,77498.20000004768,9021,DWL,A,15
