Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),138369.0,I,None,2016,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10826.0,127543.0,9021,yes,SM,C,66.bmp,-120,-120,131026,125000,133043,127010,,,,,1
3,0,0,1,0,1,prac,1,1,m,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),148285.59999990463,I,m,1098,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,9906.89999961853,138378.7000002861,9021,no,SM,C,73.bmp,-120,120,141859,135836,143876,137843,,,,,2
4,0,0,0,1,2,prac,1,1,m,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),158235.59999990463,I,m,1119,3,2,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,9940.0,148295.59999990463,9021,no,SM,C,74.bmp,120,120,151776,145753,153793,147760,,,,,3
2,0,1,0,0,2,prac,1,0,z,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),169068.7000002861,I,None,2016,4,2,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10825.5,158243.2000002861,9021,yes,SM,C,79.bmp,120,-120,161726,155701,163743,157710,,,,,4
3,0,0,1,0,3,prac,1,1,z,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),179451.90000009537,I,z,1551,5,2,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,10374.400000095367,169077.5,9021,yes,SM,C,84.bmp,-120,120,172559,166535,174576,168543,,,,,5
1,1,0,0,0,3,prac,1,0,m,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),189502.2000002861,I,z,1216,6,2,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10041.800000190735,179460.40000009537,9021,no,SM,C,89.bmp,-120,-120,182943,176918,184960,178926,,,,,6
2,0,1,0,0,4,prac,1,1,m,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),199852.09999990463,I,m,1518,7,2,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10341.39999961853,189510.7000002861,9021,no,SM,C,90.bmp,120,-120,192993,186968,195010,188977,,,,,7
4,0,0,0,1,4,prac,1,0,z,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),210685.40000009537,I,None,2016,8,2,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10825.300000190735,199860.09999990463,9021,yes,SM,C,97.bmp,120,120,203343,197317,205360,199326,,,,,8
1,1,0,0,0,1,prac,2,1,z,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),230702.2000002861,I,z,1481,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10286.0,220416.2000002861,9021,yes,SM,C,66.bmp,-120,-120,223893,217873,225910,219876,,,,,1
3,0,0,1,0,2,prac,2,1,m,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),240835.40000009537,I,m,1309,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10124.5,230710.90000009537,9021,no,SM,C,73.bmp,-120,120,234193,228168,236210,230176,,,,,2
4,0,0,0,1,2,prac,2,0,m,Mon Aug 25 2025 12:23:51 GMT-0400 (Eastern Daylight Time),251668.0,I,None,2016,3,2,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10822.0,240846.0,9021,no,SM,C,74.bmp,120,120,244326,238303,246343,240310,,,,,3
