Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,264,145,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),,box1,yes,I,1,2,,,9023,DSST,A,,,,0,160,113
U,1,1,0.0,5,prac,yes,1,5,120000.0,233,150,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),69738.69999998808,box5,yes,I,1,2,3849.600000023842,65889.09999996424,9023,DSST,A,,,,1,160,113
+,2,1,0.0,9,prac,yes,1,9,120000.0,206,153,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),73772.19999998808,box9,yes,I,1,2,3252.5,70519.69999998808,9023,DSST,A,,,,2,160,113
L,3,1,0.0,4,prac,yes,1,4,120000.0,250,142,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),77622.5,box4,yes,I,1,2,3068.699999988079,74553.80000001192,9023,DSST,A,,,,3,160,113
),4,1,0.0,3,prac,yes,1,3,120000.0,234,129,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),81522.0,box3,yes,I,1,2,3120.100000023842,78401.89999997616,9023,DSST,A,,,,4,160,113
-,5,1,0.0,1,prac,yes,1,1,120000.0,220,152,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),85205.5,box1,yes,I,1,2,2896.5,82309.0,9023,DSST,A,,,,5,160,113
^,6,1,0.0,7,prac,yes,1,7,120000.0,305,160,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),89005.39999997616,box7,yes,I,1,2,3002.099999964237,86003.30000001192,9023,DSST,A,,,,6,160,113
T,7,1,0.0,2,prac,yes,1,2,120000.0,304,124,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),92705.59999996424,box2,yes,I,1,2,2916.199999988079,89789.39999997616,9023,DSST,A,,,,7,160,113
X,8,1,0.0,8,prac,yes,1,8,120000.0,268,152,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),96438.69999998808,box8,yes,I,1,2,2952.600000023842,93486.09999996424,9023,DSST,A,,,,8,160,113
O,9,1,0.0,6,prac,yes,1,6,120000.0,289,148,Mon Sep 29 2025 16:04:16 GMT-0400 (Eastern Daylight Time),99822.0,box6,yes,I,1,2,2606.100000023842,97215.89999997616,9023,DSST,A,,,,9,160,113
