acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),75226.0999994278,CFD-BF-023-013-A.jpg,1000,solid,I,z,1019,4,2,2833.699999809265,72392.39999961853,9024,ATS,A,1
1,prac,1,A,haborder.png,0,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),78525.80000019073,CFD-WM-013-015-A.jpg,1900,solid,I,m,598,8,2,6133.400000572205,72392.39999961853,9024,ATS,A,2
2,prac,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),81642.5999994278,CFD-WM-006-013-HC.jpg,1700,solid,I,m,602,9,2,9250.199999809265,72392.39999961853,9024,ATS,A,3
3,prac,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),84509.19999980927,CFD-WF-019-015-A.jpg,1000,solid,I,z,1051,12,2,12116.800000190735,72392.39999961853,9024,ATS,A,4
4,prac,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),87575.89999961853,CFD-WF-017-016-HC.jpg,1500,solid,I,m,755,11,2,15183.5,72392.39999961853,9024,ATS,A,5
5,prac,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),90759.19999980927,CFD-BM-017-052-HC.jpg,1700,solid,I,m,671,1,2,18366.800000190735,72392.39999961853,9024,ATS,A,6
6,prac,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),93876.0,CFD-BM-029-026-HC.jpg,1500,solid,I,m,809,3,2,21483.60000038147,72392.39999961853,9024,ATS,A,7
7,prac,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),97141.89999961853,CFD-WF-003-014-A.jpg,1600,solid,I,z,857,10,2,24749.5,72392.39999961853,9024,ATS,A,8
8,prac,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),99859.19999980927,CFD-BF-039-039-A.jpg,1200,solid,I,z,710,6,2,27466.800000190735,72392.39999961853,9024,ATS,A,9
9,prac,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),103109.19999980927,CFD-BM-005-010-A.jpg,1600,solid,I,z,840,2,2,30716.800000190735,72392.39999961853,9024,ATS,A,10
10,prac,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),106942.5,CFD-BF-028-020-HC.jpg,2000,solid,I,m,1031,5,2,34550.10000038147,72392.39999961853,9024,ATS,A,11
11,prac,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),109859.30000019073,CFD-WM-004-005-HC.jpg,1400,solid,I,m,711,7,2,37466.900000572205,72392.39999961853,9024,ATS,A,12
1,prac,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),165809.30000019073,CFD-BF-010-005-HC.jpg,1500,dash,I,z,661,3,2,2967.1000003814697,162842.19999980927,9024,ATS,A,1
2,prac,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),168825.89999961853,CFD-BM-029-026-HC.jpg,1700,dash,I,m,502,1,2,5983.699999809265,162842.19999980927,9024,ATS,A,2
3,prac,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),172109.19999980927,CFD-WF-002-008-HC.jpg,1900,dash,I,z,567,8,2,9267.0,162842.19999980927,9024,ATS,A,3
4,prac,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),175092.5,CFD-BM-010-019-A.jpg,1600,dash,I,m,576,2,2,12250.300000190735,162842.19999980927,9024,ATS,A,4
5,prac,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),178442.39999961853,CFD-BF-028-020-HC.jpg,1400,dash,I,z,1135,7,2,15600.199999809265,162842.19999980927,9024,ATS,A,5
6,prac,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),180959.30000019073,CFD-WF-017-016-HC.jpg,1000,dash,I,z,713,12,2,18117.10000038147,162842.19999980927,9024,ATS,A,6
7,prac,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),183675.89999961853,CFD-BF-023-013-A.jpg,1000,dash,I,z,901,4,2,20833.699999809265,162842.19999980927,9024,ATS,A,7
8,prac,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),187092.0999994278,CFD-WM-013-015-A.jpg,1700,dash,I,m,909,9,2,24249.89999961853,162842.19999980927,9024,ATS,A,8
9,prac,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),190709.30000019073,CFD-BM-005-010-A.jpg,2000,dash,I,m,808,5,2,27867.10000038147,162842.19999980927,9024,ATS,A,9
10,prac,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),193709.19999980927,CFD-WF-003-014-A.jpg,1500,dash,I,z,700,11,2,30867.0,162842.19999980927,9024,ATS,A,10
11,prac,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),196975.89999961853,CFD-WM-006-013-HC.jpg,1600,dash,I,m,863,10,2,34133.699999809265,162842.19999980927,9024,ATS,A,11
12,prac,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),200426.0,CFD-WM-019-013-A.jpg,1200,dash,I,m,1437,6,2,37583.800000190735,162842.19999980927,9024,ATS,A,12
1,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),232525.69999980927,CFD-BM-029-026-HC.jpg,1500,solid,I,m,934,3,2,2466.5,230059.19999980927,9024,ATS,A,1
2,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),234325.69999980927,CFD-BF-023-013-A.jpg,1000,solid,I,z,775,4,2,4266.5,230059.19999980927,9024,ATS,A,2
3,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),237292.30000019073,CFD-BM-017-052-HC.jpg,1700,solid,I,m,1219,1,2,7233.10000038147,230059.19999980927,9024,ATS,A,3
4,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),239675.5,CFD-BM-029-026-HC.jpg,1500,solid,I,m,852,3,2,9616.300000190735,230059.19999980927,9024,ATS,A,4
5,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),241325.80000019073,CFD-WF-019-015-A.jpg,1000,solid,I,z,617,12,2,11266.60000038147,230059.19999980927,9024,ATS,A,5
6,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),243159.19999980927,CFD-WF-019-015-A.jpg,1000,solid,I,z,807,12,2,13100.0,230059.19999980927,9024,ATS,A,6
7,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),245492.30000019073,CFD-BM-017-052-HC.jpg,1700,solid,I,m,593,1,2,15433.10000038147,230059.19999980927,9024,ATS,A,7
8,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),247809.0999994278,CFD-BM-005-010-A.jpg,1600,solid,I,z,696,2,2,17749.89999961853,230059.19999980927,9024,ATS,A,8
9,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),250475.80000019073,CFD-WM-006-013-HC.jpg,1700,solid,I,m,920,9,2,20416.60000038147,230059.19999980927,9024,ATS,A,9
10,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),252859.0999994278,CFD-BM-005-010-A.jpg,1600,solid,I,z,754,2,2,22799.89999961853,230059.19999980927,9024,ATS,A,10
11,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),255759.0999994278,CFD-WM-013-015-A.jpg,1900,solid,I,z,983,8,2,25699.89999961853,230059.19999980927,9024,ATS,A,11
12,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),257759.0999994278,CFD-BF-039-039-A.jpg,1200,solid,I,z,782,6,2,27699.89999961853,230059.19999980927,9024,ATS,A,12
13,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),259459.0999994278,CFD-BF-023-013-A.jpg,1000,solid,I,z,678,4,2,29399.89999961853,230059.19999980927,9024,ATS,A,13
14,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),261592.5,CFD-WM-004-005-HC.jpg,1400,solid,I,m,706,7,2,31533.300000190735,230059.19999980927,9024,ATS,A,14
15,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),263909.0,CFD-WF-003-014-A.jpg,1600,solid,I,z,699,10,2,33849.800000190735,230059.19999980927,9024,ATS,A,15
16,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),266975.30000019073,CFD-WM-013-015-A.jpg,1900,solid,I,z,1146,8,2,36916.10000038147,230059.19999980927,9024,ATS,A,16
17,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),269792.19999980927,CFD-BF-028-020-HC.jpg,2000,solid,I,m,798,5,2,39733.0,230059.19999980927,9024,ATS,A,17
18,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),272125.80000019073,CFD-WF-003-014-A.jpg,1600,solid,I,z,700,10,2,42066.60000038147,230059.19999980927,9024,ATS,A,18
19,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),275008.80000019073,CFD-WF-017-016-HC.jpg,1500,solid,I,m,1347,11,2,44949.60000038147,230059.19999980927,9024,ATS,A,19
20,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),277975.69999980927,CFD-BF-028-020-HC.jpg,2000,solid,I,m,940,5,2,47916.5,230059.19999980927,9024,ATS,A,20
21,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),280492.30000019073,CFD-WM-004-005-HC.jpg,1400,solid,I,m,1085,7,2,50433.10000038147,230059.19999980927,9024,ATS,A,21
22,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),282992.19999980927,CFD-WM-006-013-HC.jpg,1700,solid,I,m,764,9,2,52933.0,230059.19999980927,9024,ATS,A,22
23,test,1,A,haborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),285025.80000019073,CFD-BF-039-039-A.jpg,1200,solid,I,z,813,6,2,54966.60000038147,230059.19999980927,9024,ATS,A,23
24,test,1,A,haborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),287208.89999961853,CFD-WF-017-016-HC.jpg,1500,solid,I,m,655,11,2,57149.699999809265,230059.19999980927,9024,ATS,A,24
1,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),313392.5,CFD-WF-003-014-A.jpg,1500,dash,I,z,781,11,2,2299.800000190735,311092.69999980927,9024,ATS,A,1
2,test,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),315992.39999961853,CFD-BM-005-010-A.jpg,2000,dash,I,m,573,5,2,4899.699999809265,311092.69999980927,9024,ATS,A,2
3,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),317609.19999980927,CFD-WF-017-016-HC.jpg,1000,dash,I,z,572,12,2,6516.5,311092.69999980927,9024,ATS,A,3
4,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),319342.5,CFD-BF-023-013-A.jpg,1000,dash,I,z,700,4,2,8249.800000190735,311092.69999980927,9024,ATS,A,4
5,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),321375.5,CFD-BF-010-005-HC.jpg,1500,dash,I,z,498,3,2,10282.800000190735,311092.69999980927,9024,ATS,A,5
6,test,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),323525.69999980927,CFD-BM-010-019-A.jpg,1600,dash,I,m,526,2,2,12433.0,311092.69999980927,9024,ATS,A,6
7,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),326075.69999980927,CFD-WF-002-008-HC.jpg,1900,dash,I,z,603,8,2,14983.0,311092.69999980927,9024,ATS,A,7
8,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),327825.80000019073,CFD-BF-023-013-A.jpg,1000,dash,I,z,713,4,2,16733.10000038147,311092.69999980927,9024,ATS,A,8
9,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),329809.0999994278,CFD-BF-028-020-HC.jpg,1400,dash,I,z,564,7,2,18716.39999961853,311092.69999980927,9024,ATS,A,9
10,test,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),332175.69999980927,CFD-BM-029-026-HC.jpg,1700,dash,I,m,631,1,2,21083.0,311092.69999980927,9024,ATS,A,10
11,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),334508.5,CFD-BF-010-005-HC.jpg,1500,dash,I,z,802,3,2,23415.800000190735,311092.69999980927,9024,ATS,A,11
12,test,1,B,mfborder.png,1,z,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),337075.89999961853,CFD-WF-002-008-HC.jpg,1900,dash,I,z,644,8,2,25983.199999809265,311092.69999980927,9024,ATS,A,12
12,test,1,B,mfborder.png,0,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),339775.39999961853,CFD-WM-006-013-HC.jpg,1600,dash,I,z,1064,10,2,28682.699999809265,311092.69999980927,9024,ATS,A,13
13,test,1,B,mfborder.png,1,m,Thu Sep 11 2025 14:45:21 GMT-0400 (Eastern Daylight Time),342225.89999961853,CFD-BM-029-026-HC.jpg,1700,dash,I,m,730,1,2,31133.199999809265,311092.69999980927,9024,ATS,A,14
