acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),36873.5,I,z,2642,,,6,yes,2,4175.0,32698.5,CSDBFPHXZ,CSDBFPHXZ,9029,LC,A,,,1
2,1,0.0,prac,1,z,30000.0,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),40489.900000572205,I,z,2072,,,2,yes,2,3605.5,36884.400000572205,NBGFSM,NBGFSM,9029,LC,A,,,2
3,1,0.0,prac,1,z,30000.0,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),43406.60000038147,I,z,1384,,,4,yes,2,2906.1000003814697,40500.5,RSM,RSM,9029,LC,A,,,3
4,1,0.0,prac,1,m,30000.0,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),48106.60000038147,I,m,3173,,,5,no,2,4689.699999809265,43416.900000572205,LNDPRSKQB,LNDPRSJQB,9029,LC,A,,,4
5,1,0.0,prac,1,m,30000.0,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),51256.60000038147,I,m,1608,,,1,no,2,3139.800000190735,48116.800000190735,RNV,FNV,9029,LC,A,,,5
6,1,0.0,prac,1,m,30000.0,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),54406.5,I,m,1610,,,3,no,2,3140.5,51266.0,QHZXPC,QHZWPC,9029,LC,A,,,6
1,1,1.4170000553131104,test,1,m,28582.99994468689,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),62990.5,I,m,1408,1408,,1,no,2,1410.2999992370605,61580.20000076294,HCF,RCF,9029,LC,A,59647,,1
2,1,3.865999937057495,test,1,m,26134.000062942505,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),65439.800000190735,I,m,2438,2438,,2,no,2,2441.0999994277954,62998.70000076294,QTPRJX,QTPNJX,9029,LC,A,61065,,2
3,1,6.08299994468689,test,1,m,23917.00005531311,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),67656.20000076294,I,m,2197,2197,,3,no,2,2208.800000190735,65447.400000572205,MZDYGVGKQ,MZDYGLBKQ,9029,LC,A,63514,,3
4,1,7.848999977111816,test,1,m,22151.000022888184,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),69423.0,I,m,1760,1760,,4,no,2,1762.6999998092651,67660.30000019073,FQTNMK,JQTNMK,9029,LC,A,65727,,4
5,1,9.032999992370605,test,1,z,20967.000007629395,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),70606.4000005722,I,z,1175,1175,,5,yes,2,1176.4000005722046,69430.0,CLJ,CLJ,9029,LC,A,67496,,5
5,1,12.233000040054321,test,0,m,17766.99995994568,Tue Feb 10 2026 13:42:50 GMT-0500 (Eastern Standard Time),73806.10000038147,I,z,3190,3190,,6,no,2,3191.8999996185303,70614.20000076294,JGDMNSVPW,JGZMNSVPW,9029,LC,A,68681,,6
