acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),58817.09999990463,I,z,1851,,,3,yes,3,3375.5999999046326,55441.5,practrial3.png,practrial3.png,9029,PC,C,,,1
2,1,0.0,prac,1,z,30000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),62033.5,I,z,1683,,,5,yes,3,3207.5,58826.0,practrial5.png,practrial5.png,9029,PC,C,,,2
3,1,0.0,prac,1,m,30000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),64750.199999809265,I,m,1187,,,2,no,3,2707.9000000953674,62042.2999997139,practrial2.png,practrial2b.png,9029,PC,C,,,3
3,1,0.0,prac,0,m,30000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),67683.5,I,z,1395,,,6,no,3,2921.5,64762.0,practrial6.png,practrial6b.png,9029,PC,C,,,4
4,1,0.0,prac,1,m,30000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),70683.5,I,m,1473,,,4,no,3,2991.4000000953674,67692.09999990463,practrial4.png,practrial4b.png,9029,PC,C,,,5
5,1,0.0,prac,1,z,30000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),73516.7999997139,I,z,1304,,,1,yes,3,2824.0999999046326,70692.69999980927,practrial1.png,practrial1.png,9029,PC,C,,,6
1,1,1.4670000076293945,test,1,z,28532.999992370605,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),87550.7999997139,I,z,1459,1459,,1,yes,3,1460.8999996185303,86089.90000009537,test1trial1.png,test1trial1.png,9029,PC,C,83860,,1
2,1,2.4000000953674316,test,1,m,27599.99990463257,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),88483.59999990463,I,m,920,920,,2,no,3,926.3000001907349,87557.2999997139,test1trial2.png,test1trial2b.png,9029,PC,C,85327,,2
2,1,3.867000102996826,test,0,z,26132.999897003174,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),89950.19999980927,I,m,1442,1442,,3,yes,3,1458.9000000953674,88491.2999997139,test1trial3.png,test1trial3.png,9029,PC,C,86261,,3
3,1,5.0,test,1,m,25000.0,Thu May 28 2026 16:56:28 GMT-0400 (Eastern Daylight Time),91083.59999990463,I,m,1110,1110,,4,no,3,1125.0,89958.59999990463,test1trial4.png,test1trial4b.png,9029,PC,C,87729,,4
