acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
1,prac,1,inc,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),194125.39999997616,kind,900,I,m,,,704,,,2,1,2907.399999976158,191218.0,9031,rock,AF,A,,,,,,,,,,1
2,prac,1,con,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),197042.0,remote,1000,I,m,,,600,,,7,1,2906.600000023842,194135.39999997616,9031,remote,AF,A,,,,,,,,,,2
3,prac,1,inc,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),200175.39999997616,film,900,I,z,,,919,,,14,1,3124.0999999046326,197051.30000007153,9031,hate,AF,A,,,,,,,,,,3
4,prac,1,inc,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),203058.60000002384,rock,900,I,z,,,667,,,10,1,2873.5,200185.10000002384,9031,kind,AF,A,,,,,,,,,,4
5,prac,1,con,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),205992.10000002384,step,800,I,m,,,827,,,1,1,2924.0,203068.10000002384,9031,step,AF,A,,,,,,,,,,5
6,prac,1,con,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),208792.0,elated,800,I,z,,,693,,,9,1,2790.399999976158,206001.60000002384,9031,elated,AF,A,,,,,,,,,,6
7,prac,1,con,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),211675.30000007153,jacket,800,I,m,,,773,,,5,1,2873.4000000953674,208801.89999997616,9031,jacket,AF,A,,,,,,,,,,7
8,prac,1,con,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),214608.70000004768,brutal,800,I,z,,,819,,,13,1,2924.2000000476837,211684.5,9031,brutal,AF,A,,,,,,,,,,8
9,prac,1,con,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),217491.89999997616,love,1000,I,z,,,581,,,11,1,2871.899999976158,214620.0,9031,love,AF,A,,,,,,,,,,9
10,prac,1,inc,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),220675.30000007153,napkin,1100,I,z,,,765,,,12,1,3174.2000000476837,217501.10000002384,9031,friend,AF,A,,,,,,,,,,10
11,prac,1,inc,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),223908.70000004768,hate,1100,I,m,,,830,,,4,1,3224.899999976158,220683.80000007153,9031,film,AF,A,,,,,,,,,,11
12,prac,1,con,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),227008.70000004768,bell,1000,I,m,,,769,,,3,1,3082.8000000715256,223925.89999997616,9031,bell,AF,A,,,,,,,,,,12
13,prac,1,con,1,z,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),229842.0,rage,1000,I,z,,,500,,,15,1,2815.399999976158,227026.60000002384,9031,rage,AF,A,,,,,,,,,,13
14,prac,1,inc,1,m,Thu Oct 02 2025 15:12:43 GMT-0400 (Eastern Daylight Time),233158.70000004768,brutal,1100,I,m,,,911,,,8,1,3306.2000000476837,229852.5,9031,window,AF,A,,,,,,,,,,14
