acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),-224,-192,174360.2000000002,CFD-BM-224-073-N.jpg,Sam,64,I,None,3015,,3015,,,1,1,4033.3000000000466,-416,-256,170326.90000000014,9033,FN,B,,50329,,,1,192,-320,-224
1,prac,1,1,,341.0,8.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,32,179743.1000000001,CFD-WM-227-099-N.jpg,John,64,I,1,2306,,2306,,,2,1,3327.100000000093,224,-32,176416.0,9033,FN,B,,56413,,,2,192,320,0
1,prac,1,0,,-290.0,191.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),-224,256,182042.80000000005,CFD-LF-232-199-N.jpg,Tina,64,I,1,1269,,1269,,,3,1,2292.8000000000466,-416,192,179750.0,9033,FN,B,,59746,,,3,192,-320,224
1,prac,1,0,,340.0,163.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,-192,186209.6000000001,CFD-BM-224-073-N.jpg,Sam,64,I,1,1129,,1129,,,4,1,2143.399999999907,224,-256,184066.2000000002,9033,FN,B,,64062,,,4,192,320,-224
1,prac,1,0,,-284.0,113.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),-224,32,190909.30000000005,CFD-WM-227-099-N.jpg,John,64,I,1,1657,,1657,,,5,1,2681.3000000000466,-416,-32,188228.0,9033,FN,B,,68229,,,5,192,-320,0
1,prac,1,0,,-287.0,110.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,194626.30000000005,CFD-LF-232-199-N.jpg,Tina,64,I,1,670,,670,,,6,1,1698.5,224,192,192927.80000000005,9033,FN,B,,72929,,,6,192,320,224
1,prac,1,1,z,-287.0,110.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,250993.30000000005,CFD-LF-232-199-N.jpg,Tina,64,I,z,2668,,,2668,,3,1,4454.699999999953,224,192,246538.6000000001,9033,FN,B,,,126530,,1,192,320,224
1,prac,1,0,m,-287.0,110.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,255125.90000000014,CFD-BM-224-073-N.jpg,John,64,I,z,2347,,,2347,,2,1,4124.100000000093,224,192,251001.80000000005,9033,FN,B,,,130995,,2,192,320,224
2,prac,1,1,m,-287.0,110.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,259292.90000000014,CFD-WM-227-099-N.jpg,Sam,64,I,m,2374,,,2374,,1,1,4152.0,224,192,255140.90000000014,9033,FN,B,,,135129,,3,192,320,224
0,prac,2,0,,-287.0,110.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),-224,-192,270993.0,CFD-BM-224-073-N.jpg,Sam,64,I,None,3016,,3016,2374,,1,1,4022.0999999998603,-416,-256,266970.90000000014,9033,FN,B,,146963,135129,,1,192,-320,-224
0,prac,2,0,,465.0,160.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,32,275759.40000000014,CFD-WM-227-099-N.jpg,John,64,I,1,1706,,1706,2374,,2,1,2728.0,224,-32,273031.40000000014,9033,FN,B,,153029,135129,,2,192,320,0
0,prac,2,0,,-436.0,187.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),-224,256,280609.5,CFD-LF-232-199-N.jpg,Tina,64,I,1,1804,,1804,2374,,3,1,2827.5999999998603,-416,192,277781.90000000014,9033,FN,B,,157779,135129,,3,192,-320,224
0,prac,2,0,,277.0,191.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,-192,284276.0,CFD-BM-224-073-N.jpg,Sam,64,I,1,626,,626,2374,,4,1,1645.0999999998603,224,-256,282630.90000000014,9033,FN,B,,162629,135129,,4,192,320,-224
0,prac,2,0,,260.0,192.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),-224,32,288242.90000000014,CFD-WM-227-099-N.jpg,John,64,I,1,919,,919,2374,,5,1,1945.6000000000931,-416,-32,286297.30000000005,9033,FN,B,,166296,135129,,5,192,-320,0
1,prac,2,1,,260.0,192.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,291975.80000000005,CFD-LF-232-199-N.jpg,Tina,64,I,1,689,,689,2374,,6,1,1710.6999999999534,224,192,290265.1000000001,9033,FN,B,,170262,135129,,6,192,320,224
0,prac,2,0,m,260.0,192.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,307042.80000000005,CFD-WM-227-099-N.jpg,Sam,64,I,z,1634,,,1634,,1,1,3425.6999999999534,224,192,303617.1000000001,9033,FN,B,,,183612,,1,192,320,224
0,prac,2,0,m,260.0,192.0,Wed Oct 29 2025 15:00:57 GMT-0400 (Eastern Daylight Time),416,256,310742.6000000001,CFD-BM-224-073-N.jpg,John,64,I,z,1912,,,1912,,2,1,3689.600000000093,224,192,307053.0,9033,FN,B,,,187046,,2,192,320,224
