acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),,093_m_f_n_a.png,I,space,2542,1,2,,,9033,NNB,C,0
1,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),134112.1000000015,098_y_f_n_a.png,I,m,990,2,2,1825.2000000029802,132286.8999999985,9033,NNB,C,1
2,prac,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),135962.3999999985,098_y_f_n_a.png,I,z,1071,3,2,1843.7999999970198,134118.6000000015,9033,NNB,C,2
3,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),137995.30000000447,059_o_m_n_a.png,I,m,1185,4,2,2024.3000000044703,135971.0,9033,NNB,C,3
4,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),139795.1000000015,092_m_m_n_a.png,I,m,951,5,2,1793.2000000029802,138001.8999999985,9033,NNB,C,4
5,prac,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),141328.6000000015,092_m_m_n_a.png,I,z,756,6,2,1526.8999999985099,139801.70000000298,9033,NNB,C,5
6,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),143245.8999999985,130_o_f_n_a.png,I,m,1051,7,2,1908.5999999940395,141337.30000000447,9033,NNB,C,6
7,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),145512.0,082_m_m_n_a.png,I,m,1420,8,2,2258.5,143253.5,9033,NNB,C,7
8,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),147178.3999999985,093_m_f_n_a.png,I,m,880,9,2,1661.5,145516.8999999985,9033,NNB,C,8
9,prac,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),148845.3999999985,093_m_f_n_a.png,I,z,893,10,2,1660.6999999955297,147184.70000000298,9033,NNB,C,9
10,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),150529.0,059_o_m_n_a.png,I,m,894,11,2,1673.6000000014901,148855.3999999985,9033,NNB,C,10
11,prac,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),152345.3999999985,028_y_f_n_a.png,I,m,970,12,2,1808.0,150537.3999999985,9033,NNB,C,11
0,test,1,0.0,1-Back,,,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),152345.3999999985,098_y_f_n_a.png,I,space,6771,1,2,1808.0,150537.3999999985,9033,NNB,C,0
1,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),176595.20000000298,006_m_f_n_a.png,I,m,728,2,2,1745.7000000029802,174849.5,9033,NNB,C,1
2,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),178511.8999999985,028_y_f_n_a.png,I,m,898,3,2,1911.0999999940395,176600.80000000447,9033,NNB,C,2
3,test,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),180228.3999999985,028_y_f_n_a.png,I,z,693,4,2,1713.6999999955297,178514.70000000298,9033,NNB,C,3
4,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),181861.8999999985,006_m_f_n_a.png,I,m,608,5,2,1628.8999999985099,180233.0,9033,NNB,C,4
5,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),183728.6000000015,059_o_m_n_a.png,I,m,839,6,2,1859.7999999970198,181868.80000000447,9033,NNB,C,5
6,test,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),185894.70000000298,059_o_m_n_a.png,I,z,1147,7,2,2161.3000000044703,183733.3999999985,9033,NNB,C,6
7,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),187528.3999999985,092_m_m_n_a.png,I,m,614,8,2,1629.5,185898.8999999985,9033,NNB,C,7
8,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),189328.3999999985,130_o_f_n_a.png,I,m,781,9,2,1792.0,187536.3999999985,9033,NNB,C,8
9,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),191461.70000000298,092_m_m_n_a.png,I,m,1109,10,2,2128.60000000149,189333.1000000015,9033,NNB,C,9
10,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),193295.1000000015,057_y_m_n_a.png,I,m,808,11,2,1828.5,191466.6000000015,9033,NNB,C,10
11,test,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),195028.5,057_y_m_n_a.png,I,z,710,12,2,1727.6000000014901,193300.8999999985,9033,NNB,C,11
12,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),196828.5,030_o_f_n_a.png,I,m,776,13,2,1795.6999999955297,195032.80000000447,9033,NNB,C,12
13,test,1,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),198712.1000000015,030_o_f_n_a.png,I,z,864,14,2,1879.1000000014901,196833.0,9033,NNB,C,13
14,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),200511.80000000447,031_y_m_n_a.png,I,m,773,15,2,1792.3000000044703,198719.5,9033,NNB,C,14
15,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),202245.1000000015,093_m_f_n_a.png,I,m,701,16,2,1728.5,200516.6000000015,9033,NNB,C,15
16,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),204011.70000000298,146_o_m_n_a.png,I,m,736,17,2,1761.3000000044703,202250.3999999985,9033,NNB,C,16
17,test,1,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),205895.30000000447,093_m_f_n_a.png,I,m,857,18,2,1876.4000000059605,204018.8999999985,9033,NNB,C,17
0,test,2,0.0,1-Back,,,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),205895.30000000447,092_m_m_n_a.png,I,space,6925,1,2,1876.4000000059605,204018.8999999985,9033,NNB,C,0
1,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),216528.5,006_m_f_n_a.png,I,m,664,2,2,1679.7999999970198,214848.70000000298,9033,NNB,C,1
2,test,2,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),218745.0,006_m_f_n_a.png,I,z,1196,3,2,2208.39999999851,216536.6000000015,9033,NNB,C,2
3,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),220328.5,092_m_m_n_a.png,I,m,564,4,2,1579.1999999955297,218749.30000000447,9033,NNB,C,3
4,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),222178.3999999985,057_y_m_n_a.png,I,m,820,5,2,1844.5999999940395,220333.80000000447,9033,NNB,C,4
5,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),224078.5,098_y_f_n_a.png,I,m,882,6,2,1893.6999999955297,222184.80000000447,9033,NNB,C,5
6,test,2,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),225862.1000000015,098_y_f_n_a.png,I,z,750,7,2,1778.2000000029802,224083.8999999985,9033,NNB,C,6
7,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),227744.80000000447,057_y_m_n_a.png,I,m,854,8,2,1877.1000000014901,225867.70000000298,9033,NNB,C,7
8,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),229444.8999999985,030_o_f_n_a.png,I,m,675,9,2,1695.5,227749.3999999985,9033,NNB,C,8
9,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),231312.20000000298,082_m_m_n_a.png,I,m,840,10,2,1863.5,229448.70000000298,9033,NNB,C,9
10,test,2,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),233012.1000000015,082_m_m_n_a.png,I,z,677,11,2,1694.8999999985099,231317.20000000298,9033,NNB,C,10
11,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),234744.80000000447,030_o_f_n_a.png,I,m,704,12,2,1726.8000000044703,233018.0,9033,NNB,C,11
12,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),236545.30000000447,130_o_f_n_a.png,I,m,780,13,2,1797.9000000059605,234747.3999999985,9033,NNB,C,12
13,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),238228.5,059_o_m_n_a.png,I,m,652,14,2,1678.5,236550.0,9033,NNB,C,13
14,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),239961.30000000447,146_o_m_n_a.png,I,m,703,15,2,1725.6000000014901,238235.70000000298,9033,NNB,C,14
15,test,2,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),241711.8999999985,146_o_m_n_a.png,I,z,723,16,2,1746.5999999940395,239965.30000000447,9033,NNB,C,15
16,test,2,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),243161.8999999985,031_y_m_n_a.png,I,m,421,17,2,1444.6999999955297,241717.20000000298,9033,NNB,C,16
17,test,2,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),245028.3999999985,031_y_m_n_a.png,I,z,843,18,2,1857.0,243171.3999999985,9033,NNB,C,17
0,test,3,1.0,1-Back,,,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),245028.3999999985,028_y_f_n_a.png,I,space,2641,1,2,1857.0,243171.3999999985,9033,NNB,C,0
1,test,3,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),251394.70000000298,146_o_m_n_a.png,I,m,610,1,2,1627.1000000014901,249767.6000000015,9033,NNB,C,1
2,test,3,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),253111.8999999985,146_o_m_n_a.png,I,z,698,1,2,1713.0999999940395,251398.80000000447,9033,NNB,C,2
3,test,3,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),254828.0,093_m_f_n_a.png,I,m,684,1,2,1711.1000000014901,253116.8999999985,9033,NNB,C,3
4,test,3,1.0,1-Back,1.0,z,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),256561.6000000015,093_m_f_n_a.png,I,z,712,1,2,1729.2999999970198,254832.30000000447,9033,NNB,C,4
5,test,3,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),258328.3999999985,030_o_f_n_a.png,I,m,748,1,2,1761.7999999970198,256566.6000000015,9033,NNB,C,5
6,test,3,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),260145.30000000447,057_y_m_n_a.png,I,m,788,1,2,1811.5,258333.80000000447,9033,NNB,C,6
7,test,3,0.0,1-Back,1.0,m,Thu Feb 05 2026 11:09:26 GMT-0500 (Eastern Standard Time),262261.8999999985,030_o_f_n_a.png,I,m,1084,1,2,2112.0,260149.8999999985,9033,NNB,C,7
