Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
6,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),100971.0,1900,I,None,1516,5,,4187.900000035763,96783.09999996424,9033,NTS,B,1
6,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),105170.89999997616,1900,I,None,1515,5,,4188.699999988079,100982.19999998808,9033,NTS,B,2
3,0,prac,1,A,circle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),108670.69999998808,1200,I,None,1514,3,,3486.600000023842,105184.09999996424,9033,NTS,B,3
4,0,prac,1,A,circle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),112370.80000001192,1400,I,None,1514,4,,3692.300000011921,108678.5,9033,NTS,B,4
1,0,prac,1,A,circle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),115154.5,1000,I,m,974,1,,2764.400000035763,112390.09999996424,9033,NTS,B,5
7,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),118921.0,1700,I,z,1253,6,,3745.800000011921,115175.19999998808,9033,NTS,B,6
9,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),122737.30000001192,1500,I,None,1515,8,,3795.2000000476837,118942.09999996424,9033,NTS,B,7
2,0,prac,1,A,circle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),126787.59999996424,2000,I,m,1260,2,,4042.2999999523163,122745.30000001192,9033,NTS,B,8
8,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),130604.19999998808,1600,I,z,1432,7,,3806.300000011921,126797.89999997616,9033,NTS,B,9
3,0,prac,1,A,circle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),134104.19999998808,1200,I,None,1515,3,,3485.0,130619.19999998808,9033,NTS,B,10
9,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),137903.89999997616,1500,I,None,1517,8,,3788.300000011921,134115.59999996424,9033,NTS,B,11
7,0,prac,1,A,circle.png,0,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),141904.19999998808,1700,I,None,1516,6,,3992.399999976158,137911.80000001192,9033,NTS,B,12
7,1,prac,2,A,circle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),196737.80000001192,1700,I,m,1009,6,,3490.2000000476837,193247.59999996424,9033,NTS,B,1
1,2,prac,2,A,circle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),199104.5,1000,I,z,575,1,,2353.199999988079,196751.30000001192,9033,NTS,B,2
6,3,prac,2,A,circle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),202487.89999997616,1900,I,m,686,5,,3373.099999964237,199114.80000001192,9033,NTS,B,3
3,4,prac,2,A,circle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),205104.5,1200,I,z,628,3,,2605.100000023842,202499.39999997616,9033,NTS,B,4
9,5,prac,2,A,circle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),208154.39999997616,1500,I,m,751,8,,3038.599999964237,205115.80000001192,9033,NTS,B,5
8,6,prac,2,A,circle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),211337.30000001192,1600,I,m,786,7,,3170.7000000476837,208166.59999996424,9033,NTS,B,6
2,7,prac,2,A,circle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),214854.09999996424,2000,I,z,721,2,,3510.199999988079,211343.89999997616,9033,NTS,B,7
2,7,prac,2,A,circle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),218754.39999997616,2000,I,m,1110,2,,3891.599999964237,214862.80000001192,9033,NTS,B,8
4,8,prac,2,A,circle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),222321.0,1400,I,z,1373,4,,3555.600000023842,218765.39999997616,9033,NTS,B,9
6,9,prac,2,A,circle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),225637.80000001192,1900,I,m,623,5,,3304.400000035763,222333.39999997616,9033,NTS,B,10
7,10,prac,2,A,circle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),228821.89999997616,1700,I,m,706,6,,3171.5,225650.39999997616,9033,NTS,B,11
3,11,prac,2,A,circle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),231537.80000001192,1200,I,z,727,3,,2706.600000023842,228831.19999998808,9033,NTS,B,12
2,1,prac,1,B,triangle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),301504.6999999881,1700,I,m,1011,2,,3472.199999988079,298032.5,9033,NTS,B,1
3,2,prac,1,B,triangle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),304620.89999997616,1600,I,z,714,3,,3096.300000011921,301524.59999996424,9033,NTS,B,2
4,3,prac,1,B,triangle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),307488.0,1500,I,m,579,4,,2860.100000023842,304627.89999997616,9033,NTS,B,3
9,3,prac,1,B,triangle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),310254.5,1400,I,m,581,8,,2754.100000023842,307500.39999997616,9033,NTS,B,4
7,3,prac,1,B,triangle.png,0,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),314570.89999997616,2000,I,None,1516,6,,4298.5,310272.39999997616,9033,NTS,B,5
8,4,prac,1,B,triangle.png,1,m,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),317654.6999999881,1200,I,m,1089,7,,3076.800000011921,314577.89999997616,9033,NTS,B,6
9,5,prac,1,B,triangle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),320788.0,1400,I,z,942,8,,3123.0,317665.0,9033,NTS,B,7
1,6,prac,1,B,triangle.png,1,z,Wed Oct 29 2025 12:48:04 GMT-0400 (Eastern Daylight Time),324137.59999996424,1900,I,z,652,1,,3339.7999999523163,320797.8000000119,9033,NTS,B,8
