acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,-192,98212.5999994278,CFD-BM-224-073-N.jpg,Sam,64,I,None,3016,,3016,,,1,2,4031.3999996185303,-416,-256,94181.19999980927,9034,FN,B,,83165,,,1,192,-320,-224
1,prac,1,1,,331.0,-4.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,32,102812.0,CFD-WM-227-099-N.jpg,John,64,I,1,1544,,1544,,,2,2,2557.4000005722046,224,-32,100254.5999994278,9034,FN,B,,89232,,,2,192,320,0
2,prac,1,1,,-340.0,211.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,256,105328.69999980927,CFD-LF-232-199-N.jpg,Tina,64,I,1,1491,,1491,,,3,2,2509.800000190735,-416,192,102818.89999961853,9034,FN,B,,91797,,,3,192,-320,224
3,prac,1,1,,292.0,-219.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,-192,107795.39999961853,CFD-BM-224-073-N.jpg,Sam,64,I,1,1445,,1445,,,4,2,2461.199999809265,224,-256,105334.19999980927,9034,FN,B,,94315,,,4,192,320,-224
4,prac,1,1,,-307.0,-6.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,109879.39999961853,CFD-WM-227-099-N.jpg,John,64,I,1,1067,,1067,,,5,2,2078.0999994277954,-416,-32,107801.30000019073,9034,FN,B,,96781,,,5,192,-320,0
5,prac,1,1,,321.0,214.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,112294.80000019073,CFD-LF-232-199-N.jpg,Tina,64,I,1,1398,,1398,,,6,2,2409.9000005722046,224,192,109884.89999961853,9034,FN,B,,98865,,,6,192,320,224
1,prac,1,1,z,321.0,214.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,147262.39999961853,CFD-LF-232-199-N.jpg,Tina,64,I,z,2040,,,2040,,3,2,3830.0,224,192,143432.39999961853,9034,FN,B,,,132415,,1,192,320,224
2,prac,1,1,m,321.0,214.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,151128.5999994278,CFD-WM-227-099-N.jpg,Sam,64,I,m,2079,,,2079,,1,2,3857.0,224,192,147271.5999994278,9034,FN,B,,,136248,,2,192,320,224
2,prac,1,0,m,321.0,214.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,153945.19999980927,CFD-BM-224-073-N.jpg,John,64,I,z,1028,,,1028,,2,2,2807.5,224,192,151137.69999980927,9034,FN,B,,,140115,,3,192,320,224
1,learn,1,1,,309.0,217.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,176795.69999980927,CFD-WM-220-068-N.jpg,Paul,64,I,1,804,804,,,,18,2,1828.1000003814697,224,192,174967.5999994278,9034,FN,B,163948,,,,1,192,320,224
2,learn,1,1,,-314.0,7.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,179211.89999961853,CFD-BM-234-172-N.jpg,Mark,64,I,1,1395,1395,,,,2,2,2410.699999809265,-416,-32,176801.19999980927,9034,FN,B,165781,,,,2,192,-320,0
3,learn,1,1,,-330.0,219.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,256,181445.30000019073,CFD-BM-209-088-N.jpg,George,64,I,1,1210,1210,,,,3,2,2226.7000007629395,-416,192,179218.5999994278,9034,FN,B,168198,,,,3,192,-320,224
4,learn,1,1,,-308.0,5.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,183812.0,CFD-LF-247-051-N.jpg,Cindy,64,I,1,1345,1345,,,,44,2,2360.5,-416,-32,181451.5,9034,FN,B,170431,,,,4,192,-320,0
5,learn,1,1,,346.0,217.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,186228.0999994278,CFD-LM-216-082-N.jpg,Jack,64,I,1,1392,1392,,,,36,2,2410.3999996185303,224,192,183817.69999980927,9034,FN,B,172798,,,,5,192,320,224
6,learn,1,1,,300.0,-217.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,-192,188478.39999961853,CFD-BF-253-202-N.jpg,Lucy,64,I,1,1233,1233,,,,16,2,2248.0,224,-256,186230.39999961853,9034,FN,B,175214,,,,6,192,320,-224
7,learn,1,1,,-334.0,-237.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,-192,190479.0999994278,CFD-BM-211-174-N.jpg,David,64,I,1,983,983,,,,7,2,1996.0999994277954,-416,-256,188483.0,9034,FN,B,177465,,,,7,192,-320,-224
8,learn,1,1,,330.0,219.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,192679.0,CFD-LF-234-139-N.jpg,Helen,64,I,1,1183,1183,,,,48,2,2194.800000190735,224,192,190484.19999980927,9034,FN,B,179465,,,,8,192,320,224
9,learn,1,1,,-331.0,3.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,194911.69999980927,CFD-WF-210-086-N.jpg,Julie,64,I,1,1215,1215,,,,26,2,2227.800000190735,-416,-32,192683.89999961853,9034,FN,B,181665,,,,9,192,-320,0
10,learn,1,1,,284.0,-226.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,-192,197161.89999961853,CFD-LF-244-096-N.jpg,Irene,64,I,1,1222,1222,,,,46,2,2244.5,224,-256,194917.39999961853,9034,FN,B,183898,,,,10,192,320,-224
11,learn,1,1,,-316.0,-1.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,199311.69999980927,CFD-BF-247-179-N.jpg,Emily,64,I,1,1131,1131,,,,14,2,2144.3999996185303,-416,-32,197167.30000019073,9034,FN,B,186147,,,,11,192,-320,0
12,learn,1,1,,309.0,214.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,256,201445.30000019073,CFD-BF-254-201-N.jpg,Sarah,64,I,1,1101,1101,,,,12,2,2128.4000005722046,224,192,199316.89999961853,9034,FN,B,188298,,,,12,192,320,224
13,learn,1,1,,-305.0,-5.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,203628.5999994278,CFD-WM-238-020-N.jpg,Chris,64,I,1,1152,1152,,,,20,2,2176.699999809265,-416,-32,201451.89999961853,9034,FN,B,190431,,,,13,192,-320,0
14,learn,1,1,,331.0,6.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,32,205795.19999980927,CFD-LF-253-003-N.jpg,Jane,64,I,1,1137,1137,,,,41,2,2160.699999809265,224,-32,203634.5,9034,FN,B,192614,,,,14,192,320,0
15,learn,1,1,,286.0,-4.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,32,207711.5999994278,CFD-WF-208-068-N.jpg,Nichole,64,I,1,899,899,,,,29,2,1910.7999992370605,224,-32,205800.80000019073,9034,FN,B,194781,,,,15,192,320,0
16,learn,1,1,,-330.0,-14.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),-224,32,209712.0,CFD-LM-247-095-N.jpg,Richard,64,I,1,974,974,,,,38,2,1994.6000003814697,-416,-32,207717.39999961853,9034,FN,B,196698,,,,16,192,-320,0
17,learn,1,1,,329.0,-229.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,-192,211978.69999980927,CFD-LM-226-175-N.jpg,Peter,64,I,1,1237,1237,,,,34,2,2260.8999996185303,224,-256,209717.80000019073,9034,FN,B,198698,,,,17,192,320,-224
18,learn,1,1,,315.0,-235.0,Fri Feb 06 2026 14:02:23 GMT-0500 (Eastern Standard Time),416,-192,214078.69999980927,CFD-WM-208-068-N.jpg,Carl,64,I,1,1075,1075,,,,22,2,2095.1000003814697,224,-256,211983.5999994278,9034,FN,B,200964,,,,18,192,320,-224
