Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
6,1,prac,1,A,circle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),59622.89999997616,1900,I,m,911,5,1,3589.399999976158,56033.5,9034,NTS,C,1
8,2,prac,1,A,circle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),62605.89999997616,1600,I,m,587,7,1,2969.7000000476837,59636.199999928474,9034,NTS,C,2
9,3,prac,1,A,circle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),65456.0,1500,I,m,551,8,1,2840.0,62616.0,9034,NTS,C,3
4,4,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),68172.59999990463,1400,I,z,522,4,1,2705.399999976158,65467.199999928474,9034,NTS,C,4
3,5,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),70722.59999990463,1200,I,z,551,3,1,2541.6999999284744,68180.89999997616,9034,NTS,C,5
7,6,prac,1,A,circle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),73855.59999990463,1700,I,m,636,6,1,3120.1999999284744,70735.39999997616,9034,NTS,C,6
3,7,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),76422.09999990463,1200,I,z,579,3,1,2558.5999999046326,73863.5,9034,NTS,C,7
2,8,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),79822.59999990463,2000,I,z,604,2,1,3392.0,76430.59999990463,9034,NTS,C,8
2,9,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),83155.5,2000,I,z,532,2,1,3322.9000000953674,79832.59999990463,9034,NTS,C,9
6,9,prac,1,A,circle.png,0,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),86455.79999995232,1900,I,z,612,5,1,3291.5,83164.29999995232,9034,NTS,C,10
1,10,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),88839.29999995232,1000,I,z,596,1,1,2371.7999999523163,86467.5,9034,NTS,C,11
1,11,prac,1,A,circle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),91306.0,1000,I,z,676,1,1,2457.3000000715256,88848.69999992847,9034,NTS,C,12
7,1,prac,1,B,triangle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),134272.69999992847,2000,I,z,953,6,1,3740.600000023842,130532.09999990463,9034,NTS,C,1
8,2,prac,1,B,triangle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),136872.5,1200,I,m,611,7,1,2588.0,134284.5,9034,NTS,C,2
8,3,prac,1,B,triangle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),139589.09999990463,1200,I,m,731,7,1,2705.399999976158,136883.69999992847,9034,NTS,C,3
3,4,prac,1,B,triangle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),142622.5,1600,I,z,639,3,1,3021.600000023842,139600.89999997616,9034,NTS,C,4
9,5,prac,1,B,triangle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),145505.79999995232,1400,I,z,668,8,1,2863.0,142642.79999995232,9034,NTS,C,5
1,6,prac,1,B,triangle.png,1,z,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),148772.29999995232,1900,I,z,581,1,1,3254.7999999523163,145517.5,9034,NTS,C,6
6,7,prac,1,B,triangle.png,1,m,Wed Oct 22 2025 15:49:28 GMT-0400 (Eastern Daylight Time),151189.09999990463,1000,I,m,631,5,1,2406.5999999046326,148782.5,9034,NTS,C,7
