acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),,005_o_f_d_a.png,I,space,8985,1,2,,,9034,VNB,B,0
1,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),187836.60000038147,020_y_f_n_a.png,I,m,1890,2,2,2798.199999809265,185038.4000005722,9034,VNB,B,1
2,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),189919.80000019073,007_m_m_h_a.png,I,m,1146,3,2,2075.699999809265,187844.10000038147,9034,VNB,B,2
3,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),191703.20000076294,016_y_m_d_a.png,I,m,819,4,2,1768.0,189935.20000076294,9034,VNB,B,3
4,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),193586.60000038147,005_o_f_n_a.png,I,m,951,5,2,1873.6000003814697,191713.0,9034,VNB,B,4
5,prac,1,1.0,1-Back,1.0,z,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),195553.20000076294,016_y_m_n_a.png,I,z,1011,6,2,1951.7000007629395,193601.5,9034,VNB,B,5
6,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),197286.4000005722,004_o_m_h_a.png,I,m,812,7,2,1721.6000003814697,195564.80000019073,9034,VNB,B,6
7,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),199219.9000005722,011_m_f_d_a.png,I,m,985,8,2,1915.6000003814697,197304.30000019073,9034,VNB,B,7
7,prac,1,1.0,1-Back,0.0,z,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),200919.80000019073,020_y_f_d_a.png,I,m,776,9,2,1690.8000001907349,199229.0,9034,VNB,B,8
8,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),203436.4000005722,007_m_m_n_a.png,I,m,1566,10,2,2500.5,200935.9000005722,9034,VNB,B,9
9,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),205603.0,005_o_f_h_a.png,I,m,1235,11,2,2158.2999992370605,203444.70000076294,9034,VNB,B,10
10,prac,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),207453.30000019073,016_y_m_d_a.png,I,m,897,12,2,1835.3999996185303,205617.9000005722,9034,VNB,B,11
0,test,1,0.0,1-Back,,,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),207453.30000019073,020_y_f_d_a.png,I,space,16830,1,2,1835.3999996185303,205617.9000005722,9034,VNB,B,0
1,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),234653.10000038147,011_m_f_n_a.png,I,m,833,2,2,1866.8999996185303,232786.20000076294,9034,VNB,B,1
2,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),236486.30000019073,004_o_m_h_a.png,I,m,806,3,2,1825.6999998092651,234660.60000038147,9034,VNB,B,2
3,test,1,1.0,1-Back,1.0,z,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),238203.0,007_m_m_h_a.png,I,z,684,4,2,1704.6999998092651,236498.30000019073,9034,VNB,B,3
4,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),239969.60000038147,005_o_f_n_a.png,I,m,745,5,2,1760.3999996185303,238209.20000076294,9034,VNB,B,4
5,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),241786.30000019073,016_y_m_d_a.png,I,m,786,6,2,1803.1999998092651,239983.10000038147,9034,VNB,B,5
6,test,1,1.0,1-Back,1.0,z,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),243852.9000005722,011_m_f_d_a.png,I,z,1033,7,2,2060.199999809265,241792.70000076294,9034,VNB,B,6
7,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),245719.60000038147,020_y_f_h_a.png,I,m,839,8,2,1852.5,243867.10000038147,9034,VNB,B,7
8,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),247936.20000076294,004_o_m_n_a.png,I,m,1196,9,2,2208.300000190735,245727.9000005722,9034,VNB,B,8
9,test,1,0.0,1-Back,1.0,m,Fri Feb 06 2026 13:29:20 GMT-0500 (Eastern Standard Time),249736.30000019073,016_y_m_h_a.png,I,m,770,10,2,1786.3000001907349,247950.0,9034,VNB,B,9
