acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),106884.5,CFD-BM-043-014-A.jpg,1600,solid,I,z,986,2,1,3400.2000000476837,103484.29999995232,9035,ATS,C,1
2,prac,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),109401.10000014305,CFD-WF-023-013-A.jpg,1000,solid,I,z,711,12,1,5916.800000190735,103484.29999995232,9035,ATS,C,2
3,prac,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),112334.20000004768,CFD-BM-022-004-HC.jpg,1500,solid,I,m,622,3,1,8849.900000095367,103484.29999995232,9035,ATS,C,3
4,prac,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),115751.10000014305,CFD-WM-036-018-A.jpg,1900,solid,I,z,714,8,1,12266.800000190735,103484.29999995232,9035,ATS,C,4
5,prac,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),118984.20000004768,CFD-WM-035-036-HC.jpg,1700,solid,I,m,728,9,1,15499.900000095367,103484.29999995232,9035,ATS,C,5
6,prac,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),121600.90000009537,CFD-BF-002-018-A.jpg,1200,solid,I,z,603,6,1,18116.60000014305,103484.29999995232,9035,ATS,C,6
7,prac,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),124501.20000004768,CFD-WM-028-005-HC.jpg,1400,solid,I,m,699,7,1,21016.900000095367,103484.29999995232,9035,ATS,C,7
8,prac,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),127600.90000009537,CFD-WF-037-016-A.jpg,1600,solid,I,z,686,10,1,24116.60000014305,103484.29999995232,9035,ATS,C,8
9,prac,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),130217.5,CFD-BF-031-020-A.jpg,1000,solid,I,z,810,4,1,26733.200000047684,103484.29999995232,9035,ATS,C,9
10,prac,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),133367.5,CFD-BM-034-035-HC.jpg,1700,solid,I,m,629,1,1,29883.200000047684,103484.29999995232,9035,ATS,C,10
11,prac,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),136933.90000009537,CFD-BF-019-004-HC.jpg,2000,solid,I,m,763,5,1,33449.60000014305,103484.29999995232,9035,ATS,C,11
12,prac,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),139934.10000014305,CFD-WF-013-009-HC.jpg,1500,solid,I,m,690,11,1,36449.800000190735,103484.29999995232,9035,ATS,C,12
1,prac,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),169867.40000009537,CFD-BM-021-026-A.jpg,1600,2,I,m,608,dash,1,3016.4000000953674,166851.0,9035,ATS,C,1
2,prac,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),172184.29999995232,CFD-WF-013-009-HC.jpg,1000,12,I,z,511,dash,1,5333.299999952316,166851.0,9035,ATS,C,2
3,prac,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),175300.90000009537,CFD-WM-036-018-A.jpg,1700,9,I,m,615,dash,1,8449.900000095367,166851.0,9035,ATS,C,3
4,prac,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),178200.70000004768,CFD-WF-037-016-A.jpg,1500,11,I,z,594,dash,1,11349.700000047684,166851.0,9035,ATS,C,4
5,prac,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),181567.40000009537,CFD-BM-043-014-A.jpg,2000,5,I,m,554,dash,1,14716.400000095367,166851.0,9035,ATS,C,5
6,prac,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),184767.5,CFD-BM-022-004-HC.jpg,1700,1,I,m,686,dash,1,17916.5,166851.0,9035,ATS,C,6
7,prac,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),187734.20000004768,CFD-WM-035-036-HC.jpg,1600,10,I,m,563,dash,1,20883.200000047684,166851.0,9035,ATS,C,7
8,prac,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),190917.60000014305,CFD-WF-001-010-HC.jpg,1900,8,I,z,482,dash,1,24066.60000014305,166851.0,9035,ATS,C,8
9,prac,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),193734.29999995232,CFD-BF-019-004-HC.jpg,1400,7,I,z,613,dash,1,26883.299999952316,166851.0,9035,ATS,C,9
10,prac,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),196467.10000014305,CFD-WM-034-040-A.jpg,1200,6,I,m,717,dash,1,29616.10000014305,166851.0,9035,ATS,C,10
11,prac,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),199400.79999995232,CFD-BF-042-031-HC.jpg,1500,3,I,z,627,dash,1,32549.799999952316,166851.0,9035,ATS,C,11
12,prac,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),201900.79999995232,CFD-BF-031-020-A.jpg,1000,4,I,z,692,dash,1,35049.799999952316,166851.0,9035,ATS,C,12
1,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),225913.79999995232,CFD-BF-019-004-HC.jpg,2000,solid,I,m,942,5,1,2979.199999809265,222934.60000014305,9035,ATS,C,1
2,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),228584.0,CFD-WM-035-036-HC.jpg,1700,solid,I,m,946,9,1,5649.399999856949,222934.60000014305,9035,ATS,C,2
3,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),230983.5,CFD-BM-034-035-HC.jpg,1700,solid,I,m,678,1,1,8048.899999856949,222934.60000014305,9035,ATS,C,3
4,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),233084.0,CFD-BM-043-014-A.jpg,1600,solid,I,z,477,2,1,10149.399999856949,222934.60000014305,9035,ATS,C,4
5,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),235300.70000004768,CFD-WF-037-016-A.jpg,1600,solid,I,z,567,10,1,12366.099999904633,222934.60000014305,9035,ATS,C,5
6,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),237133.90000009537,CFD-BF-002-018-A.jpg,1200,solid,I,z,607,6,1,14199.299999952316,222934.60000014305,9035,ATS,C,6
7,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),238750.60000014305,CFD-BF-031-020-A.jpg,1000,solid,I,z,590,4,1,15816.0,222934.60000014305,9035,ATS,C,7
8,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),240834.0,CFD-WF-013-009-HC.jpg,1500,solid,I,m,536,11,1,17899.39999985695,222934.60000014305,9035,ATS,C,8
9,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),243217.20000004768,CFD-BM-043-014-A.jpg,1600,solid,I,z,754,2,1,20282.599999904633,222934.60000014305,9035,ATS,C,9
10,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),245433.90000009537,CFD-BM-022-004-HC.jpg,1500,solid,I,m,678,3,1,22499.299999952316,222934.60000014305,9035,ATS,C,10
11,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),248234.0,CFD-WM-036-018-A.jpg,1900,solid,I,z,877,8,1,25299.39999985695,222934.60000014305,9035,ATS,C,11
12,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),250350.60000014305,CFD-WF-037-016-A.jpg,1600,solid,I,z,490,10,1,27416.0,222934.60000014305,9035,ATS,C,12
13,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),251983.90000009537,CFD-WF-023-013-A.jpg,1000,solid,I,z,588,12,1,29049.299999952316,222934.60000014305,9035,ATS,C,13
14,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),254517.29999995232,CFD-WM-036-018-A.jpg,1900,solid,I,z,600,8,1,31582.699999809265,222934.60000014305,9035,ATS,C,14
15,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),256133.79999995232,CFD-BF-031-020-A.jpg,1000,solid,I,z,582,4,1,33199.199999809265,222934.60000014305,9035,ATS,C,15
16,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),258250.5,CFD-WM-028-005-HC.jpg,1400,solid,I,m,694,7,1,35315.89999985695,222934.60000014305,9035,ATS,C,16
17,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),260133.90000009537,CFD-BF-002-018-A.jpg,1200,solid,I,z,648,6,1,37199.299999952316,222934.60000014305,9035,ATS,C,17
18,test,1,A,haborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),261834.0,CFD-WF-023-013-A.jpg,1000,solid,I,z,678,12,1,38899.39999985695,222934.60000014305,9035,ATS,C,18
19,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),263950.2000000477,CFD-WM-028-005-HC.jpg,1400,solid,I,m,672,7,1,41015.59999990463,222934.60000014305,9035,ATS,C,19
20,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),266317.40000009537,CFD-WM-035-036-HC.jpg,1700,solid,I,m,641,9,1,43382.799999952316,222934.60000014305,9035,ATS,C,20
21,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),268717.10000014305,CFD-BM-034-035-HC.jpg,1700,solid,I,m,674,1,1,45782.5,222934.60000014305,9035,ATS,C,21
22,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),271450.40000009537,CFD-BF-019-004-HC.jpg,2000,solid,I,m,694,5,1,48515.799999952316,222934.60000014305,9035,ATS,C,22
23,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),273450.5,CFD-WF-013-009-HC.jpg,1500,solid,I,m,478,11,1,50515.89999985695,222934.60000014305,9035,ATS,C,23
24,test,1,A,haborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),275533.5,CFD-BM-022-004-HC.jpg,1500,solid,I,m,556,3,1,52598.89999985695,222934.60000014305,9035,ATS,C,24
1,test,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),295334.0,CFD-WF-013-009-HC.jpg,1000,dash,I,z,649,12,1,1683.7000000476837,293650.2999999523,9035,ATS,C,1
2,test,1,B,mfborder.png,1,z,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),297600.5,CFD-WF-037-016-A.jpg,1500,dash,I,z,721,11,1,3950.2000000476837,293650.2999999523,9035,ATS,C,2
3,test,1,B,mfborder.png,1,m,Thu Dec 04 2025 15:42:36 GMT-0500 (Eastern Standard Time),299300.2999999523,CFD-WM-034-040-A.jpg,1200,dash,I,m,466,6,1,5650.0,293650.2999999523,9035,ATS,C,3
