acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
1,prac,1,con,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),97269.0,banana,800,I,z,,,705,,,1,3,2807.7000000476837,94461.29999995232,9054,banana,NF,C,,,,,,,,,,1
2,prac,1,inc,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),100402.09999990463,plum,1100,I,m,,,717,,,16,3,3122.2000000476837,97279.89999985695,9054,lead,NF,C,,,,,,,,,,2
3,prac,1,inc,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),103252.09999990463,copper,900,I,z,,,648,,,2,3,2839.7000000476837,100412.39999985695,9054,cherry,NF,C,,,,,,,,,,3
4,prac,1,inc,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),106418.79999995232,cobalt,1100,I,z,,,750,,,4,3,3155.7000000476837,103263.09999990463,9054,raisin,NF,C,,,,,,,,,,4
5,prac,1,con,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),109118.79999995232,bronze,800,I,m,,,587,,,9,3,2690.4000000953674,106428.39999985695,9054,bronze,NF,C,,,,,,,,,,5
6,prac,1,con,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),111952.09999990463,lime,800,I,z,,,719,,,5,3,2824.2999999523163,109127.79999995232,9054,lime,NF,C,,,,,,,,,,6
7,prac,1,inc,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),115102.20000004768,lead,1100,I,z,,,746,,,8,3,3139.7000000476837,111962.5,9054,plum,NF,C,,,,,,,,,,7
8,prac,1,inc,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),117918.79999995232,cherry,900,I,m,,,604,,,10,3,2806.2000000476837,115112.59999990463,9054,copper,NF,C,,,,,,,,,,8
9,prac,1,con,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),120952.09999990463,orange,1000,I,z,,,727,,,3,3,3023.0,117929.09999990463,9054,orange,NF,C,,,,,,,,,,9
10,prac,1,con,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),123868.5,zinc,1000,I,m,,,606,,,15,3,2906.7999999523163,120961.70000004768,9054,zinc,NF,C,,,,,,,,,,10
11,prac,1,inc,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),127202.0,raisin,1100,I,m,,,925,,,12,3,3322.2999999523163,123879.70000004768,9054,cobalt,NF,C,,,,,,,,,,11
12,prac,1,con,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),130235.39999985695,kiwi,1000,I,z,,,716,,,7,3,3022.5,127212.89999985695,9054,kiwi,NF,C,,,,,,,,,,12
13,prac,1,inc,1,z,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),133235.39999985695,iron,900,I,z,,,782,,,6,3,2986.699999809265,130248.70000004768,9054,pear,NF,C,,,,,,,,,,13
14,prac,1,con,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),136268.59999990463,silver,1000,I,m,,,724,,,11,3,3023.7000000476837,133244.89999985695,9054,silver,NF,C,,,,,,,,,,14
15,prac,1,con,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),139068.59999990463,gold,800,I,m,,,690,,,13,3,2790.899999856949,136277.70000004768,9054,gold,NF,C,,,,,,,,,,15
16,prac,1,inc,1,m,Thu Aug 20 2026 11:26:00 GMT-0400 (Eastern Daylight Time),142235.29999995232,pear,900,I,m,,,957,,,14,3,3156.5999999046326,139078.70000004768,9054,iron,NF,C,,,,,,,,,,16
