Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),91230.79999999981,I,z,1371,1,1,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10193.299999999814,81037.5,9100,yes,SM,B,16.bmp,-120,-120,83912,77886,85929,79896,,,,,1
3,0,0,1,0,2,prac,1,1,m,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),101763.90000000037,I,m,1716,2,1,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10524.200000000186,91239.70000000019,9100,no,SM,B,23.bmp,-120,120,94112,88088,96129,90096,,,,,2
4,0,0,0,1,3,prac,1,1,m,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),111947.10000000056,I,m,1350,3,1,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,10175.200000000186,101771.90000000037,9100,no,SM,B,24.bmp,120,120,104645,98620,106662,100629,,,,,3
2,0,1,0,0,3,prac,1,0,z,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),121913.79999999981,I,m,1142,4,1,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,9958.799999999814,111955.0,9100,yes,SM,B,29.bmp,120,-120,114829,108803,116846,110812,,,,,4
3,0,0,1,0,3,prac,1,0,z,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),132263.7999999998,I,m,1528,5,1,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,10341.0,121922.79999999981,9100,yes,SM,B,34.bmp,-120,120,124795,118771,126812,120779,,,,,5
1,1,0,0,0,3,prac,1,0,m,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),143097.10000000056,I,None,2016,6,1,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,10825.200000000186,132271.90000000037,9100,no,SM,B,39.bmp,-120,-120,135145,129120,137162,131129,,,,,6
2,0,1,0,0,4,prac,1,1,m,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),153147.2999999998,I,m,1216,7,1,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,10039.299999999814,143108.0,9100,no,SM,B,40.bmp,120,-120,145978,139956,147996,141962,,,,,7
4,0,0,0,1,5,prac,1,1,z,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),163363.90000000037,I,z,1399,8,1,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,10209.799999999814,153154.10000000056,9100,yes,SM,B,47.bmp,120,120,156028,150002,158046,152012,,,,,8
4,0,0,0,1,1,test,1,1,m,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),177897.2999999998,I,m,1111,1,1,48.bmp,-120,-120,49.bmp,120,-120,50.bmp,-120,120,43.bmp,120,120,9160.399999999441,168736.90000000037,9100,yes,SM,B,50.bmp,120,120,156028,150002,158046,152012,171612.0,165585.0,173629.0,167596.0,1
2,0,1,0,0,2,test,1,1,m,Thu Sep 10 2026 16:43:17 GMT-0400 (Eastern Daylight Time),187580.40000000037,I,m,1616,2,1,1.bmp,-120,-120,2.bmp,120,-120,3.bmp,-120,120,4.bmp,120,120,9675.400000000373,177905.0,9100,yes,SM,B,3.bmp,120,-120,156028,150002,158046,152012,180779.0,174753.0,182796.0,176762.0,2
