acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),192547.0,CFD-BF-019-004-HC.jpg,2000,solid,I,None,1517,5,,4296.200000047684,188250.79999995232,9999,ATS,C,1
1,prac,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),195312.29999995232,CFD-BF-002-018-A.jpg,1200,solid,I,z,777,6,,7061.5,188250.79999995232,9999,ATS,C,2
2,prac,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),198513.39999997616,CFD-BM-043-014-A.jpg,1600,solid,I,z,812,2,,10262.600000023842,188250.79999995232,9999,ATS,C,3
3,prac,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),201562.89999997616,CFD-WF-037-016-A.jpg,1600,solid,I,z,670,10,,13312.100000023842,188250.79999995232,9999,ATS,C,4
4,prac,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),204860.19999992847,CFD-WM-035-036-HC.jpg,1700,solid,I,m,809,9,,16609.399999976158,188250.79999995232,9999,ATS,C,5
5,prac,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),207258.79999995232,CFD-WF-023-013-A.jpg,1000,solid,I,z,610,12,,19008.0,188250.79999995232,9999,ATS,C,6
6,prac,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),210458.5,CFD-BM-034-035-HC.jpg,1700,solid,I,m,709,1,,22207.700000047684,188250.79999995232,9999,ATS,C,7
7,prac,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),213489.29999995232,CFD-WF-013-009-HC.jpg,1500,solid,I,m,746,11,,25238.5,188250.79999995232,9999,ATS,C,8
8,prac,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),216340.19999992847,CFD-WM-028-005-HC.jpg,1400,solid,I,m,652,7,,28089.399999976158,188250.79999995232,9999,ATS,C,9
9,prac,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),218705.69999992847,CFD-BF-031-020-A.jpg,1000,solid,I,z,594,4,,30454.899999976158,188250.79999995232,9999,ATS,C,10
10,prac,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),221856.69999992847,CFD-BM-022-004-HC.jpg,1500,solid,I,m,856,3,,33605.89999997616,188250.79999995232,9999,ATS,C,11
11,prac,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),225354.0,CFD-WM-036-018-A.jpg,1900,solid,I,z,810,8,,37103.200000047684,188250.79999995232,9999,ATS,C,12
0,prac,1,B,mfborder.png,0,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),253663.69999992847,CFD-WF-037-016-A.jpg,1500,11,I,None,1514,dash,,3783.1999999284744,249880.5,9999,ATS,C,1
0,prac,1,B,mfborder.png,0,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),257044.59999990463,CFD-BF-019-004-HC.jpg,1400,7,I,m,1185,dash,,7164.099999904633,249880.5,9999,ATS,C,2
1,prac,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),260275.29999995232,CFD-BM-022-004-HC.jpg,1700,1,I,m,731,dash,,10394.799999952316,249880.5,9999,ATS,C,3
2,prac,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),263558.6999999285,CFD-WM-035-036-HC.jpg,1600,10,I,m,898,dash,,13678.199999928474,249880.5,9999,ATS,C,4
3,prac,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),266625.89999997616,CFD-BF-042-031-HC.jpg,1500,3,I,z,771,dash,,16745.399999976158,249880.5,9999,ATS,C,5
4,prac,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),269255.59999990463,CFD-WM-034-040-A.jpg,1200,6,I,m,645,dash,,19375.099999904633,249880.5,9999,ATS,C,6
5,prac,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),272320.89999997616,CFD-BM-021-026-A.jpg,1600,2,I,m,670,dash,,22440.399999976158,249880.5,9999,ATS,C,7
6,prac,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),275587.6999999285,CFD-WF-001-010-HC.jpg,1900,8,I,z,567,dash,,25707.199999928474,249880.5,9999,ATS,C,8
7,prac,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),279019.39999997616,CFD-BM-043-014-A.jpg,2000,5,I,m,642,dash,,29138.899999976158,249880.5,9999,ATS,C,9
8,prac,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),281284.7999999523,CFD-WF-013-009-HC.jpg,1000,12,I,z,467,dash,,31404.299999952316,249880.5,9999,ATS,C,10
9,prac,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),284369.09999990463,CFD-WM-036-018-A.jpg,1700,9,I,m,614,dash,,34488.59999990463,249880.5,9999,ATS,C,11
10,prac,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),286601.6999999285,CFD-BF-031-020-A.jpg,1000,4,I,z,463,dash,,36721.199999928474,249880.5,9999,ATS,C,12
1,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),306678.0,CFD-BF-002-018-A.jpg,1200,solid,I,z,1134,6,,2363.2000000476837,304314.7999999523,9999,ATS,C,1
2,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),308943.89999997616,CFD-BF-002-018-A.jpg,1200,solid,I,z,1040,6,,4629.100000023842,304314.7999999523,9999,ATS,C,2
3,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),311009.0,CFD-WM-028-005-HC.jpg,1400,solid,I,m,637,7,,6694.200000047684,304314.7999999523,9999,ATS,C,3
4,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),314425.0,CFD-BF-019-004-HC.jpg,2000,solid,I,m,1385,5,,10110.200000047684,304314.7999999523,9999,ATS,C,4
5,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),316308.1999999285,CFD-BF-031-020-A.jpg,1000,solid,I,z,852,4,,11993.399999976158,304314.7999999523,9999,ATS,C,5
6,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),318373.89999997616,CFD-WM-028-005-HC.jpg,1400,solid,I,m,650,7,,14059.100000023842,304314.7999999523,9999,ATS,C,6
7,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),320073.5,CFD-WF-023-013-A.jpg,1000,solid,I,z,674,12,,15758.700000047684,304314.7999999523,9999,ATS,C,7
8,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),322856.39999997616,CFD-WM-036-018-A.jpg,1900,solid,I,z,851,8,,18541.600000023842,304314.7999999523,9999,ATS,C,8
9,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),325237.39999997616,CFD-WM-035-036-HC.jpg,1700,solid,I,m,659,9,,20922.600000023842,304314.7999999523,9999,ATS,C,9
9,test,1,A,haborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),328471.89999997616,CFD-WM-035-036-HC.jpg,1700,solid,I,None,1517,9,,24157.100000023842,304314.7999999523,9999,ATS,C,10
9,test,1,A,haborder.png,0,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),331270.5,CFD-WM-036-018-A.jpg,1900,solid,I,m,875,8,,26955.700000047684,304314.7999999523,9999,ATS,C,11
9,test,1,A,haborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),333768.89999997616,CFD-WF-013-009-HC.jpg,1500,solid,I,z,966,11,,29454.100000023842,304314.7999999523,9999,ATS,C,12
9,test,1,A,haborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),337002.59999990463,CFD-BM-034-035-HC.jpg,1700,solid,I,None,1516,1,,32687.799999952316,304314.7999999523,9999,ATS,C,13
9,test,1,A,haborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),340034.09999990463,CFD-BM-022-004-HC.jpg,1500,solid,I,None,1514,3,,35719.299999952316,304314.7999999523,9999,ATS,C,14
10,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),342801.1999999285,CFD-BF-019-004-HC.jpg,2000,solid,I,m,734,5,,38486.39999997616,304314.7999999523,9999,ATS,C,15
11,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),345148.59999990463,CFD-BM-034-035-HC.jpg,1700,solid,I,m,627,1,,40833.799999952316,304314.7999999523,9999,ATS,C,16
12,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),347381.1999999285,CFD-BM-043-014-A.jpg,1600,solid,I,z,600,2,,43066.39999997616,304314.7999999523,9999,ATS,C,17
13,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),349633.0,CFD-WF-013-009-HC.jpg,1500,solid,I,m,717,11,,45318.200000047684,304314.7999999523,9999,ATS,C,18
14,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),351362.89999997616,CFD-BF-031-020-A.jpg,1000,solid,I,z,710,4,,47048.10000002384,304314.7999999523,9999,ATS,C,19
15,test,1,A,haborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),353546.0,CFD-BM-022-004-HC.jpg,1500,solid,I,m,654,3,,49231.200000047684,304314.7999999523,9999,ATS,C,20
16,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),355194.2999999523,CFD-WF-023-013-A.jpg,1000,solid,I,z,627,12,,50879.5,304314.7999999523,9999,ATS,C,21
17,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),357444.7999999523,CFD-WF-037-016-A.jpg,1600,solid,I,z,627,10,,53130.0,304314.7999999523,9999,ATS,C,22
18,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),359562.89999997616,CFD-WF-037-016-A.jpg,1600,solid,I,z,484,10,,55248.10000002384,304314.7999999523,9999,ATS,C,23
19,test,1,A,haborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),361876.0,CFD-BM-043-014-A.jpg,1600,solid,I,z,693,2,,57561.200000047684,304314.7999999523,9999,ATS,C,24
1,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),379187.1999999285,CFD-WF-013-009-HC.jpg,1000,dash,I,z,945,12,,1965.8999999761581,377221.2999999523,9999,ATS,C,1
2,test,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),381570.1999999285,CFD-BM-021-026-A.jpg,1600,dash,I,m,755,2,,4348.899999976158,377221.2999999523,9999,ATS,C,2
3,test,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),384518.7999999523,CFD-BM-043-014-A.jpg,2000,dash,I,m,918,5,,7297.5,377221.2999999523,9999,ATS,C,3
4,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),386552.39999997616,CFD-BF-042-031-HC.jpg,1500,dash,I,z,501,3,,9331.100000023842,377221.2999999523,9999,ATS,C,4
4,test,1,B,mfborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),389784.39999997616,CFD-WM-036-018-A.jpg,1700,dash,I,None,1515,9,,12563.100000023842,377221.2999999523,9999,ATS,C,5
4,test,1,B,mfborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),392917.39999997616,CFD-WM-035-036-HC.jpg,1600,dash,I,None,1515,10,,15696.100000023842,377221.2999999523,9999,ATS,C,6
4,test,1,B,mfborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),395232.0,CFD-BM-021-026-A.jpg,1600,dash,I,z,690,2,,18010.700000047684,377221.2999999523,9999,ATS,C,7
5,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),396765.09999990463,CFD-WF-013-009-HC.jpg,1000,dash,I,z,509,12,,19543.799999952316,377221.2999999523,9999,ATS,C,8
6,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),398981.59999990463,CFD-WF-037-016-A.jpg,1500,dash,I,z,693,11,,21760.299999952316,377221.2999999523,9999,ATS,C,9
7,test,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),401097.09999990463,CFD-BM-022-004-HC.jpg,1700,dash,I,m,397,1,,23875.799999952316,377221.2999999523,9999,ATS,C,10
8,test,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),402916.1999999285,CFD-WM-034-040-A.jpg,1200,dash,I,m,598,6,,25694.899999976158,377221.2999999523,9999,ATS,C,11
8,test,1,B,mfborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),405361.7999999523,CFD-WM-036-018-A.jpg,1700,dash,I,z,729,9,,28140.5,377221.2999999523,9999,ATS,C,12
8,test,1,B,mfborder.png,0,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),407195.39999997616,CFD-BF-031-020-A.jpg,1000,dash,I,m,811,4,,29974.100000023842,377221.2999999523,9999,ATS,C,13
8,test,1,B,mfborder.png,0,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),409993.6999999285,CFD-BM-022-004-HC.jpg,1700,dash,I,z,1079,1,,32772.39999997616,377221.2999999523,9999,ATS,C,14
9,test,1,B,mfborder.png,1,m,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),411861.2999999523,CFD-WM-034-040-A.jpg,1200,dash,I,m,634,6,,34640.0,377221.2999999523,9999,ATS,C,15
9,test,1,B,mfborder.png,0,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),414142.5,CFD-WF-001-010-HC.jpg,1900,dash,I,m,357,8,,36921.200000047684,377221.2999999523,9999,ATS,C,16
10,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),416624.6999999285,CFD-WF-001-010-HC.jpg,1900,dash,I,z,555,8,,39403.39999997616,377221.2999999523,9999,ATS,C,17
11,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),418124.6999999285,CFD-BF-031-020-A.jpg,1000,dash,I,z,468,4,,40903.39999997616,377221.2999999523,9999,ATS,C,18
12,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),420041.7999999523,CFD-BF-019-004-HC.jpg,1400,dash,I,z,482,7,,42820.5,377221.2999999523,9999,ATS,C,19
13,test,1,B,mfborder.png,1,z,Tue Jun 09 2026 09:56:38 GMT-0500 (Central Daylight Time),422208.89999997616,CFD-BF-042-031-HC.jpg,1500,dash,I,z,640,3,,44987.60000002384,377221.2999999523,9999,ATS,C,20
