acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,-192,44566.10000000149,CFD-BM-250-170-N.jpg,Sam,64,I,None,3015,,3015,,,1,1,4018.300000000745,-416,-256,40547.800000000745,9999,FN,C,,35988,,,1,192,-320,-224
1,prac,1,1,,320.0,10.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,32,49047.699999999255,CFD-WM-255-219-N.jpg,John,64,I,1,1427,,1427,,,2,1,2441.199999999255,224,-32,46606.5,9999,FN,C,,42052,,,2,192,320,0
2,prac,1,1,,-293.0,209.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,256,51113.699999999255,CFD-LF-208-127-N.jpg,Tina,64,I,1,1041,,1041,,,3,1,2063.89999999851,-416,192,49049.800000000745,9999,FN,C,,44501,,,3,192,-320,224
3,prac,1,1,,325.0,-205.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,-192,53113.0,CFD-BM-250-170-N.jpg,Sam,64,I,1,968,,968,,,4,1,1993.5999999977648,224,-256,51119.400000002235,9999,FN,C,,46567,,,4,192,320,-224
4,prac,1,1,,-348.0,-20.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,32,55212.5,CFD-WM-255-219-N.jpg,John,64,I,1,1080,,1080,,,5,1,2097.39999999851,-416,-32,53115.10000000149,9999,FN,C,,48567,,,5,192,-320,0
5,prac,1,1,,296.0,225.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,256,57561.699999999255,CFD-LF-208-127-N.jpg,Tina,64,I,1,1317,,1317,,,6,1,2343.39999999851,224,192,55218.300000000745,9999,FN,C,,50666,,,6,192,320,224
0,prac,1,0,m,296.0,225.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,256,73223.60000000149,CFD-WM-255-219-N.jpg,Sam,64,I,None,4015,,,4015,,1,1,5017.800000000745,224,192,68205.80000000075,9999,FN,C,,,63645,,1,192,320,224
1,prac,1,1,z,296.0,225.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,256,76072.5,CFD-LF-208-127-N.jpg,Tina,64,I,z,1066,,,1066,,3,1,2840.599999997765,224,192,73231.90000000224,9999,FN,C,,,68677,,2,192,320,224
2,prac,1,1,m,296.0,225.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,256,79638.10000000149,CFD-BM-250-170-N.jpg,John,64,I,m,1777,,,1777,,2,1,3558.60000000149,224,192,76079.5,9999,FN,C,,,71526,,3,192,320,224
1,learn,1,1,,-304.0,218.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,256,91501.19999999925,CFD-LM-212-143-N.jpg,Peter,64,I,1,1083,1083,,,,33,1,2231.5,-416,192,89269.69999999925,9999,FN,C,84851,,,,1,192,-320,224
2,learn,1,1,,-269.0,213.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,256,93650.19999999925,CFD-LM-202-072-N.jpg,Robert,64,I,1,1133,1133,,,,39,1,2146.699999999255,-416,192,91503.5,9999,FN,C,86954,,,,2,192,-320,224
3,learn,1,1,,-275.0,-197.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,-192,96016.40000000224,CFD-WF-229-004-N.jpg,Julie,64,I,1,1343,1343,,,,25,1,2364.400000002235,-416,-256,93652.0,9999,FN,C,89104,,,,3,192,-320,-224
4,learn,1,1,,-269.0,-1.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,32,98149.0,CFD-WF-229-004-N.jpg,Julie,64,I,1,1105,1105,,,,26,1,2130.89999999851,-416,-32,96018.10000000149,9999,FN,C,91470,,,,4,192,-320,0
5,learn,1,1,,302.0,216.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,256,100448.19999999925,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1276,1276,,,,30,1,2297.5,224,192,98150.69999999925,9999,FN,C,93603,,,,5,192,320,224
6,learn,1,1,,323.0,13.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,32,102414.19999999925,CFD-LF-210-220-N.jpg,Helen,64,I,1,937,937,,,,47,1,1963.8999999985099,224,-32,100450.30000000075,9999,FN,C,95902,,,,6,192,320,0
7,learn,1,1,,297.0,241.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,256,104263.69999999925,CFD-BF-239-180-N.jpg,Sarah,64,I,1,827,827,,,,12,1,1847.8999999985099,224,192,102415.80000000075,9999,FN,C,97868,,,,7,192,320,224
8,learn,1,1,,-263.0,-7.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,32,106263.10000000149,CFD-BF-243-164-N.jpg,Emily,64,I,1,978,978,,,,14,1,1997.4000000022352,-416,-32,104265.69999999925,9999,FN,C,99717,,,,8,192,-320,0
9,learn,1,1,,-335.0,202.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,256,108229.19999999925,CFD-BM-240-207-N.jpg,George,64,I,1,938,938,,,,3,1,1960.3999999985099,-416,192,106268.80000000075,9999,FN,C,101716,,,,9,192,-320,224
10,learn,1,1,,-316.0,-236.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,-192,110461.80000000075,CFD-WM-224-197-N.jpg,Chris,64,I,1,1212,1212,,,,19,1,2230.5,-416,-256,108231.30000000075,9999,FN,C,103683,,,,10,192,-320,-224
11,learn,1,1,,337.0,-15.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,32,112544.5,CFD-WM-240-125-N.jpg,Mike,64,I,1,1059,1059,,,,23,1,2081.0,224,-32,110463.5,9999,FN,C,105916,,,,11,192,320,0
12,learn,1,1,,380.0,4.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,32,114360.80000000075,CFD-WF-212-050-N.jpg,Nichole,64,I,1,784,784,,,,29,1,1814.5,224,-32,112546.30000000075,9999,FN,C,107998,,,,12,192,320,0
13,learn,1,1,,336.0,-224.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),416,-192,116209.80000000075,CFD-BF-207-004-N.jpg,Lisa,64,I,1,833,833,,,,10,1,1843.5,224,-256,114366.30000000075,9999,FN,C,109814,,,,13,192,320,-224
14,learn,1,1,,-307.0,-4.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,32,118559.10000000149,CFD-LM-208-110-N.jpg,Richard,64,I,1,1319,1319,,,,38,1,2347.199999999255,-416,-32,116211.90000000224,9999,FN,C,111664,,,,14,192,-320,0
15,learn,1,1,,-266.0,-236.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,-192,120441.90000000224,CFD-BM-216-088-N.jpg,David,64,I,1,866,866,,,,7,1,1880.800000000745,-416,-256,118561.10000000149,9999,FN,C,114013,,,,15,192,-320,-224
16,learn,1,1,,-320.0,200.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,256,122441.5,CFD-WM-252-224-N.jpg,Carl,64,I,1,976,976,,,,21,1,1998.199999999255,-416,192,120443.30000000075,9999,FN,C,115895,,,,16,192,-320,224
17,learn,1,1,,-304.0,-247.0,Mon Nov 03 2025 18:14:17 GMT-0600 (Central Standard Time),-224,-192,124190.80000000075,CFD-BM-239-136-N.jpg,Mark,64,I,1,720,720,,,,1,1,1747.6000000014901,-416,-256,122443.19999999925,9999,FN,C,117895,,,,17,192,-320,-224
