acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),-224,-192,133346.80000007153,CFD-BM-204-003-N.jpg,Sam,64,I,None,3015,,3015,,,1,,4022.600000023842,-416,-256,129324.20000004768,9999,FN,A,,119794,,,1,192,-320,-224
1,prac,1,1,,317.0,1.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,32,137480.30000007153,CFD-WM-012-001-N.jpg,John,64,I,1,1069,,1069,,,2,,2094.600000023842,224,-32,135385.70000004768,9999,FN,A,,125858,,,2,192,320,0
2,prac,1,1,,-280.0,221.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),-224,256,139829.10000002384,CFD-LF-249-132-N.jpg,Tina,64,I,1,1320,,1320,,,3,,2346.7999999523163,-416,192,137482.30000007153,9999,FN,A,,127958,,,3,192,-320,224
3,prac,1,1,,320.0,-214.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,-192,142126.80000007153,CFD-BM-204-003-N.jpg,Sam,64,I,1,1276,,1276,,,4,,2295.5,224,-256,139831.30000007153,9999,FN,A,,130307,,,4,192,320,-224
4,prac,1,1,,-266.0,-16.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),-224,32,144143.80000007153,CFD-WM-012-001-N.jpg,John,64,I,1,984,,984,,,5,,2014.4000000953674,-416,-32,142129.39999997616,9999,FN,A,,132606,,,5,192,-320,0
5,prac,1,1,,353.0,225.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,256,145860.30000007153,CFD-LF-249-132-N.jpg,Tina,64,I,1,686,,686,,,6,,1714.4000000953674,224,192,144145.89999997616,9999,FN,A,,134624,,,6,192,320,224
0,prac,1,0,m,353.0,225.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,256,201742.10000002384,CFD-BM-204-003-N.jpg,John,64,I,z,1700,,,1700,,2,,3492.7000000476837,224,192,198249.39999997616,9999,FN,A,,,188722,,1,192,320,224
1,prac,1,1,z,353.0,225.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,256,204824.30000007153,CFD-LF-249-132-N.jpg,Tina,64,I,z,1288,,,1288,,3,,3067.0,224,192,201757.30000007153,9999,FN,A,,,192221,,2,192,320,224
1,prac,1,0,m,353.0,225.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,256,207574.60000002384,CFD-WM-012-001-N.jpg,Sam,64,I,z,951,,,951,,1,,2738.7000000476837,224,192,204835.89999997616,9999,FN,A,,,195303,,3,192,320,224
0,prac,2,0,,353.0,225.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),-224,-192,216638.10000002384,CFD-BM-204-003-N.jpg,Sam,64,I,None,3012,,3012,951,,1,,4022.600000023842,-416,-256,212615.5,9999,FN,A,,203088,195303,,1,192,-320,-224
1,prac,2,1,,350.0,-14.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,32,220535.80000007153,CFD-WM-012-001-N.jpg,John,64,I,1,842,,842,951,,2,,1864.0,224,-32,218671.80000007153,9999,FN,A,,209149,195303,,2,192,320,0
2,prac,2,1,,-287.0,208.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),-224,256,222236.10000002384,CFD-LF-249-132-N.jpg,Tina,64,I,1,673,,673,951,,3,,1698.5,-416,192,220537.60000002384,9999,FN,A,,211015,195303,,3,192,-320,224
3,prac,2,1,,289.0,-237.0,Tue Oct 28 2025 11:02:30 GMT-0500 (Central Daylight Time),416,-192,224035.10000002384,CFD-BM-204-003-N.jpg,Sam,64,I,1,782,,782,951,,4,,1795.7000000476837,224,-256,222239.39999997616,9999,FN,A,,212715,195303,,4,192,320,-224
