acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),59526.5,I,z,860,,,4,yes,,2379.2000000476837,57147.299999952316,RSM,RSM,9999,LC,A,,,1
2,1,0.0,prac,1,m,30000.0,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),61844.09999990463,I,m,779,,,1,no,,2313.6999999284744,59530.39999997616,RNV,FNV,9999,LC,A,,,2
3,1,0.0,prac,1,z,30000.0,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),64258.799999952316,I,z,883,,,2,yes,,2408.7000000476837,61850.09999990463,NBGFSM,NBGFSM,9999,LC,A,,,3
4,1,0.0,prac,1,z,30000.0,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),66691.39999997616,I,z,903,,,6,yes,,2427.8000000715256,64263.59999990463,CSDBFPHXZ,CSDBFPHXZ,9999,LC,A,,,4
4,1,0.0,prac,0,m,30000.0,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),68956.29999995232,I,z,742,,,5,no,,2257.899999976158,66698.39999997616,LNDPRSKQB,LNDPRSJQB,9999,LC,A,,,5
4,1,0.0,prac,0,m,30000.0,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),71940.09999990463,I,z,1455,,,3,no,,2979.5999999046326,68960.5,QHZXPC,QHZWPC,9999,LC,A,,,6
1,1,1.0490000247955322,test,1,m,28950.999975204468,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),79154.09999990463,I,m,1041,1041,,1,no,,1044.0,78110.09999990463,HCF,RCF,9999,LC,A,76021,,1
1,1,1.9500000476837158,test,0,m,28049.999952316284,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),80054.39999997616,I,z,890,890,,2,no,,897.6000000238419,79156.79999995232,QTPRJX,QTPNJX,9999,LC,A,77068,,2
1,1,4.513999938964844,test,0,m,25486.000061035156,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),82618.5,I,z,2548,2548,,3,no,,2561.4000000953674,80057.09999990463,MZDYGVGKQ,MZDYGLBKQ,9999,LC,A,77969,,3
2,1,5.613000154495239,test,1,m,24386.99984550476,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),83718.0,I,m,1097,1097,,4,no,,1097.1000000238419,82620.89999997616,FQTNMK,JQTNMK,9999,LC,A,80532,,4
3,1,6.378999948501587,test,1,z,23621.000051498413,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),84484.0,I,z,757,757,,5,yes,,763.6000000238419,83720.39999997616,CLJ,CLJ,9999,LC,A,81632,,5
3,1,7.615000009536743,test,0,m,22384.999990463257,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),85719.59999990463,I,z,1232,1232,,6,no,,1233.0999999046326,84486.5,JGDMNSVPW,JGZMNSVPW,9999,LC,A,82398,,6
4,1,9.647000074386597,test,1,z,20352.999925613403,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),87751.29999995232,I,z,2015,2015,,7,yes,,2025.0,85726.29999995232,FPTVHKCBJ,FPTVHKCBJ,9999,LC,A,83638,,7
5,1,10.746999979019165,test,1,m,19253.000020980835,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),88851.89999997616,I,m,1091,1091,,8,no,,1096.8999999761581,87755.0,XRPZBS,ZRPBDH,9999,LC,A,85667,,8
6,1,11.76200008392334,test,1,m,18237.99991607666,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),89867.29999995232,I,m,999,999,,9,no,,1012.2000000476837,88855.09999990463,ZSQ,ZSP,9999,LC,A,86766,,9
7,1,13.04699993133545,test,1,z,16953.00006866455,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),91152.0,I,z,1264,1264,,10,yes,,1281.1000000238419,89870.89999997616,MPZRXL,MPZRXL,9999,LC,A,87782,,10
8,1,13.897000074386597,test,1,m,16102.999925613403,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),92001.59999990463,I,m,842,842,,11,no,,844.7999999523163,91156.79999995232,KJH,KRH,9999,LC,A,89068,,11
8,1,14.978000164031982,test,0,z,15021.999835968018,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),93082.29999995232,I,m,1073,1073,,12,yes,,1076.8999999761581,92005.39999997616,SMNHVTFCB,SMNHVTFCB,9999,LC,A,89917,,12
9,1,16.92799997329712,test,1,z,13072.00002670288,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),95033.09999990463,I,z,1938,1938,,13,yes,,1948.3999999761581,93084.69999992847,KJWTQF,KJWTQF,9999,LC,A,90996,,13
10,1,18.66000008583069,test,1,z,11339.999914169312,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),96764.5,I,z,1713,1713,,14,yes,,1727.8000000715256,95036.69999992847,CHDKQGLMB,CHDKQGLMB,9999,LC,A,92948,,14
11,1,19.57800006866455,test,1,z,10421.99993133545,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),97683.19999992847,I,z,911,911,,15,yes,,915.5,96767.69999992847,GHQ,GHQ,9999,LC,A,94679,,15
12,1,20.89300012588501,test,1,z,9106.99987411499,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),98997.39999997616,I,z,1303,1303,,16,yes,,1310.8999999761581,97686.5,GFVMRH,GFVMRH,9999,LC,A,95598,,16
13,1,21.842999935150146,test,1,z,8157.0000648498535,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),99947.79999995232,I,z,933,933,,17,yes,,947.3999999761581,99000.39999997616,RSM,RSM,9999,LC,A,96912,,17
14,1,23.157000064849854,test,1,m,6842.9999351501465,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),101262.0,I,m,1296,1296,,18,no,,1311.7000000476837,99950.29999995232,BSRJTRMLG,BSFJTRMLG,9999,LC,A,97862,,18
15,1,24.723000049591064,test,1,z,5276.999950408936,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),102828.29999995232,I,z,1553,1553,,19,yes,,1559.0,101269.29999995232,NBGFSM,NBGFSM,9999,LC,A,99181,,19
15,1,26.009000062942505,test,0,z,3990.999937057495,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),104113.59999990463,I,m,1277,1277,,20,yes,,1278.5,102835.09999990463,JQKBPLXGY,JQKBPLXGY,9999,LC,A,100747,,20
16,1,26.907000064849854,test,1,m,3092.9999351501465,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),105012.29999995232,I,m,887,887,,21,no,,894.1000000238419,104118.19999992847,RNV,FNV,9999,LC,A,102030,,21
1,2,1.1989998817443848,test,1,z,28801.000118255615,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),107495.79999995232,I,z,1193,,1193.0,1,yes,,3377.600000023842,104118.19999992847,PRDBZTYFN,PRDBZTYFN,9999,LC,A,,104213.0,1
2,2,2.8319997787475586,test,1,m,27168.00022125244,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),109129.0,I,m,1618,,1618.0,2,no,,5010.800000071526,104118.19999992847,NCWJDZ,NCMJDZ,9999,LC,A,,105412.0,2
2,2,4.181999921798706,test,0,m,25818.000078201294,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),110478.29999995232,I,z,1332,,1332.0,3,no,,6360.100000023842,104118.19999992847,KHW,KBW,9999,LC,A,,107043.0,3
2,2,5.746999979019165,test,0,m,24253.000020980835,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),112044.29999995232,I,z,1558,,1558.0,4,no,,7926.100000023842,104118.19999992847,ZRBGMF,ZRBCMF,9999,LC,A,,108392.0,4
3,2,6.579999923706055,test,1,m,23420.000076293945,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),112876.39999997616,I,m,823,,823.0,5,no,,8758.200000047684,104118.19999992847,BTH,BYH,9999,LC,A,,109959.0,5
4,2,8.313999891281128,test,1,z,21686.000108718872,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),114611.19999992847,I,z,1716,,1716.0,6,yes,,10493.0,104118.19999992847,XWKQRYCNZ,XWKQRYCNZ,9999,LC,A,,110793.0,6
5,2,9.546000003814697,test,1,z,20453.999996185303,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),115842.5,I,z,1224,,1224.0,7,yes,,11724.300000071526,104118.19999992847,HNPDLK,HNPDLK,9999,LC,A,,112526.0,7
5,2,10.745999813079834,test,0,m,19254.000186920166,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),117042.59999990463,I,z,1182,,1182.0,8,no,,12924.399999976158,104118.19999992847,WMQTRSGLZ,WMQTRZGLZ,9999,LC,A,,113760.0,8
6,2,11.994999885559082,test,1,z,18005.000114440918,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),118291.5,I,z,1232,,1232.0,9,yes,,14173.300000071526,104118.19999992847,JPN,JPN,9999,LC,A,,114958.0,9
6,2,13.742999792098999,test,0,m,16257.000207901001,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),120039.69999992847,I,z,1734,,1734.0,10,no,,15921.5,104118.19999992847,QLXSVT,QLNSVT,9999,LC,A,,116207.0,10
6,2,15.077999830245972,test,0,z,14922.000169754028,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),121374.79999995232,I,m,1324,,1324.0,11,yes,,17256.600000023842,104118.19999992847,YXHKZVFPB,YXHKZVFPD,9999,LC,A,,117953.0,11
7,2,16.229999780654907,test,1,z,13770.000219345093,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),122527.0,I,z,1141,,1141.0,12,yes,,18408.800000071526,104118.19999992847,RJZ,RJZ,9999,LC,A,,119289.0,12
8,2,19.509999990463257,test,1,z,10490.000009536743,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),125806.59999990463,I,z,3268,,3268.0,13,yes,,21688.399999976158,104118.19999992847,CLNPZD,CLNPZD,9999,LC,A,,120442.0,13
8,2,20.774999856948853,test,0,m,9225.000143051147,Tue Oct 28 2025 11:31:47 GMT-0500 (Central Daylight Time),127071.69999992847,I,z,1252,,1252.0,14,no,,22953.5,104118.19999992847,DCBPFHXYJ,DCBPFHLYJ,9999,LC,A,,123722.0,14
