acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),34661.5,I,m,1058,,,1,no,,2575.0999999940395,32086.40000000596,RNV,FNV,9999,LC,A,,,1
2,1,0.0,prac,1,m,30000.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),38000.80000001192,I,m,1815,,,5,no,,3327.2000000178814,34673.59999999404,LNDPRSKQB,LNDPRSJQB,9999,LC,A,,,2
3,1,0.0,prac,1,z,30000.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),40506.40000000596,I,z,996,,,4,yes,,2501.699999988079,38004.70000001788,RSM,RSM,9999,LC,A,,,3
4,1,0.0,prac,1,m,30000.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),43429.20000001788,I,m,1397,,,3,no,,2912.9000000059605,40516.30000001192,QHZXPC,QHZWPC,9999,LC,A,,,4
5,1,0.0,prac,1,z,30000.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),46017.40000000596,I,z,1067,,,2,yes,,2577.9000000059605,43439.5,NBGFSM,NBGFSM,9999,LC,A,,,5
6,1,0.0,prac,1,z,30000.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),48989.70000001788,I,z,1458,,,6,yes,,2964.9000000059605,46024.80000001192,CSDBFPHXZ,CSDBFPHXZ,9999,LC,A,,,6
1,1,1.0180001258850098,test,1,m,28981.99987411499,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),53748.70000001788,I,m,1000,1000,,1,no,,1010.8000000119209,52737.90000000596,HCF,RCF,9999,LC,A,46744,,1
2,1,2.186000108718872,test,1,m,27813.999891281128,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),54917.59999999404,I,m,1150,1150,,2,no,,1162.5,53755.09999999404,QTPRJX,QTPNJX,9999,LC,A,47762,,2
3,1,5.49399995803833,test,1,m,24506.00004196167,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),58224.80000001192,I,m,3293,3293,,3,no,,3299.2000000178814,54925.59999999404,MZDYGVGKQ,MZDYGLBKQ,9999,LC,A,48932,,3
4,1,6.880000114440918,test,1,m,23119.999885559082,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),59610.90000000596,I,m,1361,1361,,4,no,,1378.0,58232.90000000596,FQTNMK,JQTNMK,9999,LC,A,52240,,4
5,1,8.23200011253357,test,1,z,21767.99988746643,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),60963.09999999404,I,z,1335,1335,,5,yes,,1344.2999999821186,59618.80000001192,CLJ,CLJ,9999,LC,A,53625,,5
5,1,11.220999956130981,test,0,m,18779.00004386902,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),63952.5,I,z,2976,2976,,6,no,,2982.2999999821186,60970.20000001788,JGDMNSVPW,JGZMNSVPW,9999,LC,A,54977,,6
6,1,13.525000095367432,test,1,z,16474.99990463257,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),66256.20000001788,I,z,2290,2290,,7,yes,,2296.7000000178814,63959.5,FPTVHKCBJ,FPTVHKCBJ,9999,LC,A,57966,,7
7,1,14.594000101089478,test,1,m,15405.999898910522,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),67325.20000001788,I,m,1061,1061,,8,no,,1063.4000000059605,66261.80000001192,XRPZBS,ZRPBDH,9999,LC,A,60268,,8
8,1,15.713000059127808,test,1,m,14286.999940872192,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),68443.40000000596,I,m,1110,1110,,9,no,,1112.0,67331.40000000596,ZSQ,ZSP,9999,LC,A,61338,,9
8,1,17.23300004005432,test,0,z,12766.999959945679,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),69963.80000001192,I,m,1515,1515,,10,yes,,1517.4000000059605,68446.40000000596,MPZRXL,MPZRXL,9999,LC,A,62453,,10
9,1,18.752000093460083,test,1,m,11247.999906539917,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),71483.09999999404,I,m,1511,1511,,11,no,,1512.0,69971.09999999404,KJH,KRH,9999,LC,A,63978,,11
10,1,20.85599994659424,test,1,z,9144.000053405762,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),73587.09999999404,I,z,2089,2089,,12,yes,,2098.0999999940395,71489.0,SMNHVTFCB,SMNHVTFCB,9999,LC,A,65495,,12
11,1,22.193000078201294,test,1,z,7806.999921798706,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),74923.5,I,z,1328,1328,,13,yes,,1329.199999988079,73594.30000001192,KJWTQF,KJWTQF,9999,LC,A,67601,,13
12,1,24.180000066757202,test,1,z,5819.999933242798,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),76911.09999999404,I,z,1979,1979,,14,yes,,1983.2999999821186,74927.80000001192,CHDKQGLMB,CHDKQGLMB,9999,LC,A,68934,,14
13,1,25.013999938964844,test,1,z,4986.000061035156,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),77745.20000001788,I,z,820,820,,15,yes,,827.6000000238419,76917.59999999404,GHQ,GHQ,9999,LC,A,70924,,15
14,1,26.468000173568726,test,1,z,3531.9998264312744,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),79198.70000001788,I,z,1443,1443,,16,yes,,1447.4000000059605,77751.30000001192,GFVMRH,GFVMRH,9999,LC,A,71758,,16
15,1,27.18499994277954,test,1,z,2815.000057220459,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),79916.20000001788,I,z,708,708,,17,yes,,710.9000000059605,79205.30000001192,RSM,RSM,9999,LC,A,73212,,17
15,1,29.924000024795532,test,0,m,75.99997520446777,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),82655.20000001788,I,z,2728,2728,,18,no,,2732.800000011921,79922.40000000596,BSRJTRMLG,BSFJTRMLG,9999,LC,A,73929,,18
15,1,30.008000135421753,test,0,z,-8.00013542175293,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),82738.5,I,None,77,77,,19,yes,,77.69999998807907,82660.80000001192,NBGFSM,NBGFSM,9999,LC,A,76667,,19
1,2,4.8420000076293945,test,1,z,25157.999992370605,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),88717.09999999404,I,z,4833,,4833.0,1,yes,,6056.299999982119,82660.80000001192,PRDBZTYFN,PRDBZTYFN,9999,LC,A,,77888.0,1
1,2,6.3450000286102295,test,0,m,23654.99997138977,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),90220.09999999404,I,z,1481,,1481.0,2,no,,7559.299999982119,82660.80000001192,NCWJDZ,NCMJDZ,9999,LC,A,,82730.0,2
2,2,7.546999931335449,test,1,m,22453.00006866455,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),91422.0,I,m,1192,,1192.0,3,no,,8761.199999988079,82660.80000001192,KHW,KBW,9999,LC,A,,84232.0,3
3,2,9.76799988746643,test,1,m,20232.00011253357,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),93642.90000000596,I,m,2198,,2198.0,4,no,,10982.09999999404,82660.80000001192,ZRBGMF,ZRBCMF,9999,LC,A,,85434.0,4
3,2,10.819999933242798,test,0,m,19180.000066757202,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),94695.40000000596,I,z,1037,,1037.0,5,no,,12034.59999999404,82660.80000001192,BTH,BYH,9999,LC,A,,87652.0,5
4,2,13.493000030517578,test,1,z,16506.999969482422,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),97367.80000001192,I,z,2653,,2653.0,6,yes,,14707.0,82660.80000001192,XWKQRYCNZ,XWKQRYCNZ,9999,LC,A,,88708.0,6
5,2,14.694999933242798,test,1,z,15305.000066757202,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),98570.0,I,z,1179,,1179.0,7,yes,,15909.199999988079,82660.80000001192,HNPDLK,HNPDLK,9999,LC,A,,91381.0,7
6,2,19.770999908447266,test,1,m,10229.000091552734,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),103645.59999999404,I,m,5065,,5065.0,8,no,,20984.79999998212,82660.80000001192,WMQTRSGLZ,WMQTRZGLZ,9999,LC,A,,92584.0,8
7,2,21.375,test,1,z,8625.0,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),105249.59999999404,I,z,1591,,1591.0,9,yes,,22588.79999998212,82660.80000001192,JPN,JPN,9999,LC,A,,97658.0,9
8,2,22.546000003814697,test,1,m,7453.999996185303,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),106420.59999999404,I,m,1153,,1153.0,10,no,,23759.79999998212,82660.80000001192,QLXSVT,QLNSVT,9999,LC,A,,99263.0,10
8,2,25.098000049591064,test,0,z,4901.999950408936,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),108972.90000000596,I,m,2544,,2544.0,11,yes,,26312.09999999404,82660.80000001192,YXHKZVFPB,YXHKZVFPD,9999,LC,A,,100432.0,11
8,2,26.117000102996826,test,0,z,3882.999897003174,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),109992.20000001788,I,m,1000,,1000.0,12,yes,,27331.40000000596,82660.80000001192,RJZ,RJZ,9999,LC,A,,102985.0,12
8,2,27.28600001335144,test,0,z,2713.9999866485596,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),111160.59999999404,I,m,1147,,1147.0,13,yes,,28499.79999998212,82660.80000001192,CLNPZD,CLNPZD,9999,LC,A,,104005.0,13
8,2,29.35700011253357,test,0,m,642.9998874664307,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),113232.0,I,z,2060,,2060.0,14,no,,30571.19999998808,82660.80000001192,DCBPFHXYJ,DCBPFHLYJ,9999,LC,A,,105173.0,14
8,2,30.007999897003174,test,0,m,-7.999897003173828,Mon Dec 08 2025 17:43:12 GMT-0600 (Central Standard Time),113882.90000000596,I,None,644,,644.0,15,no,,31222.09999999404,82660.80000001192,MWR,ZWR,9999,LC,A,,107245.0,15
