acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),,093_m_f_n_a.png,I,space,3213,1,,,,9999,NNB,C,0
1,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),152916.69999980927,098_y_f_n_a.png,I,m,803,2,,1657.3999996185303,151259.30000019073,9999,NNB,C,1
1,prac,1,1.0,1-Back,0.0,z,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),155698.09999990463,098_y_f_n_a.png,I,None,2007,3,,2772.699999809265,152925.40000009537,9999,NNB,C,2
1,prac,1,0.0,1-Back,0.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),157416.09999990463,059_o_m_n_a.png,I,z,853,4,,1709.7999997138977,155706.30000019073,9999,NNB,C,3
2,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),159865.5,092_m_m_n_a.png,I,m,1607,5,,2440.800000190735,157424.69999980927,9999,NNB,C,4
3,prac,1,1.0,1-Back,1.0,z,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),161447.5,092_m_m_n_a.png,I,z,813,6,,1573.6999998092651,159873.80000019073,9999,NNB,C,5
4,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),163097.30000019073,130_o_f_n_a.png,I,m,802,7,,1640.8000001907349,161456.5,9999,NNB,C,6
5,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),165396.30000019073,082_m_m_n_a.png,I,m,1442,8,,2290.9000000953674,163105.40000009537,9999,NNB,C,7
6,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),166895.19999980927,093_m_f_n_a.png,I,m,723,9,,1489.7999997138977,165405.40000009537,9999,NNB,C,8
7,prac,1,1.0,1-Back,1.0,z,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),168178.19999980927,093_m_f_n_a.png,I,z,494,10,,1273.6999998092651,166904.5,9999,NNB,C,9
8,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),169676.40000009537,059_o_m_n_a.png,I,m,709,11,,1490.8000001907349,168185.59999990463,9999,NNB,C,10
9,prac,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),171477.30000019073,028_y_f_n_a.png,I,m,955,12,,1792.6000003814697,169684.69999980927,9999,NNB,C,11
0,test,1,0.0,1-Back,,,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),171477.30000019073,098_y_f_n_a.png,I,space,1604,1,,1792.6000003814697,169684.69999980927,9999,NNB,C,0
1,test,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),181973.80000019073,006_m_f_n_a.png,I,m,759,2,,1776.9000000953674,180196.90000009537,9999,NNB,C,1
2,test,1,0.0,1-Back,1.0,m,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),183722.90000009537,028_y_f_n_a.png,I,m,720,3,,1741.4000000953674,181981.5,9999,NNB,C,2
3,test,1,1.0,1-Back,1.0,z,Tue Feb 03 2026 16:16:39 GMT-0600 (Central Standard Time),185189.0,028_y_f_n_a.png,I,z,436,4,,1459.3000001907349,183729.69999980927,9999,NNB,C,3
