acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),79306.19999992847,I,z,1003,,,3,yes,,2525.899999976158,76780.29999995232,practrial3.png,practrial3.png,9999,PC,A,,,1
2,1,0.0,prac,1,z,30000.0,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),81637.89999997616,I,z,807,,,5,yes,,2323.3000000715256,79314.59999990463,practrial5.png,practrial5.png,9999,PC,A,,,2
3,1,0.0,prac,1,m,30000.0,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),83954.19999992847,I,m,779,,,2,no,,2311.2999999523163,81642.89999997616,practrial2.png,practrial2b.png,9999,PC,A,,,3
3,1,0.0,prac,0,m,30000.0,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),86237.39999997616,I,z,761,,,4,no,,2278.899999976158,83958.5,practrial4.png,practrial4b.png,9999,PC,A,,,4
4,1,0.0,prac,1,z,30000.0,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),89736.79999995232,I,z,1973,,,1,yes,,3494.7000000476837,86242.09999990463,practrial1.png,practrial1.png,9999,PC,A,,,5
5,1,0.0,prac,1,m,30000.0,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),92234.69999992847,I,m,962,,,6,no,,2494.100000023842,89740.59999990463,practrial6.png,practrial6b.png,9999,PC,A,,,6
1,1,0.7669999599456787,test,1,z,29233.00004005432,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),98133.0,I,z,756,756,,1,yes,,762.6000000238419,97370.39999997616,test1trial1.png,test1trial1.png,9999,PC,A,94905,,1
2,1,1.6170001029968262,test,1,m,28382.999897003174,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),98983.0,I,m,840,840,,2,no,,847.9000000953674,98135.09999990463,test1trial2.png,test1trial2b.png,9999,PC,A,95670,,2
3,1,2.4830000400543213,test,1,z,27516.99995994568,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),99849.59999990463,I,z,854,854,,3,yes,,864.0,98985.59999990463,test1trial3.png,test1trial3.png,9999,PC,A,96520,,3
4,1,3.250999927520752,test,1,m,26749.000072479248,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),100617.19999992847,I,m,763,763,,4,no,,764.5,99852.69999992847,test1trial4.png,test1trial4b.png,9999,PC,A,97388,,4
5,1,4.33299994468689,test,1,z,25667.00005531311,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),101699.5,I,z,1067,1067,,5,yes,,1080.0,100619.5,test1trial5.png,test1trial5.png,9999,PC,A,98154,,5
6,1,4.999000072479248,test,1,m,25000.999927520752,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),102364.79999995232,I,m,654,654,,6,no,,661.8999999761581,101702.89999997616,test1trial6.png,test1trial6b.png,9999,PC,A,99239,,6
7,1,5.683000087738037,test,1,z,24316.999912261963,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),103049.5,I,z,671,671,,7,yes,,681.8000000715256,102367.69999992847,test1trial7.png,test1trial7.png,9999,PC,A,99902,,7
8,1,7.04800009727478,test,1,m,22951.99990272522,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),104414.59999990463,I,m,1345,1345,,8,no,,1361.8999999761581,103052.69999992847,test1trial8.png,test1trial8b.png,9999,PC,A,100588,,8
9,1,7.8480000495910645,test,1,z,22151.999950408936,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),105214.19999992847,I,z,791,791,,9,yes,,797.5,104416.69999992847,test1trial9.png,test1trial9.png,9999,PC,A,101951,,9
10,1,8.664999961853027,test,1,m,21335.000038146973,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),106030.89999997616,I,m,797,797,,10,no,,812.8999999761581,105218.0,test1trial10.png,test1trial10b.png,9999,PC,A,102753,,10
11,1,9.449000120162964,test,1,z,20550.999879837036,Tue Oct 28 2025 11:28:49 GMT-0500 (Central Daylight Time),106815.69999992847,I,z,765,765,,11,yes,,782.1999999284744,106033.5,test1trial11.png,test1trial11.png,9999,PC,A,103568,,11
