acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),55989.10000038147,CFD-BM-015-017-HC.jpg,1700,solid,I,m,1175,1,,3662.5,52326.60000038147,,ATS,B,1
2,prac,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),58719.300000190735,CFD-BF-050-012-A.jpg,1200,solid,I,z,745,6,,6392.699999809265,52326.60000038147,,ATS,B,2
3,prac,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),62366.199999809265,CFD-BF-035-007-HC.jpg,2000,solid,I,m,859,5,,10039.599999427795,52326.60000038147,,ATS,B,3
4,prac,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),65296.699999809265,CFD-BM-020-024-HC.jpg,1500,solid,I,m,651,3,,12970.099999427795,52326.60000038147,,ATS,B,4
5,prac,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),68710.60000038147,CFD-WM-009-009-A.jpg,1900,solid,I,z,725,8,,16384.0,52326.60000038147,,ATS,B,5
6,prac,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),71740.0,CFD-WM-011-006-HC.jpg,1400,solid,I,m,823,7,,19413.39999961853,52326.60000038147,,ATS,B,6
6,prac,1,A,haborder.png,0,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),75036.69999980927,CFD-WF-013-015-A.jpg,1000,solid,I,None,1513,12,,22710.099999427795,52326.60000038147,,ATS,B,7
7,prac,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),78351.69999980927,CFD-WF-026-008-A.jpg,1600,solid,I,z,915,10,,26025.099999427795,52326.60000038147,,ATS,B,8
8,prac,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),80749.60000038147,CFD-BF-051-043-A.jpg,1000,solid,I,z,607,4,,28423.0,52326.60000038147,,ATS,B,9
9,prac,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),84544.0,CFD-BM-037-041-A.jpg,1600,solid,I,z,1408,2,,32217.39999961853,52326.60000038147,,ATS,B,10
10,prac,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),87674.60000038147,CFD-WF-011-006-HC.jpg,1500,solid,I,m,835,11,,35348.0,52326.60000038147,,ATS,B,11
11,prac,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),90904.89999961853,CFD-WM-012-007-HC.jpg,1700,solid,I,m,741,9,,38578.29999923706,52326.60000038147,,ATS,B,12
1,prac,1,B,mfborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),149864.80000019073,CFD-WF-011-006-HC.jpg,1000,dash,I,z,1178,12,,2964.0,146900.80000019073,,ATS,B,1
2,prac,1,B,mfborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),152511.69999980927,CFD-WM-037-060-A.jpg,1200,dash,I,m,658,6,,5610.89999961853,146900.80000019073,,ATS,B,2
3,prac,1,B,mfborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),155458.89999961853,CFD-BF-035-007-HC.jpg,1400,dash,I,z,750,7,,8558.099999427795,146900.80000019073,,ATS,B,3
4,prac,1,B,mfborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),158472.69999980927,CFD-BM-020-024-HC.jpg,1700,dash,I,m,527,1,,11571.89999961853,146900.80000019073,,ATS,B,4
5,prac,1,B,mfborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),161686.39999961853,CFD-WF-026-008-A.jpg,1500,dash,I,z,919,11,,14785.599999427795,146900.80000019073,,ATS,B,5
5,prac,1,B,mfborder.png,0,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),164666.60000038147,CFD-BF-051-043-A.jpg,1000,dash,I,m,1196,4,,17765.800000190735,146900.80000019073,,ATS,B,6
6,prac,1,B,mfborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),168346.5,CFD-BM-037-041-A.jpg,2000,dash,I,m,888,5,,21445.699999809265,146900.80000019073,,ATS,B,7
7,prac,1,B,mfborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),171709.60000038147,CFD-BF-027-013-HC.jpg,1500,dash,I,z,1082,3,,24808.800000190735,146900.80000019073,,ATS,B,8
8,prac,1,B,mfborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),175522.80000019073,CFD-WF-027-007-HC.jpg,1900,dash,I,z,1115,8,,28622.0,146900.80000019073,,ATS,B,9
9,prac,1,B,mfborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),178869.80000019073,CFD-WM-012-007-HC.jpg,1600,dash,I,m,963,10,,31969.0,146900.80000019073,,ATS,B,10
10,prac,1,B,mfborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),182532.5,CFD-BM-041-048-A.jpg,1600,dash,I,m,1277,2,,35631.699999809265,146900.80000019073,,ATS,B,11
11,prac,1,B,mfborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),186461.89999961853,CFD-WM-009-009-A.jpg,1700,dash,I,m,1445,9,,39561.099999427795,146900.80000019073,,ATS,B,12
1,test,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),211122.0,CFD-WM-011-006-HC.jpg,1400,solid,I,m,1096,7,,2513.6000003814697,208608.39999961853,,ATS,B,1
2,test,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),213518.89999961853,CFD-WF-026-008-A.jpg,1600,solid,I,z,771,10,,4910.5,208608.39999961853,,ATS,B,2
3,test,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),215966.69999980927,CFD-WM-012-007-HC.jpg,1700,solid,I,m,718,9,,7358.300000190735,208608.39999961853,,ATS,B,3
4,test,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),218299.39999961853,CFD-WF-026-008-A.jpg,1600,solid,I,z,717,10,,9691.0,208608.39999961853,,ATS,B,4
5,test,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),220529.30000019073,CFD-WM-012-007-HC.jpg,1700,solid,I,m,501,9,,11920.900000572205,208608.39999961853,,ATS,B,5
6,test,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),222860.30000019073,CFD-BF-050-012-A.jpg,1200,solid,I,z,1103,6,,14251.900000572205,208608.39999961853,,ATS,B,6
7,test,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),225357.89999961853,CFD-BM-037-041-A.jpg,1600,solid,I,z,880,2,,16749.5,208608.39999961853,,ATS,B,7
8,test,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),227306.19999980927,CFD-WF-013-015-A.jpg,1000,solid,I,z,924,12,,18697.800000190735,208608.39999961853,,ATS,B,8
9,test,1,A,haborder.png,1,z,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),229770.10000038147,CFD-BM-037-041-A.jpg,1600,solid,I,z,835,2,,21161.70000076294,208608.39999961853,,ATS,B,9
10,test,1,A,haborder.png,1,m,Sun Jun 07 2026 19:20:12 GMT-0500 (Central Daylight Time),232750.5,CFD-BF-035-007-HC.jpg,2000,solid,I,m,952,5,,24142.10000038147,208608.39999961853,,ATS,B,10
