Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,200.95563663197896,140.88739234709215,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),,box1,yes,I,1,,,,,DSST,C,,,,0,160,113
),1,1,0.0,3,prac,yes,1,3,120000.0,339.6587119160079,151.80889433796057,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),82624.0,box3,yes,I,1,,2501.0,80123.0,,DSST,C,,,,1,160,113
-,2,1,0.0,1,prac,yes,1,1,120000.0,342.93516251326844,152.90104453704743,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),85858.0,box1,yes,I,1,,2456.0,83402.0,,DSST,C,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,372.4232178886132,148.53244374070005,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),88807.0,box2,yes,I,1,,2167.0,86640.0,,DSST,C,,,,3,160,113
+,4,1,0.0,9,prac,yes,1,9,120000.0,359.3174154995711,143.07169274526584,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),91857.0,box9,yes,I,1,,2270.0,89587.0,,DSST,C,,,,4,160,113
^,5,1,0.0,7,prac,yes,1,7,120000.0,304.709905545229,151.80889433796057,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),95123.0,box7,yes,I,1,,2489.0,92634.0,,DSST,C,,,,5,160,113
L,6,1,0.0,4,prac,yes,1,4,120000.0,249.01024539180003,133.24234095348424,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),98873.0,box4,yes,I,1,,2973.0,95900.0,,DSST,C,,,,6,160,113
U,7,1,0.0,5,prac,yes,1,5,120000.0,243.54949439636582,138.70309194891846,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),102457.0,box5,yes,I,1,,2811.0,99646.0,,DSST,C,,,,7,160,113
O,8,1,0.0,6,prac,yes,1,6,120000.0,229.35154180823685,150.71674413887374,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),106173.0,box6,yes,I,1,,2941.0,103232.0,,DSST,C,,,,8,160,113
X,9,1,0.0,8,prac,yes,1,8,120000.0,265.39249837810263,132.1501907543974,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),109505.0,box8,yes,I,1,,2559.0,106946.0,,DSST,C,,,,9,160,113
T,1,1,2.36899995803833,2,test,yes,1,2,117631.00004196167,261.0238975817553,141.979542546179,Mon Jun 08 2026 15:23:42 GMT-0600 (Mountain Daylight Time),124355.0,box2,yes,I,1,,2355.0,122000.0,,DSST,C,118619.0,119263.0,116908.0,1,160,113
